short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Lamkel Zé,Didier Lamkel Zé,"ST, LM",72,2800000.0,12000.0,26,Hatayspor,Super Lig
F. Ghoulam,Faouzi Ghoulam,"LB, CB",72,1600000.0,10000.0,32,Hatayspor,Super Lig
C. Strandberg,Sergio Carlos Strandberg,"ST, RM",71,2000000.0,11000.0,27,Hatayspor,Super Lig
K. Çörekçi,Kamil Ahmet Çörekçi,RB,70,1200000.0,8000.0,31,Hatayspor,Super Lig
E. Kardeşler,Erce Kardeşler,GK,70,1100000.0,7000.0,29,Hatayspor,Super Lig
R. Aabid,Rayane Aabid,"CM, CDM",69,1100000.0,7000.0,31,Hatayspor,Super Lig
R. Rivas,Rigoberto Manuel Rivas Vindel,LM,68,1600000.0,6000.0,24,Hatayspor,Super Lig
Joelson Fernandes,Joelson Augusto Mendes Mango Fernandes,"RM, LM",67,2200000.0,4000.0,20,Hatayspor,Super Lig
N. Maksimović,Nikola Maksimović,CB,67,700000.0,5000.0,31,Hatayspor,Super Lig
G. Aburjania,Giorgi Aburjania,"CM, CDM, CAM",67,1000000.0,6000.0,28,Hatayspor,Super Lig
R. Dadashov,Renat Oleq Oğlu Dadaşov,ST,66,1400000.0,6000.0,24,Hatayspor,Super Lig
G. Kilama,Guy-Marcelin Kilama,CB,66,1200000.0,4000.0,24,Hatayspor,Super Lig
G. Sağlam,Görkem Sağlam,"CAM, CM",66,1200000.0,4000.0,25,Hatayspor,Super Lig
F. Dele-Bashiru,Fisayo Dele-Bashiru,"CM, CAM",65,1600000.0,3000.0,22,Hatayspor,Super Lig
K. Alıcı,Kerim Alıcı,RB,65,775000.0,4000.0,26,Hatayspor,Super Lig
V. Bekaj,Visar Bekaj,GK,64,675000.0,3000.0,26,Hatayspor,Super Lig
O. Arı,Onur Arı,ST,63,775000.0,3000.0,22,Hatayspor,Super Lig
M. Çağıran,Musa Çağıran,"CDM, CB",63,400000.0,3000.0,30,Hatayspor,Super Lig
Ö. Beyaz,Ömer Faruk Beyaz,"CAM, CM",62,950000.0,2000.0,19,Hatayspor,Super Lig
M. Boudjemaa,Mehdi Boudjemaa,"CM, CDM",62,525000.0,3000.0,25,Hatayspor,Super Lig
B. Bekaroğlu,Burak Bekaroğlu,CB,62,450000.0,3000.0,26,Hatayspor,Super Lig
R. Yılmaz,Recep Burak Yılmaz,CB,62,400000.0,3000.0,27,Hatayspor,Super Lig
C. Demir,Cengiz Demir,CB,61,625000.0,2000.0,22,Hatayspor,Super Lig
B. Önde,Berke Önde,ST,61,475000.0,2000.0,23,Hatayspor,Super Lig
A. Hodžić,Armin Hodžić,"CDM, CM",60,350000.0,2000.0,23,Hatayspor,Super Lig
M. Matondo,Massanga Matondo,"CM, CDM",59,325000.0,2000.0,23,Hatayspor,Super Lig
E. Aksoy,Engin Can Aksoy,LB,56,300000.0,1000.0,19,Hatayspor,Super Lig
O. Matur,Oğuzhan Matur,LB,56,275000.0,2000.0,23,Hatayspor,Super Lig
Y. Boyar,Yavuz Buğra Boyar,GK,55,160000.0,1000.0,24,Hatayspor,Super Lig
