short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Montipò,Lorenzo Montipò,GK,77,10500000.0,21000.0,27,Hellas Verona,Serie A
S. Serdar,Suat Serdar,CM,76,9500000.0,16000.0,26,Hellas Verona,Serie A
M. Faraoni,Marco Davide Faraoni,"RWB, RM, RB",76,5500000.0,24000.0,31,Hellas Verona,Serie A
R. Saponara,Riccardo Saponara,"LM, LW, CF",76,6000000.0,26000.0,31,Hellas Verona,Serie A
D. Lazović,Darko Lazović,"LM, CF",76,6000000.0,26000.0,32,Hellas Verona,Serie A
I. Hien,Isak Hien,CB,75,11500000.0,20000.0,24,Hellas Verona,Serie A
J. Doig,Josh Thomas Doig,"LWB, LM, LB",75,11000000.0,16000.0,21,Hellas Verona,Serie A
O. Duda,Ondrej Duda,"CM, CAM, CF",74,4200000.0,24000.0,28,Hellas Verona,Serie A
T. Henry,Thomas Henry,ST,74,4300000.0,26000.0,28,Hellas Verona,Serie A
C. Ngonge,Cyril Ngonge,"CF, RW, ST",73,7000000.0,20000.0,23,Hellas Verona,Serie A
G. Magnani,Giangiacomo Magnani,CB,73,3500000.0,20000.0,27,Hellas Verona,Serie A
P. Dawidowicz,Paweł Marek Dawidowicz,CB,73,3100000.0,20000.0,28,Hellas Verona,Serie A
Jordi Mboula,Jordi Mboula Queralt,"RM, RW, CF",72,3700000.0,16000.0,24,Hellas Verona,Serie A
K. Günter,Koray Günter,CB,72,2200000.0,18000.0,28,Hellas Verona,Serie A
D. Coppola,Diego Coppola,CB,71,3800000.0,8000.0,19,Hellas Verona,Serie A
M. Hongla,Martin Hongla Yma,"CM, CDM, CB",71,2700000.0,16000.0,25,Hellas Verona,Serie A
M. Folorunsho,Michael Ijemuan Folorunsho,"CM, CAM, ST",71,2700000.0,27000.0,25,Hellas Verona,Serie A
F. Bonazzoli,Federico Bonazzoli,"CF, ST",71,2500000.0,21000.0,26,Hellas Verona,Serie A
A. Hrustić,Ajdin Hrustić,"CM, RM, CF",71,2200000.0,17000.0,26,Hellas Verona,Serie A
M. Đurić,Milan Đurić,ST,71,1200000.0,18000.0,33,Hellas Verona,Serie A
F. Terracciano,Filippo Terracciano,"RM, CM",70,3500000.0,11000.0,20,Hellas Verona,Serie A
B. Amione,Bruno Amione,CB,70,3300000.0,10000.0,21,Hellas Verona,Serie A
Y. Kallon,Yayah Kallon,"CF, RM, RW",69,3200000.0,12000.0,22,Hellas Verona,Serie A
J. Tchatchoua,Jackson Tchatchoua,"RWB, RM, LM",68,2600000.0,5000.0,22,Hellas Verona,Serie A
T. Suslov,Tomáš Suslov,"CF, RM, CM",68,2700000.0,9000.0,21,Hellas Verona,Serie A
S. Perilli,Simone Perilli,GK,67,875000.0,7000.0,28,Hellas Verona,Serie A
J. Cabal,Juan David Cabal Murillo,"CB, LB",66,1800000.0,6000.0,22,Hellas Verona,Serie A
J. Cruz,Juan Manuel Cruz,ST,66,1400000.0,7000.0,23,Hellas Verona,Serie A
J. Braaf,Jayden Jezairo Braaf,"CF, LM, LW",65,1700000.0,6000.0,20,Hellas Verona,Serie A
M. Chiesa,Mattia Chiesa,GK,65,1400000.0,4000.0,22,Hellas Verona,Serie A
A. Berardi,Alessandro Berardi,GK,62,200000.0,4000.0,32,Hellas Verona,Serie A
