short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
E. Hansson,Emil Hansson,LW,70,2100000.0,6000.0,25,Heracles Almelo,Eredivisie
J. Hoogma,Justin Hoogma,CB,69,1800000.0,4000.0,25,Heracles Almelo,Eredivisie
N. Laursen,Nikolai Rohde Laursen,RW,69,1700000.0,5000.0,25,Heracles Almelo,Eredivisie
J. Willems,Jetro Willems,LB,69,1200000.0,4000.0,29,Heracles Almelo,Eredivisie
F. de Keijzer,Fabian de Keijzer,GK,68,1500000.0,2000.0,23,Heracles Almelo,Eredivisie
M. Vejinović,Marko Vejinović,"CM, CDM",68,750000.0,4000.0,33,Heracles Almelo,Eredivisie
M. Brouwer,Michael Brouwer,GK,68,800000.0,3000.0,30,Heracles Almelo,Eredivisie
T. Bruns,Thomas Bruns,CM,67,825000.0,3000.0,31,Heracles Almelo,Eredivisie
B. Limbombe,Bryan Michael Limbombe Ekango,"LW, RW",66,1900000.0,3000.0,22,Heracles Almelo,Eredivisie
R. Roosken,Ruben Roosken,LB,66,1300000.0,2000.0,23,Heracles Almelo,Eredivisie
S. Čestić,Sava-Arangel Čestić,CB,66,1200000.0,2000.0,22,Heracles Almelo,Eredivisie
J. Hornkamp,Jizz Hornkamp,ST,66,1200000.0,3000.0,25,Heracles Almelo,Eredivisie
B. De Keersmaecker,Brian De Keersmaecker,"CDM, CM",65,1300000.0,2000.0,23,Heracles Almelo,Eredivisie
S. Sonnenberg,Sven Sonnenberg,CB,65,925000.0,2000.0,24,Heracles Almelo,Eredivisie
A. Ouahim,Anas Ouahim,"CAM, CM",65,950000.0,2000.0,25,Heracles Almelo,Eredivisie
M. Engels,Mario Engels,"ST, LW",65,725000.0,3000.0,29,Heracles Almelo,Eredivisie
M. Sankoh,Mohamed Sankoh,ST,64,1500000.0,4000.0,19,Heracles Almelo,Eredivisie
N. Bakboord,Navajo Bakboord,RB,64,825000.0,2000.0,24,Heracles Almelo,Eredivisie
M. Ibrahimoglu,Melih İbrahimoğlu,"CM, CDM",62,800000.0,1000.0,22,Heracles Almelo,Eredivisie
J. Wieckhoff,Jannes Luca Wieckhoff,RB,62,775000.0,1000.0,22,Heracles Almelo,Eredivisie
S. Mokono,Sylian Aldren Mokono,RB,62,550000.0,1000.0,24,Heracles Almelo,Eredivisie
A. Nankishi,Abdenego N'Lola Nankishi,"LW, ST",61,800000.0,3000.0,20,Heracles Almelo,Eredivisie
A. Satriano,Antonio Satriano,ST,60,600000.0,950.0,19,Heracles Almelo,Eredivisie
L. Wehmeyer,Lasse Wehmeyer,"CAM, RW, LW",60,550000.0,1000.0,20,Heracles Almelo,Eredivisie
S. Scheperman,Sem Scheperman,"CDM, CM",60,525000.0,950.0,21,Heracles Almelo,Eredivisie
R. Jalving,Robin Jalving,GK,58,400000.0,900.0,23,Heracles Almelo,Eredivisie
C. Olde Keizer,Chiel Olde Keizer,LB,57,350000.0,950.0,20,Heracles Almelo,Eredivisie
S. Bultman,Stijn Bultman,CB,56,300000.0,500.0,18,Heracles Almelo,Eredivisie
T. Jansink,Timo Jansink,GK,56,300000.0,700.0,20,Heracles Almelo,Eredivisie
D. van Oorschot,Diego van Oorschot,"ST, RW, LW",55,300000.0,500.0,17,Heracles Almelo,Eredivisie
