short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Kempf,Marc-Oliver Kempf,CB,75,5500000.0,14000.0,28,Hertha BSC,2. Bundesliga
F. Reese,Fabian Reese,"LM, ST, RM",74,5500000.0,13000.0,25,Hertha BSC,2. Bundesliga
J. Kenny,Jonjoe Kenny,"RB, LB",74,4500000.0,13000.0,26,Hertha BSC,2. Bundesliga
A. Bouchalakis,Andreas Bouchalakis,"CM, CDM",74,4000000.0,14000.0,30,Hertha BSC,2. Bundesliga
M. Karbownik,Michał Karbownik,LB,73,6500000.0,10000.0,22,Hertha BSC,2. Bundesliga
M. Dárdai,Márton Dárdai,"CB, CDM",72,3400000.0,7000.0,21,Hertha BSC,2. Bundesliga
F. Niederlechner,Florian Niederlechner,ST,72,1900000.0,12000.0,32,Hertha BSC,2. Bundesliga
M. Gersbeck,Marius Gersbeck,GK,72,1700000.0,9000.0,28,Hertha BSC,2. Bundesliga
A. Rogel,Agustín Maximiliano Rogel Paita,CB,71,2200000.0,9000.0,25,Hertha BSC,2. Bundesliga
S. Prevljak,Smail Prevljak,ST,71,1900000.0,11000.0,28,Hertha BSC,2. Bundesliga
M. Maolida,Myziane Maolida,"LM, ST",70,2400000.0,8000.0,24,Hertha BSC,2. Bundesliga
D. Zeefuik,Deyovaisio Zeefuik,"RB, RM",70,2100000.0,8000.0,25,Hertha BSC,2. Bundesliga
T. Leistner,Toni Leistner,CB,70,1000000.0,8000.0,32,Hertha BSC,2. Bundesliga
J. Dudziak,Jeremy Dudziak,"CAM, LB",70,1700000.0,9000.0,27,Hertha BSC,2. Bundesliga
P. Dárdai,Palko Dárdai,"CAM, LM, RM",69,2200000.0,6000.0,24,Hertha BSC,2. Bundesliga
P. Pekarík,Peter Pekarík,RB,69,300000.0,5000.0,36,Hertha BSC,2. Bundesliga
H. Tabakovic,Haris Tabaković,ST,69,1400000.0,8000.0,29,Hertha BSC,2. Bundesliga
L. Gechter,Linus Gechter,"CB, LB",68,2700000.0,3000.0,19,Hertha BSC,2. Bundesliga
B. Hussein,Bilal Hussein,CM,68,2400000.0,6000.0,23,Hertha BSC,2. Bundesliga
M. Winkler,Marten Winkler,"LM, RM, ST",67,2500000.0,4000.0,20,Hertha BSC,2. Bundesliga
A. Lucoqui,Anderson-Lenda Lucoqui,LB,67,1100000.0,5000.0,25,Hertha BSC,2. Bundesliga
B. Dárdai,Bence Dárdai,"CAM, ST",64,1500000.0,500.0,17,Hertha BSC,2. Bundesliga
D. Scherhant,Derry Lionel Scherhant,"LM, ST",64,1300000.0,3000.0,20,Hertha BSC,2. Bundesliga
K. Nsona,Kélian Nsona Wa Saka,"LM, RM",63,1200000.0,2000.0,21,Hertha BSC,2. Bundesliga
T. Ernst,Tjark Ernst,GK,62,850000.0,1000.0,20,Hertha BSC,2. Bundesliga
E. Aksakal,Ensar Aksakal,LM,62,900000.0,2000.0,21,Hertha BSC,2. Bundesliga
P. Klemens,Pascal Klemens,"CDM, CB",62,800000.0,700.0,18,Hertha BSC,2. Bundesliga
I. Maza,Ibrahim Maza,CAM,61,900000.0,500.0,17,Hertha BSC,2. Bundesliga
M. Kesik,Mesut Kesik,CM,61,775000.0,2000.0,20,Hertha BSC,2. Bundesliga
R. Kwasigroch,Robert Kwasigroch,GK,57,375000.0,750.0,19,Hertha BSC,2. Bundesliga
