short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
H. Herrera,Héctor Miguel Herrera López,"CM, CDM",78,8500000.0,11000.0,33,Houston Dynamo,Major League Soccer
E. Sviatchenko,Erik Sviatchenko,CB,73,2100000.0,7000.0,31,Houston Dynamo,Major League Soccer
Artur,José Artur de Lima Junior,"CDM, CM",71,1900000.0,5000.0,27,Houston Dynamo,Major League Soccer
A. Carrasquilla,Adalberto Eliécer Carrasquilla Alcázar,"CM, CDM, CAM",70,2400000.0,5000.0,24,Houston Dynamo,Major League Soccer
S. Clark,Steve Clark,GK,70,180000.0,2000.0,37,Houston Dynamo,Major League Soccer
T. Hadebe,Teenage Lingani Hadebe,CB,69,1500000.0,4000.0,27,Houston Dynamo,Major League Soccer
S. Kowalczyk,Sebastian Kowalczyk,"CAM, CM, RM",68,1600000.0,3000.0,24,Houston Dynamo,Major League Soccer
A. Bassi,Amine Bassi,"CAM, LW, RW",68,1500000.0,4000.0,25,Houston Dynamo,Major League Soccer
F. Escobar,Franco Nicolás Escobar,"RB, LB",68,1100000.0,4000.0,28,Houston Dynamo,Major League Soccer
I. Franco,Iván René Franco Díaz,"RM, LM",67,2300000.0,3000.0,23,Houston Dynamo,Major League Soccer
L. Caicedo,Luís Alberto Caicedo Mosquera,"CDM, CM",66,800000.0,2000.0,27,Houston Dynamo,Major League Soccer
B. Smith,Bradley Shaun Smith,"LM, LB, LWB",65,700000.0,2000.0,29,Houston Dynamo,Major League Soccer
C. Gasper,Chase Gasper,LB,64,625000.0,2000.0,27,Houston Dynamo,Major League Soccer
D. Steres,Daniel Steres,"LB, RB, CB",64,400000.0,2000.0,32,Houston Dynamo,Major League Soccer
C. Baird,Corey Baird,"RM, ST",64,625000.0,2000.0,27,Houston Dynamo,Major League Soccer
E. Bartlow,Ethan Bartlow,CB,63,700000.0,1000.0,23,Houston Dynamo,Major League Soccer
A. Tarbell,Andrew Tarbell,GK,63,325000.0,1000.0,29,Houston Dynamo,Major League Soccer
Micael,Micael Dos Santos Silva,CB,62,825000.0,1000.0,22,Houston Dynamo,Major League Soccer
T. Úlfarsson,Þorleifur Úlfarsson,"ST, LW, LM",62,900000.0,2000.0,22,Houston Dynamo,Major League Soccer
N. Quiñónes,Nelson Quiñónes,"LM, RM",61,725000.0,1000.0,20,Houston Dynamo,Major League Soccer
G. Dorsey,Griffin Dorsey,"RB, RM",61,450000.0,1000.0,24,Houston Dynamo,Major League Soccer
T. Schmitt,Tate Schmitt,"LB, LM",61,375000.0,1000.0,26,Houston Dynamo,Major League Soccer
I. Aliyu,Ibrahim Aliyu,"ST, LW",59,500000.0,1000.0,21,Houston Dynamo,Major League Soccer
I. Achara,Ifunanyachi Achara,"LM, RM, RW",59,275000.0,1000.0,25,Houston Dynamo,Major League Soccer
C. Auguste,Charles Auguste,"CM, CDM",57,375000.0,1000.0,23,Houston Dynamo,Major League Soccer
M. Murana,Mujeeb Murana,"CB, RB",57,350000.0,1000.0,22,Houston Dynamo,Major League Soccer
B. Raines,Brooklyn Raines,"CM, CDM",54,300000.0,500.0,18,Houston Dynamo,Major League Soccer
X. Valdez,Xavier Valdez,GK,54,220000.0,500.0,19,Houston Dynamo,Major League Soccer
