short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Nicholls,Lee Nicholls,GK,74,3200000.0,8000.0,30,Huddersfield Town,Championship
M. Helik,Michał Sławomir Helik,CB,71,1900000.0,7000.0,27,Huddersfield Town,Championship
S. Thomas,Sorba Thomas,"RM, RWB",70,2200000.0,6000.0,24,Huddersfield Town,Championship
M. Pearson,Matthew Pearson,"CB, RB",70,1300000.0,6000.0,29,Huddersfield Town,Championship
D. Burgzorg,Delano Burgzorg,"ST, CF, LM",69,2100000.0,12000.0,24,Huddersfield Town,Championship
J. Koroma,Josh Koroma,"LM, LW",68,1800000.0,4000.0,24,Huddersfield Town,Championship
T. Edwards,Thomas Edwards,"RB, CB",68,1600000.0,9000.0,24,Huddersfield Town,Championship
B. Wiles,Benjamin Jack Wiles,CM,67,1600000.0,3000.0,24,Huddersfield Town,Championship
R. Edmonds-Green,Rarmani Edmonds-Green,"CB, CDM",67,1400000.0,3000.0,24,Huddersfield Town,Championship
J. Hogg,Jonathan Hogg,"CDM, CM",67,350000.0,4000.0,34,Huddersfield Town,Championship
T. Lees,Tom Lees,CB,67,650000.0,4000.0,32,Huddersfield Town,Championship
D. Ward,Danny Ward,ST,67,825000.0,4000.0,32,Huddersfield Town,Championship
O. Turton,Oliver Turton,"RB, RWB, CB",67,875000.0,4000.0,30,Huddersfield Town,Championship
C. Maxwell,Christopher Maxwell,GK,67,500000.0,3000.0,32,Huddersfield Town,Championship
D. Kasumu,David Ayomide Kasumu,CM,66,1900000.0,3000.0,23,Huddersfield Town,Championship
Y. Nakayama,中山 雄太,"CB, LB",66,1000000.0,3000.0,26,Huddersfield Town,Championship
J. Rudoni,Jack Rudoni,"CAM, CDM, CM",65,1600000.0,3000.0,22,Huddersfield Town,Championship
J. Ruffels,Josh Ruffels,"LB, LWB",65,625000.0,3000.0,29,Huddersfield Town,Championship
B. Diarra,Brahima Diarra,"CAM, LW, RW",64,1400000.0,1000.0,19,Huddersfield Town,Championship
B. Jackson,Ben Jackson,"LB, LWB",64,1300000.0,2000.0,22,Huddersfield Town,Championship
J. Headley,Jaheim Headley,"LB, LWB",63,1000000.0,2000.0,21,Huddersfield Town,Championship
P. Jones,Patrick Jones,"LM, RM",60,650000.0,1000.0,20,Huddersfield Town,Championship
K. Harratt,Kian Harratt,ST,60,550000.0,1000.0,21,Huddersfield Town,Championship
L. Ayina,Loick Ayina,"CB, RB",59,500000.0,1000.0,20,Huddersfield Town,Championship
J. Austerfield,Josh Austerfield,"CM, CDM",58,500000.0,1000.0,21,Huddersfield Town,Championship
K. Hudlin,Kyle Hudlin,ST,58,325000.0,2000.0,23,Huddersfield Town,Championship
J. Chapman,Jacob Anthony Chapman,GK,56,275000.0,1000.0,22,Huddersfield Town,Championship
