short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Pulido,Jorge Pulido Mayoral,CB,73,2000000.0,9000.0,32,Huesca,La Liga 2
Álvaro,Álvaro Fernández Llorente,GK,72,2600000.0,6000.0,25,Huesca,La Liga 2
Óscar Sielva,Óscar Sielva Moreno,"CM, CDM",72,1900000.0,8000.0,31,Huesca,La Liga 2
Gerard Valentín,Gerard Valentín Sancho,"RM, RW",71,1800000.0,8000.0,29,Huesca,La Liga 2
Javi Martínez,Javier Martínez Calvo,"CM, RM, LM",70,3500000.0,13000.0,23,Huesca,La Liga 2
Iván Martos,Iván Martos Campillo,"LB, CB",70,1900000.0,6000.0,26,Huesca,La Liga 2
Loureiro,Miguel Loureiro Ameijenda,"RB, LB, RWB",69,1700000.0,5000.0,26,Huesca,La Liga 2
Juanjo Nieto,Juan José Nieto Zarzoso,"RB, RM, RWB",69,1300000.0,5000.0,28,Huesca,La Liga 2
J. Bolívar,Jovanny David Bolívar Alvarado,ST,68,2700000.0,3000.0,21,Huesca,La Liga 2
Joaquín,Joaquín Muñoz Benavides,"RM, ST",68,1900000.0,4000.0,24,Huesca,La Liga 2
Juan Pérez,Juan Manuel Pérez Ruiz,GK,68,1300000.0,3000.0,26,Huesca,La Liga 2
S. Obeng,Samuel Obeng Gyabaa,"ST, LM",68,1600000.0,5000.0,26,Huesca,La Liga 2
Hugo Vallejo,Hugo Claudio Vallejo Avilés,"LM, ST",67,2300000.0,3000.0,23,Huesca,La Liga 2
J. Blasco,Jérémy Demian Blasco,CB,67,1500000.0,3000.0,24,Huesca,La Liga 2
K. Hashimoto,橋本 拳人,CM,67,1000000.0,4000.0,29,Huesca,La Liga 2
Javi Mier,Javier Mier Martínez,"CM, ST, CAM",66,1700000.0,3000.0,24,Huesca,La Liga 2
E. Lombardo,Enzo Lombardo,LM,66,1000000.0,3000.0,26,Huesca,La Liga 2
A. Kanté,Aboubakary Kanté,ST,66,875000.0,4000.0,28,Huesca,La Liga 2
Rubén Pulido,Rubén Pulido Peñas,CB,65,1500000.0,2000.0,22,Huesca,La Liga 2
Vilarrasa,Ignasi Vilarrasa Palacios,"LB, LM, LWB",65,1400000.0,2000.0,23,Huesca,La Liga 2
Kortajarena,Iker Kortajarena Canellada,"CAM, CM",64,1300000.0,2000.0,22,Huesca,La Liga 2
Berto Hórreo,Alberto Hórreo Taveras,GK,63,925000.0,1000.0,23,Huesca,La Liga 2
Álex Balboa,Alejandro Balboa Bandeira,"CM, CDM",63,1100000.0,4000.0,22,Huesca,La Liga 2
Manu Rico,Manuel Rico Del Valle,LM,62,950000.0,1000.0,20,Huesca,La Liga 2
Diego Aznar,Diego Aznar Valero,ST,62,875000.0,2000.0,20,Huesca,La Liga 2
Rafa Tresaco,Rafael Tresaco Blasco,ST,62,900000.0,2000.0,22,Huesca,La Liga 2
David García,David García Hidalgo,CM,61,775000.0,1000.0,19,Huesca,La Liga 2
Diego Espinosa,Diego Espinosa García,CB,60,525000.0,500.0,18,Huesca,La Liga 2
Guerrero,Fernando Delgado Guerrero,"CM, CDM",60,550000.0,1000.0,21,Huesca,La Liga 2
Miguel Sanz,Miguel Ángel Sanz Campos,GK,59,475000.0,850.0,20,Huesca,La Liga 2
