short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Meza,Sebastián Tomás Meza,GK,74,8000000.0,8000.0,23,Huracán,Liga Profesional
R. Echeverría,Rodrigo Eduardo Echeverría Sáez,"CB, CDM, CM",74,4200000.0,12000.0,28,Huracán,Liga Profesional
A. Roa,Andrés Felipe Roa Estrada,"CAM, LM, LW",74,4100000.0,13000.0,30,Huracán,Liga Profesional
F. Fattori,Federico Fattori Mouzo,"CDM, CM",74,3500000.0,12000.0,30,Huracán,Liga Profesional
M. Cóccaro,Matías Fernando Cóccaro Ferreira,ST,71,2600000.0,10000.0,25,Huracán,Liga Profesional
A. Soñora,Alan Soñora,"CM, CAM, CDM",71,2400000.0,8000.0,24,Huracán,Liga Profesional
L. Cháves,Lucas Abraham Chávez,GK,71,1600000.0,7000.0,27,Huracán,Liga Profesional
F. Pereyra,Fabio Jesús Pereyra,CB,71,900000.0,9000.0,33,Huracán,Liga Profesional
N. Cordero,Nicolás Fernando Cordero,ST,70,2500000.0,8000.0,24,Huracán,Liga Profesional
I. Pussetto,Ignacio Pussetto,ST,70,1900000.0,9000.0,27,Huracán,Liga Profesional
J. Soñora,Joel Soñora,"CAM, CM, RM",70,1900000.0,8000.0,26,Huracán,Liga Profesional
F. Tobio,Omar Fernando Tobio,CB,70,750000.0,7000.0,33,Huracán,Liga Profesional
H. Fertoli,Héctor Hugo Fértoli,"LM, RM, CAM",69,1400000.0,9000.0,28,Huracán,Liga Profesional
W. Mazzantti,Walter Uriel Mazzantti,RM,69,1500000.0,7000.0,26,Huracán,Liga Profesional
V. Burgoa,Valentín Alberto Burgoa,"CAM, LM",67,2100000.0,3000.0,22,Huracán,Liga Profesional
F. Torrent,Fernando Torrent Guidi,"RB, CB",67,750000.0,5000.0,31,Huracán,Liga Profesional
C. Ibañez,César Roman Ibáñez,LB,66,1600000.0,3000.0,24,Huracán,Liga Profesional
L. Souto,Lucas Souto,"RB, RWB, LB",66,1600000.0,4000.0,24,Huracán,Liga Profesional
G. Benítez,Ángel Guillermo Benítez,LB,66,750000.0,4000.0,29,Huracán,Liga Profesional
A. Spina,Agostino Luigi Spina,"CDM, CM",65,1500000.0,2000.0,21,Huracán,Liga Profesional
F. Alfonso,Franco Alfonso,"LM, CAM",64,1400000.0,3000.0,21,Huracán,Liga Profesional
P. Pizarro,Patricio Pizarro,CB,64,1200000.0,3000.0,22,Huracán,Liga Profesional
L. Carrizo,Lucas Eduardo Carrizo,"LB, CB",64,625000.0,3000.0,26,Huracán,Liga Profesional
M. Gómez,Matías Gómez,LM,63,1200000.0,2000.0,19,Huracán,Liga Profesional
V. Sánchez,Valentín Sánchez,"CAM, CM",63,1100000.0,2000.0,21,Huracán,Liga Profesional
E. Luna,Enzo Nahuel Luna,"ST, LW, RW",63,1100000.0,2000.0,21,Huracán,Liga Profesional
F. Godoy,Fernando Gabriel Godoy,"CM, CDM",63,300000.0,3000.0,33,Huracán,Liga Profesional
S. Luján,Santiago Gastón Luján,RM,62,900000.0,2000.0,21,Huracán,Liga Profesional
