short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Mancuello,Federico Andrés Mancuello,"CAM, CM",75,2600000.0,15000.0,34,Independiente,Liga Profesional
R. Rey,Rodrigo Francisco Jesús Rey,GK,75,2800000.0,11000.0,32,Independiente,Liga Profesional
M. Isla,Mauricio Aníbal Isla Isla,RB,74,1300000.0,9000.0,35,Independiente,Liga Profesional
I. Marcone,Iván José Marcone,"CDM, CM",74,2100000.0,12000.0,33,Independiente,Liga Profesional
M. Cauteruccio,Martín Cauteruccio Rodríguez,ST,73,1000000.0,10000.0,36,Independiente,Liga Profesional
A. Canelo,Alexis Pedro Canelo,"LM, ST, LW",73,2500000.0,12000.0,31,Independiente,Liga Profesional
A. Costa,Ayrton Enrique Costa,"LB, LWB, CB",72,3100000.0,9000.0,23,Independiente,Liga Profesional
F. Aguilar,Felipe Aguilar Mendoza,CB,72,1900000.0,10000.0,30,Independiente,Liga Profesional
J. Buffarini,Julio Alberto Buffarini,RB,71,700000.0,9000.0,34,Independiente,Liga Profesional
J. Báez,Cristian Javier Báez,"CB, RB",71,900000.0,9000.0,33,Independiente,Liga Profesional
T. Pozzo,Tomás Agustín Pozzo,"RM, LM, ST",70,3200000.0,7000.0,22,Independiente,Liga Profesional
M. Giménez,Matías Daniel Giménez Rojas,"ST, LW",70,2500000.0,8000.0,24,Independiente,Liga Profesional
J. Laso,Joaquín Marcelo Laso,"CB, RB",70,1000000.0,8000.0,32,Independiente,Liga Profesional
S. Toloza,Santiago Toloza,"CAM, CM",69,3100000.0,5000.0,20,Independiente,Liga Profesional
B. Barcia,Mateo Baltasar Barcia Fernández,"RM, RB, LM",69,3100000.0,6000.0,22,Independiente,Liga Profesional
L. González,Lucas Nahuel González Martínez,"CM, CDM",69,2800000.0,6000.0,23,Independiente,Liga Profesional
E. Elizalde,Edgar Joel Elizalde Ferreira,"CB, LB",69,2000000.0,6000.0,23,Independiente,Liga Profesional
R. Márquez,Rodrigo Márquez,"LM, RM, LW",69,2200000.0,5000.0,21,Independiente,Liga Profesional
R. Bacchia,Renzo Damián Bacchia Rodríguez,GK,69,1700000.0,5000.0,24,Independiente,Liga Profesional
D. Pérez,Damián Alfredo Pérez,LB,69,500000.0,7000.0,34,Independiente,Liga Profesional
S. Ortíz,Sergio Fabián Ortíz,"CDM, CM",68,2600000.0,5000.0,22,Independiente,Liga Profesional
B. Martínez,Braian Miguel Angel Martínez,"RM, RW, LM",68,1900000.0,5000.0,23,Independiente,Liga Profesional
A. Mulet,Agustín Nicolás Mulet,"CM, CDM",68,1900000.0,6000.0,23,Independiente,Liga Profesional
M. Sarrafiore,Martín Sarrafiore,"CM, LM, RM",68,1500000.0,6000.0,25,Independiente,Liga Profesional
K. Lopez,Kevin López,"CDM, CM",66,1800000.0,3000.0,21,Independiente,Liga Profesional
S. Hidalgo,Santiago Hidalgo Massa,ST,64,1400000.0,1000.0,18,Independiente,Liga Profesional
P. Ostachuk,Javier Patricio Ostachuk,"CB, RB",64,850000.0,3000.0,23,Independiente,Liga Profesional
D. Segovia,Diego Alexandre Segovia Hernández,GK,61,625000.0,2000.0,23,Independiente,Liga Profesional
