short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Fröde,Lukas Thomas Fröde,CDM,69,1300000.0,5000.0,28,Ingolstadt,3. Liga
S. Lorenz,Simon Lorenz,CB,68,1300000.0,4000.0,26,Ingolstadt,3. Liga
R. Malone,Ryan Patrick Malone,CB,68,1000000.0,4000.0,30,Ingolstadt,3. Liga
L. Guwara,Leon Guwara,"LWB, LM",67,1100000.0,3000.0,27,Ingolstadt,3. Liga
M. Costly,Marcel Costly,"RWB, RM",67,1100000.0,3000.0,27,Ingolstadt,3. Liga
P. Testroet,Pascal Testroet,ST,67,825000.0,4000.0,32,Ingolstadt,3. Liga
T. Schröck,Tobias Schröck,"CB, CDM",66,700000.0,3000.0,30,Ingolstadt,3. Liga
M. Dittgen,Maximilian Dittgen,"ST, LM",66,875000.0,4000.0,28,Ingolstadt,3. Liga
Y. Deichmann,Yannick Deichmann,"CM, RWB",66,850000.0,3000.0,28,Ingolstadt,3. Liga
D. Kopacz,David Peter Kopacz,"RM, CAM",65,1100000.0,2000.0,24,Ingolstadt,3. Liga
M. Funk,Marius Funk,GK,65,700000.0,2000.0,27,Ingolstadt,3. Liga
M. Seiffert,Moritz Seiffert,LM,63,775000.0,2000.0,22,Ingolstadt,3. Liga
B. Kanuric,Benjamin Kanuric,"CM, CDM",62,950000.0,1000.0,20,Ingolstadt,3. Liga
A. Llugiqi,Arian Llugiqi,"LM, LWB",62,875000.0,1000.0,20,Ingolstadt,3. Liga
D. Nduka,Donald Nduka,CB,62,825000.0,1000.0,20,Ingolstadt,3. Liga
B. Kayo,Bryang Kayo,"CM, CAM",62,875000.0,1000.0,20,Ingolstadt,3. Liga
D. Beleme,Daouda Beleme,"ST, RM, LM",62,900000.0,5000.0,22,Ingolstadt,3. Liga
J. Mause,Jannik Mause,ST,62,600000.0,2000.0,24,Ingolstadt,3. Liga
M. Cvjetinovic,Mladen Cvjetinovic,CB,61,650000.0,850.0,19,Ingolstadt,3. Liga
F. Keidel,Felix Keidel,"CM, CDM",61,725000.0,1000.0,20,Ingolstadt,3. Liga
M. Ponath,Markus Ponath,GK,59,450000.0,1000.0,22,Ingolstadt,3. Liga
T. Rausch,Thomas Ferdinand Rausch,"RWB, LWB",59,475000.0,1000.0,23,Ingolstadt,3. Liga
M. Udebuluzor,Michael Udebuluzor,ST,58,475000.0,1000.0,19,Ingolstadt,3. Liga
E. Bösl,Enrique José Bösl,GK,57,375000.0,500.0,19,Ingolstadt,3. Liga
M. Dehler,Maurice Dehler,GK,57,350000.0,500.0,19,Ingolstadt,3. Liga
D. Udogu,David Udogu,"RWB, LWB",57,375000.0,1000.0,20,Ingolstadt,3. Liga
J. Krupa,Jeroen Krupa,"ST, RM",56,375000.0,1000.0,20,Ingolstadt,3. Liga
J. Kügel,Julian Kügel,ST,56,190000.0,2000.0,26,Ingolstadt,3. Liga
