short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Carranza,Jorge Carlos Carranza,GK,73,350000.0,5000.0,42,Instituto,Liga Profesional
A. Martínez,Adrián Emmanuel Martínez,ST,73,3000000.0,12000.0,30,Instituto,Liga Profesional
G. Lódico,Gastón Andrés Lodico,"LM, CAM, CM",71,2500000.0,8000.0,25,Instituto,Liga Profesional
G. Graciani,Gabriel Maximiliano Graciani,RM,71,1800000.0,8000.0,30,Instituto,Liga Profesional
M. Roffo,Manuel Roffo,GK,70,2000000.0,5000.0,23,Instituto,Liga Profesional
S. Rodríguez,Santiago Rodríguez,"ST, LW",69,1900000.0,7000.0,25,Instituto,Liga Profesional
F. Alarcón,Fernando Rubén Alarcón,CB,69,1200000.0,6000.0,29,Instituto,Liga Profesional
J. Acevedo,Héctor Jonás Acevedo,"LM, RM",69,1500000.0,7000.0,26,Instituto,Liga Profesional
L. Mosevich,Julio Leonel Mosevich,CB,68,1600000.0,5000.0,26,Instituto,Liga Profesional
N. Linares,Nicolás Hugo Linares,"CDM, CM",68,1400000.0,6000.0,27,Instituto,Liga Profesional
L. Aued,Luciano Román Aued,"CDM, CM",68,240000.0,3000.0,36,Instituto,Liga Profesional
L. Rodríguez,Lucas Nahuel Rodríguez,"LB, LWB",68,1100000.0,5000.0,29,Instituto,Liga Profesional
E. Parnisari,Oscar Ezequiel Jonathan Parnisari,"CB, RB",68,575000.0,5000.0,33,Instituto,Liga Profesional
J. Bay,Aníbal Jonathan Gastón Bay,"LB, LWB",67,875000.0,4000.0,30,Instituto,Liga Profesional
R. Bochi,Roberto Agustín Bochi,"CDM, CM",67,500000.0,4000.0,33,Instituto,Liga Profesional
S. Corda,Sebastián Corda,LB,67,925000.0,4000.0,28,Instituto,Liga Profesional
D. Reasco,Djorkaeff Neicer Reasco González,"ST, CAM",66,1400000.0,4000.0,24,Instituto,Liga Profesional
G. Cerato,Giuliano Cerato,RB,66,1100000.0,3000.0,25,Instituto,Liga Profesional
L. Albertengo,Lucas Gabriel Albertengo,ST,66,700000.0,4000.0,32,Instituto,Liga Profesional
J. Franco,Juan José Franco Arrellaga,"RB, CM",66,625000.0,4000.0,31,Instituto,Liga Profesional
G. Rodríguez,Gregorio Rodríguez,"RM, LM, CF",65,1100000.0,3000.0,23,Instituto,Liga Profesional
B. Cuello,Brahian Cuello,"LM, RM",65,950000.0,3000.0,25,Instituto,Liga Profesional
M. Romero,Matías Alexis Romero,"CM, RWB, CDM",65,825000.0,3000.0,27,Instituto,Liga Profesional
N. Watson,Nicolás Watson,"CDM, CM",64,700000.0,3000.0,25,Instituto,Liga Profesional
O. Garrido,Oscar Garrido,"CM, RB, RM",63,600000.0,3000.0,25,Instituto,Liga Profesional
N. Barrientos,Nicolás Claudio Barrientos,CAM,62,400000.0,2000.0,28,Instituto,Liga Profesional
M. Liendo,Manuel Liendo,CAM,61,475000.0,2000.0,23,Instituto,Liga Profesional
E. Bilbao,Emanuel Bilbao,GK,60,80000.0,1000.0,33,Instituto,Liga Profesional
