short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Messi,Lionel Andrés Messi Cuccittini,"CF, CAM",90,41000000.0,23000.0,36,Inter Miami,Major League Soccer
Jordi Alba,Jordi Alba Ramos,LB,83,13500000.0,14000.0,34,Inter Miami,Major League Soccer
Sergio Busquets,Sergio Busquets i Burgos,CDM,83,12500000.0,14000.0,34,Inter Miami,Major League Soccer
F. Farías,Facundo Hernán Farías,"CAM, CF",75,12500000.0,7000.0,20,Inter Miami,Major League Soccer
J. Martínez,Josef Alexander Martínez Mencia,ST,75,5500000.0,10000.0,30,Inter Miami,Major League Soccer
Gregore,Gregore de Magalhães da S.,"CDM, CM",73,2600000.0,7000.0,29,Inter Miami,Major League Soccer
S. Kryvtsov,Sergiy Kryvtsov,CB,72,1500000.0,6000.0,32,Inter Miami,Major League Soccer
Jean Mota,Jean Mota Oliveira de Sousa,"CM, CDM",72,2300000.0,7000.0,29,Inter Miami,Major League Soccer
F. Negri,Franco Negri,"LB, LM",72,2100000.0,6000.0,28,Inter Miami,Major League Soccer
K. Miller,Kamal Anthony Miller,CB,71,2200000.0,5000.0,26,Inter Miami,Major League Soccer
L. Campana,Leonardo Campana Romero,ST,70,2500000.0,5000.0,23,Inter Miami,Major League Soccer
D. Yedlin,DeAndre Roselle Yedlin,"RB, RWB",70,1400000.0,5000.0,29,Inter Miami,Major League Soccer
C. Jean,Corentin Jean,"RM, ST",69,1500000.0,4000.0,27,Inter Miami,Major League Soccer
R. Taylor,Robert Thomas Taylor,"LW, LM, CAM",69,1400000.0,5000.0,28,Inter Miami,Major League Soccer
D. Arroyo,Dixon Jair Arroyo Espinoza,"CDM, CM",69,975000.0,4000.0,31,Inter Miami,Major League Soccer
T. Avilés,Tomás Agustín Avilés,"CB, CDM",68,2700000.0,2000.0,19,Inter Miami,Major League Soccer
D. Callender,Drake Callender,GK,68,1500000.0,2000.0,25,Inter Miami,Major League Soccer
N. Stefanelli,Nicolás Marcelo Stefanelli,"CAM, LM, ST",68,1200000.0,4000.0,28,Inter Miami,Major League Soccer
D. Gómez,Diego Alexander Gómez Amarilla,"CM, RM, LM",66,1900000.0,2000.0,20,Inter Miami,Major League Soccer
B. Cremaschi,Benjamin Cremaschi,"CAM, CF, CM",64,1400000.0,700.0,18,Inter Miami,Major League Soccer
C. McVey,Christopher McVey,"CB, LB, RB",64,725000.0,2000.0,26,Inter Miami,Major League Soccer
R. Robinson,Robbie Robinson Belmar,"LM, ST",63,725000.0,2000.0,24,Inter Miami,Major League Soccer
V. Ulloa,Victor Ulloa,"CDM, CM, RB",62,275000.0,1000.0,31,Inter Miami,Major League Soccer
R. Sailor,Ryan Sailor,CB,59,400000.0,1000.0,25,Inter Miami,Major League Soccer
D. Ruiz,David Ruiz,CDM,58,500000.0,650.0,19,Inter Miami,Major League Soccer
I. Fray,Ian Fray,CB,58,450000.0,900.0,20,Inter Miami,Major League Soccer
N. Allen,Noah Allen,"LB, LWB",57,400000.0,650.0,19,Inter Miami,Major League Soccer
H. Neville,Harvey Neville,RB,55,300000.0,850.0,21,Inter Miami,Major League Soccer
C. dos Santos,CJ dos Santos,GK,54,210000.0,800.0,22,Inter Miami,Major League Soccer
C. Jensen,Cole Jensen,GK,52,160000.0,800.0,22,Inter Miami,Major League Soccer
