short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Martínez,Lautaro Javier Martínez,ST,87,107000000.0,150000.0,25,Inter,Serie A
N. Barella,Nicolò Barella,CM,86,83500000.0,135000.0,26,Inter,Serie A
A. Bastoni,Alessandro Bastoni,CB,85,73500000.0,95000.0,24,Inter,Serie A
H. Çalhanoğlu,Hakan Çalhanoğlu,"CM, CDM",85,52500000.0,130000.0,29,Inter,Serie A
Y. Sommer,Yann Sommer,GK,84,7000000.0,84000.0,34,Inter,Serie A
B. Pavard,Benjamin Pavard,"CB, RB",83,36500000.0,95000.0,27,Inter,Serie A
F. Acerbi,Francesco Acerbi,CB,83,9500000.0,67000.0,35,Inter,Serie A
F. Dimarco,Federico Dimarco,"LWB, LM, CB",82,37000000.0,82000.0,25,Inter,Serie A
S. de Vrij,Stefan de Vrij,CB,82,21000000.0,86000.0,31,Inter,Serie A
D. Dumfries,Denzel Justus Morris Dumfries,"RWB, RM",81,27000000.0,80000.0,27,Inter,Serie A
A. Sánchez,Alexis Alejandro Sánchez Sánchez,ST,81,12500000.0,95000.0,34,Inter,Serie A
H. Mkhitaryan,Henrikh Mkhitaryan,"CAM, CM",81,12000000.0,87000.0,34,Inter,Serie A
D. Frattesi,Davide Frattesi,CM,80,33000000.0,20000.0,23,Inter,Serie A
M. Arnautović,Marko Arnautović,ST,80,10500000.0,44000.0,34,Inter,Serie A
M. Darmian,Matteo Darmian,"CB, RWB, RM",80,10000000.0,74000.0,33,Inter,Serie A
J. Cuadrado,Juan Guillermo Cuadrado Bello,"RM, RB, RW",80,8500000.0,60000.0,35,Inter,Serie A
Carlos Augusto,Carlos Augusto Zopolato Neves,LM,79,26500000.0,48000.0,24,Inter,Serie A
M. Thuram,Marcus Lilian Thuram-Ulien,ST,79,23500000.0,80000.0,25,Inter,Serie A
E. Audero,Emil Audero Mulyadi,GK,79,17500000.0,5000.0,26,Inter,Serie A
S. Sensi,Stefano Sensi,"CM, CAM, CF",78,15000000.0,70000.0,27,Inter,Serie A
D. Klaassen,Davy Klaassen,"CM, CAM",76,7000000.0,61000.0,30,Inter,Serie A
Y. Bisseck,Yann Aurel Ludger Bisseck,CB,74,9000000.0,42000.0,22,Inter,Serie A
K. Asllani,Kristjan Asllani,"CM, CDM",74,9500000.0,40000.0,21,Inter,Serie A
L. Agoumé,Lucien Jefferson Agoume,"CDM, CM",71,4000000.0,25000.0,21,Inter,Serie A
R. Di Gennaro,Raffaele Di Gennaro,GK,70,1100000.0,26000.0,29,Inter,Serie A
