short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Tony Abranjes,Tony Josimar Abranjes Meneses,CB,80,5500000.0,23000.0,35,Internacional,Serie A
Adnan Vidual,Adnan Claudiano Vidual Machado,RB,79,12500000.0,30000.0,31,Internacional,Serie A
Gabri Prestão,Bernard Gabriel Prestão Chaves,GK,79,9500000.0,25000.0,31,Internacional,Serie A
Gerson Armão,Gérson Adriano Gutierres Serra,"LB, LWB, LM",78,15000000.0,24000.0,23,Internacional,Serie A
Zervandro,A. Zervandro Chiamuloira Paes,"CB, LB",78,14000000.0,24000.0,23,Internacional,Serie A
Sidney Pessinho,Sidney Adrián Pessoa Vidigal,"CDM, CM",77,7500000.0,26000.0,31,Internacional,Serie A
Elias Fontoira,Elias Thiago Fontoira Marques,CDM,74,4000000.0,21000.0,27,Internacional,Serie A
Nicolás Formido,Nicolás Júlio Formido Paiva,"CAM, LM, CM",73,3500000.0,19000.0,23,Internacional,Serie A
Fabrio Farinha,Fabrio Sandro Farinha Donatelo,"CAM, LM",73,2500000.0,21000.0,31,Internacional,Serie A
Enzo Merques,Enzo Diogo Merques Gomes,LB,73,2900000.0,20000.0,27,Internacional,Serie A
Gustavo Lobateiro,Gustavo Rafael Lobateiro Gomes,"CAM, ST, CF",72,2700000.0,16000.0,23,Internacional,Serie A
Hélton Celanova,Hélton Luiz Celanova Vieira,ST,72,2000000.0,21000.0,31,Internacional,Serie A
Diogo Parrela,Diogo Josué Pinho Parrela,"RB, RWB",71,1800000.0,15000.0,27,Internacional,Serie A
Eltson Marques,Elton Matheus Marques Paiva,CB,71,1300000.0,15000.0,31,Internacional,Serie A
Gus Outomouro,Gustavo Rafael Outomouro Tófoli,"ST, LM",71,2000000.0,18000.0,27,Internacional,Serie A
Jairo Farnias,Jairo Ralph Farnias Almeida,GK,70,1400000.0,9000.0,23,Internacional,Serie A
Luan Sendeiro,Luan Vágner Sendeiro Zanon,CDM,70,1100000.0,13000.0,31,Internacional,Serie A
Martin Cordeia,Martin Victor Cordeia Damasco,"CAM, CM",70,1700000.0,15000.0,27,Internacional,Serie A
Gustavo Pastinho,Gustavo Patrick Pastor Pombo,"ST, RM",67,850000.0,10000.0,31,Internacional,Serie A
Welliton Helmes,Welliton Edson Helmes Junqueira,CAM,66,975000.0,7000.0,23,Internacional,Serie A
