short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Tuanzebe,Axel Tuanzebe,CB,73,3800000.0,15000.0,25,Ipswich Town,Championship
B. Williams,Brandon Williams,"LB, RB, LWB",72,3400000.0,49000.0,22,Ipswich Town,Championship
C. Chaplin,Conor Mark Chaplin,"CAM, RW, CF",71,2200000.0,13000.0,26,Ipswich Town,Championship
S. Morsy,Sam Morsy,"CDM, CM",71,1300000.0,12000.0,31,Ipswich Town,Championship
L. Davis,Leif Davis,"LB, LWB",70,2200000.0,9000.0,23,Ipswich Town,Championship
J. Taylor,Jack Taylor,"CDM, CM",69,1900000.0,9000.0,25,Ipswich Town,Championship
L. Woolfenden,Luke Matthew Woolfenden,CB,69,1900000.0,8000.0,24,Ipswich Town,Championship
N. Broadhead,Nathan Paul Broadhead,"LM, ST",69,1700000.0,10000.0,25,Ipswich Town,Championship
W. Burns,Wesley James Burns,"RM, RWB",69,1400000.0,10000.0,28,Ipswich Town,Championship
H. Clarke,Harrison Clarke,"RB, CB",68,2600000.0,7000.0,22,Ipswich Town,Championship
G. Hirst,George David Eric Hirst,ST,68,1900000.0,8000.0,24,Ipswich Town,Championship
C. Walton,Christian Walton,GK,68,1200000.0,6000.0,27,Ipswich Town,Championship
M. Luongo,Massimo Corey Luongo,"CDM, CM",68,1000000.0,8000.0,30,Ipswich Town,Championship
F. Ladapo,Olayinka Fredrick Oladotun Ladapo,ST,68,1200000.0,9000.0,30,Ipswich Town,Championship
L. Evans,Lee Evans,"CM, CDM",68,1200000.0,9000.0,28,Ipswich Town,Championship
J. Donacien,Janoi Donacien,"CB, RB",67,950000.0,7000.0,29,Ipswich Town,Championship
C. Burgess,Cameron Robert Burgess,CB,67,1000000.0,7000.0,27,Ipswich Town,Championship
G. Edmundson,Samuel George Alan Edmundson,CB,66,1000000.0,5000.0,25,Ipswich Town,Championship
D. Ball,Dominic Ball,"CDM, CM, CB",66,875000.0,6000.0,27,Ipswich Town,Championship
M. Harness,Marcus Anthony Harness,"LM, LW, RM",66,900000.0,6000.0,27,Ipswich Town,Championship
S. Aluko,Omatsone Folarin Aluko,"CAM, RM, RW",65,325000.0,5000.0,34,Ipswich Town,Championship
O. Hutchinson,Omari Giraud-Hutchinson,"CAM, RM, RW",64,1500000.0,3000.0,19,Ipswich Town,Championship
V. Hladký,Václav Hladký,GK,64,300000.0,4000.0,32,Ipswich Town,Championship
K. Jackson,Kayden Pastel Dunn Jackson,"ST, LW, RW",64,575000.0,6000.0,29,Ipswich Town,Championship
D. Scarlett,Dane Pharrell Scarlett,ST,63,1100000.0,9000.0,19,Ipswich Town,Championship
C. Humphreys,Cameron Humphreys,"CM, CDM",63,1100000.0,2000.0,19,Ipswich Town,Championship
E. Baggott,Elkan Baggott,CB,60,500000.0,2000.0,20,Ipswich Town,Championship
N. Hayes,Nicholas Michael Hayes,GK,56,160000.0,2000.0,24,Ipswich Town,Championship
C. Slicker,Cieran Slicker,GK,55,275000.0,1000.0,20,Ipswich Town,Championship
