short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Jesús Imaz,Jesús Imaz Ballesté,"ST, CF, CAM",70,1300000.0,7000.0,32,Jagiellonia Białystok,Ekstraklasa
M. Sáček,Michal Sáček,"CM, CDM",69,1700000.0,5000.0,26,Jagiellonia Białystok,Ekstraklasa
Z. Alomerović,Zlatan Alomerović,GK,69,700000.0,4000.0,32,Jagiellonia Białystok,Ekstraklasa
T. Romanczuk,Taras Wiktorowicz Romanczuk,"CDM, CM",69,975000.0,5000.0,31,Jagiellonia Białystok,Ekstraklasa
J. Kubicki,Jarosław Kubicki,"CDM, CM",68,1200000.0,4000.0,27,Jagiellonia Białystok,Ekstraklasa
A. Pululu,Afimico Pululu,"LM, ST",66,1400000.0,3000.0,24,Jagiellonia Białystok,Ekstraklasa
Adrián Diéguez,Adrián Diéguez Grande,"CB, CDM, CM",66,975000.0,3000.0,27,Jagiellonia Białystok,Ekstraklasa
Nené,Rui Filipe da Cunha Correia,CM,66,850000.0,3000.0,28,Jagiellonia Białystok,Ekstraklasa
Naranjo,José Manuel García Naranjo,"LM, ST",65,725000.0,3000.0,28,Jagiellonia Białystok,Ekstraklasa
M. Matysik,Miłosz Matysik,"CB, CM",64,1300000.0,1000.0,19,Jagiellonia Białystok,Ekstraklasa
K. Hansen,Kristoffer Normann Hansen,"LM, CF",64,600000.0,3000.0,28,Jagiellonia Białystok,Ekstraklasa
B. Nastić,Bojan Nastić,"CB, LB",64,500000.0,2000.0,28,Jagiellonia Białystok,Ekstraklasa
M. Skrzypczak,Mateusz Skrzypczak,"CB, CDM",63,900000.0,2000.0,22,Jagiellonia Białystok,Ekstraklasa
B. Wdowik,Bartłomiej Wdowik,"LM, LWB, LB",63,775000.0,2000.0,22,Jagiellonia Białystok,Ekstraklasa
P. Olszewski,Paweł Olszewski,"RB, RWB",63,675000.0,2000.0,24,Jagiellonia Białystok,Ekstraklasa
T. Kupisz,Tomasz Mateusz Kupisz,"RM, CM",63,300000.0,2000.0,33,Jagiellonia Białystok,Ekstraklasa
D. Stojinović,Dušan Stojinović,"CB, RB",59,325000.0,1000.0,22,Jagiellonia Białystok,Ekstraklasa
S. Abramowicz,Sławomir Abramowicz,GK,58,425000.0,550.0,19,Jagiellonia Białystok,Ekstraklasa
J. Lewicki,Jakub Lewicki,"LM, LB",58,475000.0,500.0,17,Jagiellonia Białystok,Ekstraklasa
W. Łaski,Wojciech Łaski,"RM, LM, RWB",58,300000.0,2000.0,23,Jagiellonia Białystok,Ekstraklasa
D. Marczuk,Dominik Marczuk,RM,57,400000.0,1000.0,19,Jagiellonia Białystok,Ekstraklasa
K. Toporkiewicz,Krzysztof Toporkiewicz,ST,55,325000.0,1000.0,21,Jagiellonia Białystok,Ekstraklasa
M. Ozga,Michał Ozga,CB,55,170000.0,1000.0,23,Jagiellonia Białystok,Ekstraklasa
M. Piekutowski,Milosz Piekutowski,GK,53,210000.0,500.0,17,Jagiellonia Białystok,Ekstraklasa
