short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Luthe,Andreas Luthe,GK,72,250000.0,6000.0,36,Kaiserslautern,2. Bundesliga
T. Boyd,Terrence Anthony Boyd,ST,72,1900000.0,13000.0,32,Kaiserslautern,2. Bundesliga
R. Ache,Ragnar Ache,ST,70,2400000.0,9000.0,24,Kaiserslautern,2. Bundesliga
B. Tomiak,Boris Tomiak,"CB, CDM",70,2100000.0,7000.0,24,Kaiserslautern,2. Bundesliga
P. Klement,Phillipp Klement,"CAM, CM",70,1500000.0,9000.0,30,Kaiserslautern,2. Bundesliga
E. Durm,Erik Durm,"RB, LB",70,1200000.0,8000.0,31,Kaiserslautern,2. Bundesliga
M. Ritter,Marlon Ritter,"CDM, CM",70,1400000.0,9000.0,28,Kaiserslautern,2. Bundesliga
T. Puchacz,Tymoteusz Puchacz,"LB, LM",69,2700000.0,12000.0,24,Kaiserslautern,2. Bundesliga
K. Kraus,Kevin Kraus,CB,69,1100000.0,7000.0,30,Kaiserslautern,2. Bundesliga
J. Niehues,Julian Niehues,"CDM, CB",68,2300000.0,5000.0,22,Kaiserslautern,2. Bundesliga
N. Soldo,Nikola Soldo,CB,68,2300000.0,8000.0,22,Kaiserslautern,2. Bundesliga
T. Raschl,Tobias Raschl,CM,68,1900000.0,6000.0,23,Kaiserslautern,2. Bundesliga
A. Opoku,Aaron Opoku-Tiawiah,"RM, LM",68,1700000.0,6000.0,24,Kaiserslautern,2. Bundesliga
J. Elvedi,Jan Elvedi,CB,68,1200000.0,6000.0,26,Kaiserslautern,2. Bundesliga
H. Zuck,Hendrick Zuck,"LB, LM",68,825000.0,6000.0,32,Kaiserslautern,2. Bundesliga
K. Redondo,Kenny Prince Redondo,"LM, ST",68,1200000.0,7000.0,28,Kaiserslautern,2. Bundesliga
P. Hercher,Philipp Hercher,"RM, RB",68,1300000.0,7000.0,27,Kaiserslautern,2. Bundesliga
A. Aremu,Afeez Aremu Olalekan,"CDM, CM",67,2100000.0,4000.0,23,Kaiserslautern,2. Bundesliga
B. Zolinski,Ben Zolinski,"LM, ST, RM",67,850000.0,6000.0,31,Kaiserslautern,2. Bundesliga
J. Zimmer,Jean Zimmer,"RB, RM",67,900000.0,5000.0,29,Kaiserslautern,2. Bundesliga
D. Hanslik,Daniel Patrick Hanslik,"LM, ST, CAM",66,1000000.0,5000.0,26,Kaiserslautern,2. Bundesliga
J. Krahl,Julian Krahl,GK,64,1000000.0,2000.0,23,Kaiserslautern,2. Bundesliga
A. Spahić,Avdo Spahić,GK,64,625000.0,3000.0,26,Kaiserslautern,2. Bundesliga
R. Tachie,Richmond Tachie,"ST, RM",63,725000.0,3000.0,24,Kaiserslautern,2. Bundesliga
L. Lobinger,Lex-Tyger Lobinger,ST,63,700000.0,3000.0,24,Kaiserslautern,2. Bundesliga
A. Basenach,Aaron Basenach,"CDM, CB",56,300000.0,2000.0,20,Kaiserslautern,2. Bundesliga
N. Gibs,Neal Gibs,LB,56,300000.0,2000.0,21,Kaiserslautern,2. Bundesliga
