short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
L. Stindl,Lars Edi Stindl,CAM,78,6500000.0,18000.0,34,Karlsruher SC,2. Bundesliga
M. Wanitzek,Marvin Wanitzek,CM,74,4000000.0,14000.0,30,Karlsruher SC,2. Bundesliga
P. Drewes,Patrick Drewes,GK,73,2000000.0,10000.0,30,Karlsruher SC,2. Bundesliga
J. Gondorf,Jérôme Gondorf,"CM, CDM",71,750000.0,8000.0,35,Karlsruher SC,2. Bundesliga
F. Schleusener,Fabian Schleusener,ST,71,1600000.0,11000.0,31,Karlsruher SC,2. Bundesliga
P. Nebel,Paul Nebel,"CAM, CM",69,3100000.0,9000.0,20,Karlsruher SC,2. Bundesliga
C. Kobald,Christoph Kobald,CB,69,1600000.0,7000.0,25,Karlsruher SC,2. Bundesliga
D. Brosinski,Daniel Brosinski,"RB, LWB, RWB",69,500000.0,7000.0,34,Karlsruher SC,2. Bundesliga
S. Jung,Sebastian Alexander Jung,RB,69,725000.0,7000.0,33,Karlsruher SC,2. Bundesliga
M. Franke,Marcel Franke,CB,69,1100000.0,7000.0,30,Karlsruher SC,2. Bundesliga
P. Heise,Philip Heise,LB,69,975000.0,7000.0,32,Karlsruher SC,2. Bundesliga
D. Burnić,Dženis Burnić,CDM,68,1400000.0,6000.0,25,Karlsruher SC,2. Bundesliga
R. Bormuth,Robin Bormuth,CB,68,1200000.0,6000.0,27,Karlsruher SC,2. Bundesliga
L. Jensen,Leon Jensen,"CM, CDM",68,1400000.0,7000.0,26,Karlsruher SC,2. Bundesliga
M. Thiede,Marco Thiede,RB,68,875000.0,6000.0,31,Karlsruher SC,2. Bundesliga
D. O'Shaughnessy,Daniel Michael O'Shaughnessy,CB,66,725000.0,5000.0,28,Karlsruher SC,2. Bundesliga
I. Matanović,Igor Matanović,ST,65,1700000.0,7000.0,20,Karlsruher SC,2. Bundesliga
B. Zivzivadze,Budu Zivzivadze,ST,65,725000.0,5000.0,29,Karlsruher SC,2. Bundesliga
D. Herold,David Herold,LB,64,1300000.0,7000.0,20,Karlsruher SC,2. Bundesliga
M. Beifus,Marcel Beifus,CB,64,1300000.0,2000.0,20,Karlsruher SC,2. Bundesliga
K. Eisele,Kai Eisele,GK,63,375000.0,3000.0,28,Karlsruher SC,2. Bundesliga
M. Weiß,Max Weiß,GK,62,900000.0,850.0,19,Karlsruher SC,2. Bundesliga
T. Rossmann,Tim Rossmann,"ST, LM",61,775000.0,2000.0,19,Karlsruher SC,2. Bundesliga
E. Sihlaroglu,Efe-Kaan Sihlaroglu,CM,57,400000.0,500.0,17,Karlsruher SC,2. Bundesliga
E. Öztürk,Eren Öztürk,CM,57,400000.0,1000.0,19,Karlsruher SC,2. Bundesliga
