short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Gianniotis,Andreas Gianniotis,GK,74,3200000.0,10000.0,30,Kasımpaşa,Super Lig
H. Hajradinović,Haris Hajradinović,"CM, CAM",73,3000000.0,13000.0,29,Kasımpaşa,Super Lig
S. Bahoken,Stéphane Bahoken,ST,72,2000000.0,12000.0,31,Kasımpaşa,Super Lig
Cláudio Winck,Cláudio Winck Neto,RB,72,2100000.0,11000.0,29,Kasımpaşa,Super Lig
Nuno da Costa,Nuno Miguel da Costa Jóia,ST,71,1500000.0,11000.0,32,Kasımpaşa,Super Lig
K. Omeruo,Kenneth Josiah Omeruo,CB,70,1500000.0,8000.0,29,Kasımpaşa,Super Lig
M. Fall,Mamadou Fall,"RM, ST",69,1200000.0,7000.0,31,Kasımpaşa,Super Lig
M. Ben Ouanes,Mortadha Ben Ouannes,"LB, RM, LM",69,1300000.0,7000.0,28,Kasımpaşa,Super Lig
J. Ngoy,Julien Fontaine Ngoy Bin Cibambi,"ST, LW, CAM",67,1400000.0,6000.0,25,Kasımpaşa,Super Lig
S. Çiftpınar,Sadık Çiftpınar,CB,67,825000.0,5000.0,30,Kasımpaşa,Super Lig
I. Gomis,Iron Gomis,"CM, RW, LWB",66,1300000.0,4000.0,23,Kasımpaşa,Super Lig
D. Saddiki,Driess Saddiki,"CDM, CM",65,800000.0,4000.0,26,Kasımpaşa,Super Lig
A. Kara,Aytaç Kara,"CDM, CM",65,600000.0,4000.0,30,Kasımpaşa,Super Lig
Y. Özcan,Yasin Özcan,"LB, CB",62,875000.0,500.0,17,Kasımpaşa,Super Lig
E. Çetinkaya,Erdem Çetinkaya,"RW, ST",62,900000.0,3000.0,22,Kasımpaşa,Super Lig
G. Gül,Gökhan Gül,"CDM, CB",62,575000.0,2000.0,24,Kasımpaşa,Super Lig
A. Yanar,Ali Emre Yanar,GK,61,375000.0,2000.0,25,Kasımpaşa,Super Lig
T. Aksu,Tuncer Duhan Aksu,"LB, CB, LWB",61,400000.0,2000.0,25,Kasımpaşa,Super Lig
A. Demirel,Ali Sühan Demirel,CAM,60,550000.0,2000.0,20,Kasımpaşa,Super Lig
S. Dilli,Selim Dilli,CM,56,200000.0,2000.0,25,Kasımpaşa,Super Lig
T. Aydın,Taylan Utku Aydın,CB,55,275000.0,500.0,17,Kasımpaşa,Super Lig
E. Yiğit,Emirhan Yiğit,RW,54,275000.0,500.0,17,Kasımpaşa,Super Lig
H. Yeşilyurt,Hasan Emre Yeşilyurt,CB,54,230000.0,2000.0,22,Kasımpaşa,Super Lig
M. Yıldız,Murat Can Yıldız,GK,52,100000.0,1000.0,24,Kasımpaşa,Super Lig
