short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
S. Nzonzi,Steven N'Kemboanza Mike Christopher Nzonzi,"CDM, CM",76,2600000.0,17000.0,34,Konyaspor,Super Lig
Guilherme Sityá,Guilherme Haubert Sityá,"LB, LM",75,2900000.0,16000.0,33,Konyaspor,Super Lig
P. Bernardoni,Paul Jean François Bernardoni,GK,73,2900000.0,11000.0,26,Konyaspor,Super Lig
Nélson Oliveira,Nélson Miguel Castro Oliveira,ST,73,2600000.0,17000.0,31,Konyaspor,Super Lig
A. Cicâldău,Alexandru Cicâldău,"CM, CAM",72,2900000.0,26000.0,25,Konyaspor,Super Lig
A. Oğuz,Ahmet Oğuz,RB,72,2000000.0,12000.0,30,Konyaspor,Super Lig
F. Calvo,Francisco Javier Calvo Quesada,CB,71,1500000.0,11000.0,30,Konyaspor,Super Lig
Y. Mallı,Yunus Mallı,"CAM, CF, CM",70,1300000.0,10000.0,31,Konyaspor,Super Lig
L. Prip,Louka Daniel Prip Andreasen,RW,69,1600000.0,10000.0,26,Konyaspor,Super Lig
M. Demir,Muhammet Demir,"ST, CF",69,1200000.0,10000.0,31,Konyaspor,Super Lig
M. Moreno,Marlos Moreno Durán,"LW, RW",68,1400000.0,8000.0,26,Konyaspor,Super Lig
S. Dikmen,Soner Dikmen,"CM, CDM",68,1200000.0,8000.0,29,Konyaspor,Super Lig
Bruno Paz,Bruno Lourenço Pinto de Almeida Paz,"CM, CDM",67,1500000.0,6000.0,25,Konyaspor,Super Lig
A. Demirbağ,Adil Demirbağ,CB,67,1300000.0,6000.0,25,Konyaspor,Super Lig
S. Çikalleshi,Sokol Çikalleshi,ST,67,825000.0,7000.0,32,Konyaspor,Super Lig
R. Murić,Robert Murić,"RW, RM",67,1100000.0,7000.0,27,Konyaspor,Super Lig
C. Karayel,Cebrail Karayel,"RB, RM, LB",66,775000.0,5000.0,28,Konyaspor,Super Lig
U. Yazğılı,Uğurcan Yazğılı,"CB, CDM, RB",64,1100000.0,3000.0,24,Konyaspor,Super Lig
K. Demirtaş,Kahraman Demirtaş,"CB, LB",64,550000.0,4000.0,29,Konyaspor,Super Lig
O. Ülgün,Oğulcan Ülgün,"CDM, CM",63,875000.0,3000.0,25,Konyaspor,Super Lig
N. Rak,Niko Rak,"CDM, CM",62,900000.0,2000.0,19,Konyaspor,Super Lig
M. Büyüksayar,Mehmet Ali Büyüksayar,"LW, CAM, LM",61,775000.0,2000.0,19,Konyaspor,Super Lig
M. Mert,Metehan Mert,CB,61,600000.0,2000.0,24,Konyaspor,Super Lig
Y. Subaşı,Karahan Yasir Subaşı,LB,61,350000.0,3000.0,27,Konyaspor,Super Lig
M. Erdoğan,Mehmet Erdoğan,GK,53,190000.0,500.0,18,Konyaspor,Super Lig
D. Ertaş,Deniz Ertaş,GK,53,190000.0,500.0,18,Konyaspor,Super Lig
