short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
R. Deaconu,Ronaldo Octavian Andrei Deaconu,"CM, CAM",67,1300000.0,2000.0,26,Korona Kielce,Ekstraklasa
J. Łukowski,Jakub Łukowski,"LM, ST, RM",66,900000.0,2000.0,27,Korona Kielce,Ekstraklasa
Dalmau,Adriàn Dalmau Vaquer,ST,66,850000.0,2000.0,29,Korona Kielce,Ekstraklasa
M. Remacle,Martin Remacle,"CM, CDM",65,925000.0,1000.0,26,Korona Kielce,Ekstraklasa
Nono,David González Plata,"LM, CM, RM",65,575000.0,1000.0,32,Korona Kielce,Ekstraklasa
M. Briceag,Marius Ionuț Briceag,"LB, LWB",65,525000.0,1000.0,31,Korona Kielce,Ekstraklasa
M. Czyżycki,Mateusz Czyżycki,"CM, CDM, CAM",64,800000.0,1000.0,25,Korona Kielce,Ekstraklasa
M. Trojak,Miłosz Trojak,"CB, CDM",64,550000.0,1000.0,29,Korona Kielce,Ekstraklasa
K. Petrov,Kyrylo Petrov,"CB, CDM",64,275000.0,1000.0,33,Korona Kielce,Ekstraklasa
D. Takáč,Dalibor Takáč,"CM, CDM",63,675000.0,1000.0,25,Korona Kielce,Ekstraklasa
M. Godinho,Marcus Valdez Pereira Godinho,"RM, RB",63,575000.0,1000.0,26,Korona Kielce,Ekstraklasa
D. Błanik,Dawid Błanik,"LM, RM",63,575000.0,1000.0,26,Korona Kielce,Ekstraklasa
P. Malarczyk,Piotr Kamil Malarczyk,CB,63,325000.0,1000.0,31,Korona Kielce,Ekstraklasa
K. Forenc,Konrad Forenc,GK,63,325000.0,850.0,30,Korona Kielce,Ekstraklasa
B. Kwiecień,Bartosz Kwiecień,"CDM, CB",63,400000.0,1000.0,29,Korona Kielce,Ekstraklasa
D. Zator,Dominick Zator,"RB, CB",63,425000.0,1000.0,28,Korona Kielce,Ekstraklasa
J. Podgórski,Jacek Podgórski,"RM, LM",63,500000.0,1000.0,27,Korona Kielce,Ekstraklasa
E. Shikavka,Yevgeny Schikavko,ST,63,475000.0,1000.0,30,Korona Kielce,Ekstraklasa
Y. Hofmayster,Yoav Hofmayster,"CB, CDM",62,825000.0,800.0,22,Korona Kielce,Ekstraklasa
X. Dziekoński,Xavier Dziekoński,GK,62,750000.0,600.0,19,Korona Kielce,Ekstraklasa
H. Szulc,Hubert Szulc,ST,57,375000.0,500.0,18,Korona Kielce,Ekstraklasa
M. Strzeboński,Miłosz Strzeboński,"CAM, CM",56,350000.0,500.0,19,Korona Kielce,Ekstraklasa
J. Konstantyn,Jakub Konstantyn,"LM, LB",56,325000.0,650.0,21,Korona Kielce,Ekstraklasa
S. Gałązka,Szymon Gałązka,CAM,55,300000.0,500.0,17,Korona Kielce,Ekstraklasa
K. Kucharczyk,Kacper Kucharczyk,RM,53,230000.0,500.0,16,Korona Kielce,Ekstraklasa
R. Mamla,Rafał Mamla,GK,53,190000.0,500.0,19,Korona Kielce,Ekstraklasa
