short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
J. Hernández,Javier Hernández Balcázar,ST,77,4500000.0,8000.0,35,LA Galaxy,Major League Soccer
Riqui Puig,Ricard Puig Martí,"CM, CAM",75,11000000.0,8000.0,23,LA Galaxy,Major League Soccer
M. Yoshida,吉田 麻也,CB,73,1000000.0,7000.0,34,LA Galaxy,Major League Soccer
G. Brugman,Gastón Brugman Duarte,"CM, CDM",73,2900000.0,8000.0,30,LA Galaxy,Major League Soccer
D. Joveljić,Dejan Joveljić,ST,71,2900000.0,6000.0,23,LA Galaxy,Major League Soccer
M. Cáceres,José Martín Cáceres Silva,"CB, RB, RM",71,325000.0,4000.0,36,LA Galaxy,Major League Soccer
B. Sharp,Billy Sharp,ST,70,550000.0,4000.0,37,LA Galaxy,Major League Soccer
D. Fagundez,Diego Santiago Fagúndez Pepe,"LM, RM, CAM",70,1600000.0,5000.0,28,LA Galaxy,Major League Soccer
M. Delgado,Marky Delgado,"CDM, CM",70,1400000.0,5000.0,28,LA Galaxy,Major League Soccer
T. Boyd,Tyler Dominic Boyd,"LM, RM",70,1600000.0,5000.0,28,LA Galaxy,Major League Soccer
M. Barrios,Michael David Barrios Puerta,"RM, ST",70,1300000.0,5000.0,32,LA Galaxy,Major League Soccer
Calegari,Lucas Felipe Calegari,"RB, CDM",68,2800000.0,2000.0,21,LA Galaxy,Major League Soccer
J. Aude,Julián Ezequiel Aude Bernardi,"LB, CDM",67,2300000.0,2000.0,20,LA Galaxy,Major League Soccer
E. Cerrillo,Edwin Cerrillo,"CDM, CM",67,2200000.0,2000.0,22,LA Galaxy,Major League Soccer
J. Bond,Jonathan Bond,GK,67,775000.0,2000.0,30,LA Galaxy,Major League Soccer
R. Edwards,Raheem Edwards,"LB, LM, LWB",67,975000.0,3000.0,27,LA Galaxy,Major League Soccer
C. Mavinga,Chris Mavinga,CB,65,475000.0,2000.0,32,LA Galaxy,Major League Soccer
K. Leerdam,Kelvin Walther Gianini Leerdam,"RB, CB",65,375000.0,2000.0,33,LA Galaxy,Major League Soccer
Oriol Rosell,Oriol Rosell Argerich,"CDM, CM",65,600000.0,2000.0,30,LA Galaxy,Major League Soccer
J. Klinsmann,Jonathan Klinsmann,GK,64,625000.0,2000.0,26,LA Galaxy,Major League Soccer
Tony Alfaro,José Antonio Alfaro Vázquez,CB,64,475000.0,2000.0,30,LA Galaxy,Major League Soccer
J. Neal,Jalen Neal,CB,63,1200000.0,900.0,19,LA Galaxy,Major League Soccer
E. Zavaleta,Eriq Anthony Zavaleta Vanney,CB,62,325000.0,1000.0,30,LA Galaxy,Major League Soccer
D. Aguirre,Daniel Aguirre,CM,60,500000.0,1000.0,23,LA Galaxy,Major League Soccer
P. Judd,Preston Judd,ST,59,450000.0,1000.0,24,LA Galaxy,Major League Soccer
A. Saldaña,Adam Esparza Saldaña,"CDM, CM",58,475000.0,900.0,21,LA Galaxy,Major League Soccer
N. Mićović,Novak Mićović,GK,57,325000.0,650.0,21,LA Galaxy,Major League Soccer
M. Cuevas,Mauricio Cuevas,RB,56,300000.0,900.0,20,LA Galaxy,Major League Soccer
G. Vivi,Gino Vivi Quesada,CAM,55,275000.0,1000.0,22,LA Galaxy,Major League Soccer
M. Ferkranus,Marcus Ferkranus,CB,54,275000.0,850.0,20,LA Galaxy,Major League Soccer
