short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
P. De la Vega,Pedro De la Vega,"RM, LM",75,12500000.0,13000.0,22,Lanús,Liga Profesional
C. Lema,Cristian Franco Lema,CB,75,2700000.0,14000.0,33,Lanús,Liga Profesional
L. Díaz,Leandro Nicolás Díaz,ST,74,3600000.0,16000.0,31,Lanús,Liga Profesional
J. Cáceres,Juan José Cáceres,"RB, CB",73,6000000.0,12000.0,23,Lanús,Liga Profesional
R. Loaiza,Raúl Alberto Loaiza Morelos,"CDM, CM",73,2600000.0,13000.0,29,Lanús,Liga Profesional
J. Torres,Jonathan Torres,ST,72,3100000.0,10000.0,26,Lanús,Liga Profesional
L. Acosta,Lautaro Germán Acosta,"CAM, RM, LM",72,950000.0,9000.0,35,Lanús,Liga Profesional
F. Troyansky,Franco Troyansky,"ST, RM, LM",71,2500000.0,10000.0,26,Lanús,Liga Profesional
A. Lotti,Augusto Diego Lotti,ST,71,2200000.0,11000.0,27,Lanús,Liga Profesional
A. Aguerre,Alan Joaquín Aguerre,GK,71,925000.0,8000.0,32,Lanús,Liga Profesional
L. Acosta,Lucas Mauricio Acosta,GK,70,1500000.0,7000.0,28,Lanús,Liga Profesional
J. Fernández,Julián Rodrigo Fernández,"CDM, CM",70,1500000.0,8000.0,28,Lanús,Liga Profesional
J. Sand,José Gustavo Sand,ST,70,,7000.0,42,Lanús,Liga Profesional
D. Braghieri,Diego Luis Braghieri,CB,70,275000.0,6000.0,36,Lanús,Liga Profesional
F. Watson,Franco Watson,"CAM, CM, LM",69,3100000.0,6000.0,20,Lanús,Liga Profesional
F. Peña,Felipe Peña Biafore,"CDM, CB, CM",69,3000000.0,7000.0,22,Lanús,Liga Profesional
G. Pérez,Gonzalo Germán Pérez Corbalán,"CB, CDM",69,2600000.0,6000.0,22,Lanús,Liga Profesional
L. Boggio,Luciano Boggio Albín,"CM, RM",69,2800000.0,7000.0,24,Lanús,Liga Profesional
J. Canale,José María Canale Domínguez,CB,69,1600000.0,7000.0,26,Lanús,Liga Profesional
J. Sánchez Miño,Juan Manuel Sánchez Miño,"LB, LM, CM",69,725000.0,7000.0,33,Lanús,Liga Profesional
B. Aguirre,Braian Nahuel Aguirre,"RB, LB, RM",68,2600000.0,5000.0,22,Lanús,Liga Profesional
M. Esquivel,Matías Eduardo Esquivel,"CM, RM, LM",68,2400000.0,6000.0,24,Lanús,Liga Profesional
F. Orozco,Franco Orozco,"LM, LW, RM",67,2500000.0,4000.0,21,Lanús,Liga Profesional
M. González,Maximiliano González,"CDM, CM",65,1500000.0,2000.0,19,Lanús,Liga Profesional
B. Aguilar,Brian Mauricio Aguilar Caraballo,"CB, RB",62,900000.0,2000.0,20,Lanús,Liga Profesional
J. Soler,Julio César Soler Barreto,"LB, CB",61,800000.0,700.0,18,Lanús,Liga Profesional
A. Segovia,Alexis Segovia,RM,61,850000.0,2000.0,19,Lanús,Liga Profesional
A. Rodríguez,Agustín Javier Rodríguez,"CAM, LW, CF",61,775000.0,2000.0,19,Lanús,Liga Profesional
