short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Jonathan Viera,Jonathan Viera Ramos,"CAM, CM, LM",80,13000000.0,27000.0,33,Las Palmas,La Liga
Munir,Munir El Haddadi Mohamed,"LM, ST, RM",78,15000000.0,23000.0,27,Las Palmas,La Liga
Álvaro Valles,Álvaro Vallés Rosa,GK,76,9000000.0,14000.0,25,Las Palmas,La Liga
Eric Curbelo,Eric Curbelo de la Fe,"CB, RB",76,7000000.0,19000.0,29,Las Palmas,La Liga
E. Loiodice,Enzo Loiodice,"CM, CDM",75,12500000.0,17000.0,22,Las Palmas,La Liga
Moleiro,Alberto Moleiro González,"LM, CM, CAM",75,12000000.0,11000.0,19,Las Palmas,La Liga
Saúl Coco,Saúl Basilio Coco Bassey Oubiña,CB,75,11500000.0,15000.0,24,Las Palmas,La Liga
Sandro,Sandro Ramírez Castillo,"ST, LM",75,6000000.0,21000.0,27,Las Palmas,La Liga
Sergi Cardona,Sergi Cardona Bermúdez,"LB, LM",74,6000000.0,14000.0,23,Las Palmas,La Liga
Aarón,Aarón Escandell Banacloche,GK,74,4100000.0,13000.0,27,Las Palmas,La Liga
Pejiño,Francisco Jesús Crespo García,"RM, LM",73,3300000.0,16000.0,26,Las Palmas,La Liga
Mika Mármol,Mika Mármol Medina,"CB, LB",72,4900000.0,11000.0,22,Las Palmas,La Liga
D. Sinkgraven,Daley Sinkgraven,"LB, LWB, LM",72,2300000.0,13000.0,27,Las Palmas,La Liga
O. Mfulu,Omenuke Mfulu,"CDM, CM",72,2000000.0,14000.0,29,Las Palmas,La Liga
M. Perrone,Máximo Perrone,"CM, CDM",71,4500000.0,43000.0,20,Las Palmas,La Liga
Kirian,Kirian Rodríguez Concepción,"CM, CDM, CAM",71,2100000.0,13000.0,27,Las Palmas,La Liga
Álvaro Lemos,Álvaro Lemos Collazo,"RB, RM",71,1600000.0,12000.0,30,Las Palmas,La Liga
Marc Cardona,Marc Cardona Rovira,"ST, RM",71,2000000.0,14000.0,27,Las Palmas,La Liga
Alex Suárez,José Alejandro Suárez Suárez,"RB, CB",71,1600000.0,12000.0,30,Las Palmas,La Liga
J. Araujo,Julian Vincente Araujo,RB,70,3400000.0,37000.0,21,Las Palmas,La Liga
Benito,Benito Ramírez del Toro,"LB, LM, RM",70,1500000.0,10000.0,27,Las Palmas,La Liga
S. Kaba,Sory Kaba,ST,70,1600000.0,13000.0,28,Las Palmas,La Liga
Marvin,Marvin Olawale Akinlabi Park,"RM, RB",69,3100000.0,44000.0,23,Las Palmas,La Liga
Fabio González,Fabio González Estupiñán,"CDM, CM",69,1600000.0,9000.0,26,Las Palmas,La Liga
Javi Muñoz,Javier Muñoz Jiménez,"CAM, CDM, CM",69,1400000.0,10000.0,28,Las Palmas,La Liga
Cristian Herrera,Cristian Ignacio Herrera Pérez,"RM, LM, ST",68,950000.0,8000.0,32,Las Palmas,La Liga
Ale Gorrin,Alejandro González Gorrin,GK,56,275000.0,1000.0,20,Las Palmas,La Liga
