short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
D. Kuzyaev,Daler Kuzyaev,"CM, RM, CDM",75,5500000.0,19000.0,30,Le Havre,Ligue 1
M. Bayo,Mohamed Lamine Bayo,ST,74,6000000.0,28000.0,25,Le Havre,Ligue 1
A. Desmas,Arthur Desmas,GK,72,1800000.0,11000.0,29,Le Havre,Ligue 1
O. El Hajjam,Oualid El Hajjam,RB,72,1600000.0,13000.0,32,Le Havre,Ligue 1
Y. Salmier,Yoann Salmier,"CB, RB",72,1900000.0,13000.0,30,Le Havre,Ligue 1
A. Sangante,Arouna Sangante,CB,71,3900000.0,8000.0,21,Le Havre,Ligue 1
C. Operi,Christopher Téa Opéri,"LB, LWB",71,2300000.0,11000.0,26,Le Havre,Ligue 1
G. Lloris,Gautier Lloris,CB,71,2000000.0,11000.0,27,Le Havre,Ligue 1
L. Négo,Loïc Négo,"RB, RWB",70,1100000.0,10000.0,32,Le Havre,Ligue 1
R. Ndiaye,Rassoul Ndiaye,"CDM, CM",69,3000000.0,6000.0,21,Le Havre,Ligue 1
N. Alioui,Nabil Alioui,"LW, ST, LM",69,2100000.0,9000.0,24,Le Havre,Ligue 1
S. Grandsir,Samuel Grandsir,"LW, LM",69,1500000.0,10000.0,26,Le Havre,Ligue 1
O. Targhalline,Oussama Targhalline,"CM, CDM",68,2700000.0,6000.0,21,Le Havre,Ligue 1
Y. Kechta,Yassine Kechta,"CM, CDM",68,2700000.0,6000.0,21,Le Havre,Ligue 1
I. Soumaré,Issa Soumaré,"LW, LM, ST",68,2500000.0,8000.0,22,Le Havre,Ligue 1
A. Touré,Abdoulaye Touré,"CDM, CM",68,1000000.0,8000.0,29,Le Havre,Ligue 1
J. Casimir,Josué Casimir,RW,67,2100000.0,6000.0,21,Le Havre,Ligue 1
E. Sabbi,Emmanuel Afriyie Mario Sabbi,"RW, ST",67,1300000.0,7000.0,25,Le Havre,Ligue 1
M. Gorgelin,Mathieu Gorgelin,GK,67,500000.0,5000.0,32,Le Havre,Ligue 1
N. Mbemba,Nolan Mbemba,"CM, RB, CDM",67,1000000.0,7000.0,28,Le Havre,Ligue 1
É. Kinkoué,Étienne Youte Kinkoue,CB,65,1500000.0,3000.0,21,Le Havre,Ligue 1
A. Joujou,Antoine Joujou,"RW, LW, ST",65,1600000.0,4000.0,20,Le Havre,Ligue 1
A. Confais,Aloïs Confais,"CDM, RB, CM",65,850000.0,5000.0,26,Le Havre,Ligue 1
K. Diawara,Kandet Diawara,"LW, RW",63,975000.0,4000.0,23,Le Havre,Ligue 1
C. Doumbia,Cheick Doumbia,LB,62,875000.0,900.0,18,Le Havre,Ligue 1
É. Logbo,Élysée Logbo,ST,62,875000.0,2000.0,19,Le Havre,Ligue 1
S. Ebonog,Simon Ebonog,CM,61,750000.0,1000.0,18,Le Havre,Ligue 1
S. Ngoura,Steve Ngoura,ST,61,775000.0,1000.0,18,Le Havre,Ligue 1
M. Koné,Mohamed Koné,GK,61,650000.0,2000.0,21,Le Havre,Ligue 1
Y. Gomis,Yoni Gomis,CB,59,525000.0,500.0,17,Le Havre,Ligue 1
M. Bodmer,Mathéo Bodmer,CDM,59,500000.0,1000.0,19,Le Havre,Ligue 1
M. Bentoumi,Mokrane Bentoumi,CAM,58,525000.0,1000.0,18,Le Havre,Ligue 1
