short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Gabriel Strefezza,Gabriel Tadeu Strefezza Rebelato,"RW, ST",77,12500000.0,21000.0,26,Lecce,Serie A
W. Falcone,Wladimiro Falcone,GK,76,6500000.0,14000.0,28,Lecce,Serie A
F. Baschirotto,Federico Baschirotto,"CB, RB",75,6000000.0,15000.0,26,Lecce,Serie A
N. Sansone,Nicola Domenico Sansone,"CAM, LW, ST",75,4700000.0,17000.0,31,Lecce,Serie A
N. Krstović,Nikola Krstović,ST,74,9500000.0,15000.0,23,Lecce,Serie A
M. Pongračić,Marin Pongračić,CB,74,5500000.0,14000.0,25,Lecce,Serie A
V. Gendrey,Valentin Gendrey,RB,72,5000000.0,10000.0,23,Lecce,Serie A
R. Oudin,Rémi Oudin,"LW, LM, CM",72,2800000.0,14000.0,26,Lecce,Serie A
L. Venuti,Lorenzo Venuti,RB,72,2100000.0,12000.0,28,Lecce,Serie A
L. Banda,Lameck Banda,LW,71,4200000.0,11000.0,22,Lecce,Serie A
A. Gallo,Antonino Gallo,LB,71,4000000.0,9000.0,23,Lecce,Serie A
A. Touba,Ahmed Touba,CB,71,2300000.0,14000.0,25,Lecce,Serie A
A. Blin,Alexis Blin,"CDM, CM, CB",71,2200000.0,10000.0,26,Lecce,Serie A
Joan González,Joan González Cañellas,CM,69,3400000.0,6000.0,21,Lecce,Serie A
R. Piccoli,Roberto Piccoli,ST,69,3200000.0,19000.0,22,Lecce,Serie A
Y. Ramadani,Ylber Ramadani,"CDM, CM",69,1500000.0,8000.0,27,Lecce,Serie A
M. Kaba,Mohamed Kaba,"CDM, CM",68,2600000.0,5000.0,21,Lecce,Serie A
P. Almqvist,Pontus Almqvist,"ST, LW, RW",68,1900000.0,7000.0,23,Lecce,Serie A
K. Dermaku,Kastriot Dermaku,CB,67,700000.0,6000.0,31,Lecce,Serie A
H. Rafia,Hamza Rafia,"CM, CAM, RW",66,1700000.0,5000.0,24,Lecce,Serie A
P. Dorgu,Patrick Dorgu,LB,64,1800000.0,1000.0,18,Lecce,Serie A
M. Listkowski,Marcin Listkowski,"CF, LW, CM",64,875000.0,4000.0,25,Lecce,Serie A
G. Faticanti,Giacomo Faticanti,"CDM, CM",62,950000.0,800.0,18,Lecce,Serie A
R. Burnete,Rares Burnete,"ST, LW",62,1000000.0,2000.0,19,Lecce,Serie A
B. Johnson,Baylin Johnson,"RW, RM, LM",62,1000000.0,2000.0,17,Lecce,Serie A
D. Samek,Daniel Samek,"CDM, CM",61,675000.0,1000.0,19,Lecce,Serie A
J. Corfitzen,Jeppe Corfitzen,RW,60,775000.0,1000.0,18,Lecce,Serie A
A. Borbei,Alexandru Borbei,GK,60,525000.0,1000.0,20,Lecce,Serie A
M. Berisha,Medon Berisha,CM,59,575000.0,2000.0,19,Lecce,Serie A
E. McJannet,Ed McJannett,"CAM, CM",57,450000.0,2000.0,19,Lecce,Serie A
F. Brancolini,Federico Brancolini,GK,55,275000.0,1000.0,21,Lecce,Serie A
Z. Smajlović,Zinedin Smajlović,CB,52,190000.0,1000.0,19,Lecce,Serie A
