short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Ioniță,Artur Ioniță,CM,72,1800000.0,5000.0,32,Lecco,Serie B
G. Crociata,Giovanni Crociata,"CAM, CM",69,1700000.0,2000.0,25,Lecco,Serie B
L. Marrone,Luca Marrone,CB,68,575000.0,2000.0,33,Lecco,Serie B
E. Zambataro,Eyob Zambataro,LM,66,1200000.0,1000.0,24,Lecco,Serie B
A. Novakovich,Andrija Novakovich,ST,66,1000000.0,2000.0,26,Lecco,Serie B
V. Celjak,Vedran Celjak,"RWB, CB, RB",66,625000.0,1000.0,31,Lecco,Serie B
F. Donati,Francesco Donati,"RWB, RM, RB",65,1500000.0,2000.0,22,Lecco,Serie B
R. Melgrati,Riccardo Melgrati,GK,65,500000.0,950.0,29,Lecco,Serie B
M. Battistini,Matteo Battistini,CB,65,600000.0,1000.0,29,Lecco,Serie B
J. Tenkorang,Joshua Tenkorang,"CM, CAM",64,1300000.0,1000.0,23,Lecco,Serie B
N. Buso,Nicolò Buso,"CF, CAM, RW",64,1200000.0,1000.0,23,Lecco,Serie B
F. Lepore,Franco Lepore,"RM, CB, RB",64,190000.0,800.0,37,Lecco,Serie B
D. Guglielmotti,Davide Guglielmotti,"RM, RB",64,575000.0,1000.0,29,Lecco,Serie B
L. Pinzauti,Lorenzo Pinzauti,ST,64,600000.0,1000.0,28,Lecco,Serie B
L. Giudici,Luca Giudici,"LM, RM",64,475000.0,1000.0,31,Lecco,Serie B
A. Bianconi,Alessandro Bianconi,CB,63,650000.0,750.0,24,Lecco,Serie B
A. Caporale,Alessandro Caporale,"CB, LWB, LB",63,550000.0,900.0,27,Lecco,Serie B
D. Mangni,Doudou Mangni,ST,63,475000.0,1000.0,30,Lecco,Serie B
U. Saracco,Umberto Saracco,GK,62,300000.0,700.0,29,Lecco,Serie B
G. Galli,Giorgio Galli,"CM, CB, CDM",62,450000.0,850.0,27,Lecco,Serie B
U. Eusepi,Umberto Eusepi,ST,62,190000.0,950.0,34,Lecco,Serie B
D. Degli Innocenti,Duccio Degli Innocenti,"CDM, CM",61,825000.0,1000.0,20,Lecco,Serie B
A. Sersanti,Alessandro Sersanti,"CM, RB, CAM",61,675000.0,600.0,21,Lecco,Serie B
L. Di Stefano,Lorenzo Di Stefano,ST,60,600000.0,600.0,20,Lecco,Serie B
M. Lemmens,Mats Lemmens,"RWB, RB, RM",60,525000.0,2000.0,21,Lecco,Serie B
G. Nesta,Gian Marco Nesta,RM,60,550000.0,650.0,23,Lecco,Serie B
B. Boci,Brayan Boci,"LM, LWB, LB",59,525000.0,2000.0,19,Lecco,Serie B
V. Agostinelli,Vittorio Alberto Agostinelli,"CM, CAM",57,400000.0,550.0,21,Lecco,Serie B
M. Tordini,Mattia Tordini,"ST, LW",56,325000.0,600.0,21,Lecco,Serie B
L. Bonadeo,Luca Bonadeo,GK,52,150000.0,500.0,20,Lecco,Serie B
