short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Ishak,Mikael Ishak,ST,73,3000000.0,10000.0,30,Lech Poznań,Ekstraklasa
A. Gholizadeh,Ali Gholizadeh,"RM, CAM, CF",73,3200000.0,9000.0,27,Lech Poznań,Ekstraklasa
J. Karlström,Jesper Karlström,CDM,72,2300000.0,8000.0,28,Lech Poznań,Ekstraklasa
D. Hotić,Dino Hotić,"CAM, RM, CF",72,2500000.0,8000.0,27,Lech Poznań,Ekstraklasa
A. Milić,Antonio Milić,CB,71,1700000.0,7000.0,29,Lech Poznań,Ekstraklasa
Afonso Sousa,Afonso Gamelas de Pinho Sousa,"CAM, CM",70,3500000.0,6000.0,23,Lech Poznań,Ekstraklasa
Joel Pereira,Joel Vieira Pereira,RB,70,1800000.0,6000.0,26,Lech Poznań,Ekstraklasa
R. Murawski,Radosław Paweł Murawski,"CDM, CM",70,1400000.0,6000.0,29,Lech Poznań,Ekstraklasa
F. Dagerstål,Filip Dagerstål,CB,69,1800000.0,5000.0,26,Lech Poznań,Ekstraklasa
K. Velde,Kristoffer Velde,"LM, RM",69,2100000.0,5000.0,23,Lech Poznań,Ekstraklasa
M. Blažič,Miha Blažič,CB,69,1100000.0,5000.0,30,Lech Poznań,Ekstraklasa
F. Bednarek,Filip Bednarek,GK,68,800000.0,3000.0,30,Lech Poznań,Ekstraklasa
F. Marchwiński,Filip Marchwiński,CAM,67,2300000.0,3000.0,21,Lech Poznań,Ekstraklasa
B. Mrozek,Bartosz Mrozek,GK,67,2000000.0,2000.0,23,Lech Poznań,Ekstraklasa
E. Andersson,Nils Erik Elias Andersson,"LB, CM",67,1100000.0,4000.0,27,Lech Poznań,Ekstraklasa
A. Czerwiński,Alan Czerwiński,"RB, CB",67,875000.0,4000.0,30,Lech Poznań,Ekstraklasa
N. Kvekveskiri,Nika Kvekveskiri,"CDM, CM",67,725000.0,4000.0,31,Lech Poznań,Ekstraklasa
F. Szymczak,Filip Szymczak,"ST, RM",66,2100000.0,3000.0,21,Lech Poznań,Ekstraklasa
B. Douglas,Barry James Douglas,LB,66,450000.0,3000.0,33,Lech Poznań,Ekstraklasa
A. Sobiech,Artur Adam Sobiech,ST,65,450000.0,3000.0,33,Lech Poznań,Ekstraklasa
A. Ba Loua,Adriel D'Avila Ba Loua,RM,65,775000.0,3000.0,26,Lech Poznań,Ekstraklasa
M. Pingot,Maksymilian Pingot,CB,61,750000.0,1000.0,20,Lech Poznań,Ekstraklasa
F. Wilak,Filip Wilak,"LM, RM",59,575000.0,1000.0,19,Lech Poznań,Ekstraklasa
M. Dziuba,Maksymilian Dziuba,"CM, CAM",57,425000.0,600.0,18,Lech Poznań,Ekstraklasa
M. Mędrala,Mateusz Mędrala,GK,56,350000.0,500.0,17,Lech Poznań,Ekstraklasa
M. Gurgul,Michał Gurgul,"CB, LB",56,325000.0,500.0,17,Lech Poznań,Ekstraklasa
A. Nadolski,Aleksander Nadolski,"CAM, CM",56,350000.0,600.0,18,Lech Poznań,Ekstraklasa
B. Tomaszewski,Bartosz Tomaszewski,CB,53,220000.0,500.0,18,Lech Poznań,Ekstraklasa
