short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
I. Meslier,Illan Meslier,GK,75,9500000.0,24000.0,23,Leeds United,Championship
D. James,Daniel James,"RM, ST, LM",75,7500000.0,38000.0,25,Leeds United,Championship
P. Bamford,Patrick Bamford,ST,75,5500000.0,45000.0,29,Leeds United,Championship
W. Gnonto,Degnand Wilfried Gnonto,"LM, RM, ST",74,9000000.0,21000.0,19,Leeds United,Championship
D. Spence,Djed Spence,"RB, RWB",74,9000000.0,46000.0,22,Leeds United,Championship
E. Ampadu,Ethan Kwame Colm Raymond Ampadu,"CDM, CM, CB",74,8000000.0,29000.0,22,Leeds United,Championship
J. Piroe,Joël Mohammed Ramzan Piroe,"ST, RW, CAM",74,8500000.0,35000.0,23,Leeds United,Championship
J. Rodon,Joe Rodon,CB,74,5500000.0,51000.0,25,Leeds United,Championship
L. Cooper,Liam Cooper,CB,74,2900000.0,34000.0,31,Leeds United,Championship
K. Darlow,Karl Darlow,GK,74,2100000.0,27000.0,32,Leeds United,Championship
C. Summerville,Crysencio Summerville,"RM, LM",73,7000000.0,25000.0,21,Leeds United,Championship
P. Struijk,Pascal Struijk,"CB, LB",73,4200000.0,27000.0,23,Leeds United,Championship
J. Anthony,Jaidon Anthony,"LM, LW",73,4600000.0,31000.0,23,Leeds United,Championship
Junior Firpo,Héctor Junior Firpo Adamés,"LB, LWB",73,3300000.0,31000.0,26,Leeds United,Championship
G. Kamara,Glen Adjei Kamara,"CM, CDM",73,3200000.0,34000.0,27,Leeds United,Championship
G. Rutter,Georginio Rutter,"ST, RM",72,5500000.0,25000.0,21,Leeds United,Championship
I. Gruev,Ilia Iliev Gruev,"CDM, CM",72,3400000.0,23000.0,23,Leeds United,Championship
L. Ayling,Luke Ayling,"RB, CB",72,1700000.0,27000.0,31,Leeds United,Championship
S. Dallas,Stuart Dallas,"CM, LB, CDM",72,1800000.0,30000.0,32,Leeds United,Championship
S. Byram,Sam Byram,"LB, RB",71,1600000.0,25000.0,29,Leeds United,Championship
C. Cresswell,Charlie Cresswell,CB,70,3300000.0,15000.0,20,Leeds United,Championship
J. Gelhardt,Joe Gelhardt,"CAM, ST, CF",70,3600000.0,17000.0,21,Leeds United,Championship
I. Poveda,Ian Carlo Poveda-Ocampo,"RM, CAM",69,2800000.0,17000.0,23,Leeds United,Championship
J. Shackleton,Jamie Shackleton,"CM, CDM, RB",69,2200000.0,17000.0,23,Leeds United,Championship
A. Gray,Archie Gray,"CM, CDM, CAM",65,1800000.0,1000.0,17,Leeds United,Championship
L. Hjelde,Leo Fuhr Hjelde,"LB, CB",65,1600000.0,5000.0,19,Leeds United,Championship
K. Klaesson,Kristoffer-August Sundquist Klaesson,GK,65,1500000.0,7000.0,22,Leeds United,Championship
M. Joseph,Mateo Joseph Fernández Regatillo,ST,63,1300000.0,6000.0,19,Leeds United,Championship
D. Gyabi,Darko Gyabi,"CDM, CM",63,1200000.0,4000.0,19,Leeds United,Championship
Diogo Monteiro,Diogo Pinheiro Monteiro,CB,60,750000.0,2000.0,18,Leeds United,Championship
