short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Nyom,Allan-Roméo Nyom,"CB, RB, RM",73,800000.0,7000.0,35,Leganés,La Liga 2
Jorge Miramón,Jorge Miramón Santagertrudis,"RB, RWB, RM",72,850000.0,9000.0,34,Leganés,La Liga 2
Miguel,Miguel de la Fuente Escudero,"ST, RM",71,3800000.0,14000.0,23,Leganés,La Liga 2
Dani Raba,Daniel Raba Antolín,"RM, ST",71,2000000.0,8000.0,27,Leganés,La Liga 2
Y. Neyou,Yvan Neyou Noupa,"CDM, CM",70,2100000.0,7000.0,26,Leganés,La Liga 2
S. Cisse,Seydouba Cisse,"CM, RM, LM",69,3100000.0,5000.0,22,Leganés,La Liga 2
Undabarrena,Iker Undabarrena Martínez,"CM, CDM, CAM",69,1400000.0,7000.0,28,Leganés,La Liga 2
Jorge Sáenz,Jorge Sáenz de Miera Colmeiro,CB,68,1600000.0,5000.0,26,Leganés,La Liga 2
Darío Poveda,Darío Poveda Romera,"ST, RM, LM",68,1600000.0,11000.0,26,Leganés,La Liga 2
Josema,José Manuel Sánchez Guillén,"LB, CB, LWB",68,1300000.0,5000.0,27,Leganés,La Liga 2
Sergio,Sergio González Poirrier,CB,68,825000.0,5000.0,31,Leganés,La Liga 2
Ureña,Óscar Ureña García,"LM, RM, ST",67,2200000.0,6000.0,20,Leganés,La Liga 2
J. Chicco,Julián Antonio Chicco,"CDM, CM",67,1400000.0,4000.0,25,Leganés,La Liga 2
Franquesa,Enric Franquesa Dolz,"LB, LM, LWB",67,1200000.0,4000.0,26,Leganés,La Liga 2
N. Djouahra,Näis Djouahra,"LM, RM",66,1900000.0,3000.0,23,Leganés,La Liga 2
Arambarri,Aritz Arambarri Murua,CB,66,1600000.0,3000.0,25,Leganés,La Liga 2
Luis Perea,Luis Perea Hernández,"CDM, CM",66,1100000.0,3000.0,25,Leganés,La Liga 2
Dani Jiménez,Daniel Jiménez López,GK,66,275000.0,3000.0,33,Leganés,La Liga 2
Diego Conde,Diego José Conde Alcolado,GK,65,1400000.0,2000.0,24,Leganés,La Liga 2
Naim García,Naim García García,"RM, LM",64,1400000.0,2000.0,21,Leganés,La Liga 2
Diego García,Diego García Campos,ST,64,1300000.0,3000.0,23,Leganés,La Liga 2
D. Abzi,Diyaeddine Abzi,"LWB, LB, LM",64,1100000.0,1000.0,24,Leganés,La Liga 2
I. Fomba,Issa Fomba,"LM, RM, ST",63,1100000.0,2000.0,22,Leganés,La Liga 2
Lalo Aguilar,Gonzalo Aguilar López,CB,61,750000.0,1000.0,21,Leganés,La Liga 2
Javi Garrido,Javier Garrido López,GK,59,475000.0,600.0,19,Leganés,La Liga 2
