short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Josué,Josué Filipe Soares Pesqueira,"CAM, CM, CF",74,3300000.0,10000.0,32,Legia Warszawa,Ekstraklasa
Gil Dias,Gil Bastião Dias,"LM, RM",71,2200000.0,15000.0,26,Legia Warszawa,Ekstraklasa
P. Wszołek,Paweł Marek Wszołek,RM,71,1600000.0,7000.0,31,Legia Warszawa,Ekstraklasa
Marc Gual,Marc Gual Huguet,"ST, CF",70,1900000.0,7000.0,27,Legia Warszawa,Ekstraklasa
A. Jędrzejczyk,Artur Jędrzejczyk,CB,70,425000.0,4000.0,35,Legia Warszawa,Ekstraklasa
T. Pekhart,Tomáš Pekhart,ST,70,775000.0,7000.0,34,Legia Warszawa,Ekstraklasa
B. Slisz,Bartosz Slisz,"CM, CDM",69,2800000.0,5000.0,24,Legia Warszawa,Ekstraklasa
B. Kapustka,Bartosz Kapustka,"CAM, CM, CF",69,1800000.0,5000.0,26,Legia Warszawa,Ekstraklasa
P. Kun,Patryk Kun,LM,69,1400000.0,6000.0,28,Legia Warszawa,Ekstraklasa
K. Tobiasz,Kacper Tobiasz,GK,67,2100000.0,2000.0,20,Legia Warszawa,Ekstraklasa
J. Elitim,Juergen Farid Elitim Sepúlveda,"CM, CDM, CAM",67,1500000.0,3000.0,24,Legia Warszawa,Ekstraklasa
Yuri Ribeiro,Yuri Oliveira Ribeiro,"CB, LWB, LB",67,1200000.0,4000.0,26,Legia Warszawa,Ekstraklasa
P. Sokołowski,Patryk Sokołowski,"CDM, CM",67,975000.0,4000.0,28,Legia Warszawa,Ekstraklasa
R. Augustyniak,Rafał Augustyniak,"CB, CDM",67,850000.0,4000.0,29,Legia Warszawa,Ekstraklasa
E. Muçi,Ernest Muçi,"ST, CF, CAM",66,1900000.0,3000.0,22,Legia Warszawa,Ekstraklasa
D. Hładun,Dominik Hładun,GK,66,850000.0,2000.0,27,Legia Warszawa,Ekstraklasa
M. Baku,Makana Rudi Baku,"LM, RM",66,1100000.0,3000.0,25,Legia Warszawa,Ekstraklasa
B. Kramer,Blaž Kramer,ST,66,1000000.0,4000.0,27,Legia Warszawa,Ekstraklasa
R. Pankov,Radovan Pankov,CB,66,800000.0,3000.0,27,Legia Warszawa,Ekstraklasa
M. Rosołek,Maciej Rosołek,"ST, CF, LM",65,1600000.0,2000.0,21,Legia Warszawa,Ekstraklasa
L. Rose,Lindsay Rose,CB,65,500000.0,3000.0,31,Legia Warszawa,Ekstraklasa
I. Kharatin,Igor Kharatin,CDM,65,625000.0,3000.0,28,Legia Warszawa,Ekstraklasa
G. Kobylak,Gabriel Kobylak,GK,64,1100000.0,1000.0,21,Legia Warszawa,Ekstraklasa
S. Kapuadi,Steve Kapuadi,CB,64,725000.0,2000.0,25,Legia Warszawa,Ekstraklasa
R. Mustafaev,Ramil Mustafaev,"RM, RWB",63,1000000.0,1000.0,19,Legia Warszawa,Ekstraklasa
J. Çelhaka,Jurgen Çelhaka,CDM,63,700000.0,2000.0,22,Legia Warszawa,Ekstraklasa
I. Strzałek,Igor Strzałek,CAM,61,850000.0,1000.0,19,Legia Warszawa,Ekstraklasa
J. Jędrasik,Jakub Jędrasik,"CAM, LM, RM",57,425000.0,600.0,18,Legia Warszawa,Ekstraklasa
