short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Samba,Brice Samba,GK,81,21500000.0,37000.0,29,Lens,Ligue 1
F. Medina,Facundo Axel Medina,CB,80,27000000.0,34000.0,24,Lens,Ligue 1
K. Danso,Kevin Danso,CB,80,27000000.0,34000.0,24,Lens,Ligue 1
P. Frankowski,Przemysław Frankowski,"RWB, LWB",79,16000000.0,39000.0,28,Lens,Ligue 1
E. Wahi,Sepe Elye Wahi,"ST, LM",78,31000000.0,31000.0,20,Lens,Ligue 1
S. Abdul Samed,Salis Abdul Samed,"CDM, CM",78,18500000.0,29000.0,23,Lens,Ligue 1
A. Thomasson,Adrien Thomasson,"LW, RW, CM",78,14000000.0,42000.0,29,Lens,Ligue 1
J. Gradit,Jonathan Gradit,CB,78,11500000.0,34000.0,30,Lens,Ligue 1
F. Sotoca,Florian Sotoca,"ST, RW",77,8500000.0,38000.0,32,Lens,Ligue 1
S. Spierings,Stijn Spierings,"CDM, CM",76,8000000.0,30000.0,27,Lens,Ligue 1
M. Haïdara,Massadio Haïdara,"LWB, CB",76,6500000.0,30000.0,30,Lens,Ligue 1
D. Machado,Deiver Andrés Machado Mena,"LWB, LB",76,6500000.0,31000.0,29,Lens,Ligue 1
R. Aguilar,Ruben Aguilar,RB,76,6500000.0,30000.0,30,Lens,Ligue 1
A. Fulgini,Angelo Fulgini,"LW, CM, CAM",76,8000000.0,36000.0,26,Lens,Ligue 1
A. Diouf,Andy Diouf,"CM, CDM",74,9000000.0,21000.0,20,Lens,Ligue 1
David Costa,David Pereira Da Costa,LW,74,7000000.0,28000.0,22,Lens,Ligue 1
N. Mendy,Nampalys Mendy,"CDM, CM",74,3000000.0,26000.0,31,Lens,Ligue 1
W. Saïd,Wesley Saïd,ST,74,4300000.0,33000.0,28,Lens,Ligue 1
F. Maouassa,Christ-Emmanuel Faitout Maouassa,"LM, LB, LWB",73,4200000.0,16000.0,24,Lens,Ligue 1
J. Cabot,Jimmy Cabot,"RWB, RM",73,2700000.0,25000.0,29,Lens,Ligue 1
M. Guilavogui,Morgan Guilavogui,"ST, RW",72,3500000.0,24000.0,25,Lens,Ligue 1
J. Leca,Jean-Louis Leca,GK,72,250000.0,11000.0,37,Lens,Ligue 1
W. Faríñez,Wuilker Fariñez Aray,GK,70,1900000.0,13000.0,25,Lens,Ligue 1
Ó. Cortés,Oscar Manuel Cortés Cortés,"RW, LW",68,2900000.0,9000.0,19,Lens,Ligue 1
A. Khusanov,Abdukodir Khusanov,CB,66,1900000.0,5000.0,19,Lens,Ligue 1
N. El Aynaoui,Neil El Aynaoui,CM,66,1900000.0,7000.0,21,Lens,Ligue 1
A. Sishuba,Ayanda Sishuba,"CAM, LW",64,1500000.0,3000.0,18,Lens,Ligue 1
I. Baldé,Ibrahima Baldé,"RW, RM",63,1100000.0,6000.0,20,Lens,Ligue 1
F. Sylla,Fodé Sylla,"CM, CDM",62,1000000.0,750.0,17,Lens,Ligue 1
N. Bonte,Nolan Bonte,LW,62,950000.0,4000.0,19,Lens,Ligue 1
Y. Pandor,Yannick Pandor,GK,62,775000.0,4000.0,22,Lens,Ligue 1
