short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Andrés Fernández,Andrés Eduardo Fernández Moreno,GK,75,625000.0,6000.0,36,Levante,La Liga 2
Ander Capa,Ander Capa Rodríguez,RB,75,4100000.0,12000.0,31,Levante,La Liga 2
Alex Muñoz,Alejandro José Muñoz Miguel,"LB, CB",74,3800000.0,11000.0,28,Levante,La Liga 2
Rúben Vezo,Rúben Miguel Nunes Vezo,"CB, RB",73,2800000.0,10000.0,29,Levante,La Liga 2
Pablo Martínez,Pablo Martínez Andrés,"CM, CAM, CDM",72,3200000.0,9000.0,25,Levante,La Liga 2
M. Bouldini,Mohamed Bouldini,ST,72,2700000.0,10000.0,27,Levante,La Liga 2
Oriol Rey,Oriol Rey Erenas,"CM, CDM",71,2700000.0,8000.0,25,Levante,La Liga 2
Brugui,Roger Brugué Ayguadé,"RM, LM, ST",71,2200000.0,8000.0,26,Levante,La Liga 2
Postigo,Sergio Postigo Redondo,CB,71,600000.0,8000.0,34,Levante,La Liga 2
De La Fuente,Adrián de la Fuente Barquilla,"CB, RB",70,3300000.0,6000.0,24,Levante,La Liga 2
Joan Femenías,Joan Femenías del Salto,GK,70,1700000.0,6000.0,26,Levante,La Liga 2
Cantero,Alejandro Cantero Sánchez,"ST, RM, LM",69,3100000.0,6000.0,23,Levante,La Liga 2
G. Kochorashvili,Giorgi Kochorashvili,"CDM, CM",69,2600000.0,5000.0,24,Levante,La Liga 2
Sergio Lozano,Sergio Lozano Lluch,"LM, CAM, CM",69,2200000.0,6000.0,24,Levante,La Liga 2
Dani Gómez,Daniel Gómez Alcón,ST,69,2000000.0,6000.0,24,Levante,La Liga 2
Algobia,Ángel Algobia Esteves,"CM, CDM",68,2400000.0,5000.0,24,Levante,La Liga 2
Rober Ibáñez,Roberto Ibáñez Castro,"LM, RM",68,1200000.0,5000.0,30,Levante,La Liga 2
Iván Romero,Iván Romero de Ávila Araque,"ST, RM, LM",67,2300000.0,4000.0,22,Levante,La Liga 2
Óscar Clemente,Óscar Clemente Mues,"LM, RM, CM",67,1600000.0,4000.0,24,Levante,La Liga 2
Andrés García,Andrés García Robledo,"LM, RM",64,1300000.0,2000.0,20,Levante,La Liga 2
Carlos Álvarez,Carlos Álvarez Rivera,"CAM, RM, LM",63,1200000.0,1000.0,19,Levante,La Liga 2
Álex Blesa,Alejandro Blesa Pina,"CM, CDM",63,1200000.0,2000.0,21,Levante,La Liga 2
Álex Valle,Álex Valle Gómez,LB,63,1100000.0,10000.0,19,Levante,La Liga 2
Fabricio,Fabricio Rosario Dos Santos,"ST, CAM, RM",63,1100000.0,3000.0,22,Levante,La Liga 2
Alejandro Marcos,Alejandro Marcos López,CB,62,825000.0,2000.0,23,Levante,La Liga 2
Xavi Grande,Xavier Grande Sánchez,RB,61,725000.0,550.0,18,Levante,La Liga 2
Hugo Redón,Hugo Redón Almela,"CM, CDM",60,650000.0,1000.0,20,Levante,La Liga 2
Marcos Navarro,Marcos Navarro Blázquez,LB,59,550000.0,950.0,19,Levante,La Liga 2
Edgar Alcañiz,Edgar Alcañiz Baldovi,CM,59,575000.0,700.0,18,Levante,La Liga 2
Álex Primo,Alejandro Primo Hernández,GK,58,375000.0,500.0,18,Levante,La Liga 2
