short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
I. El Mizouni,Idris El Mizouni,CDM,67,1400000.0,6000.0,22,Leyton Orient,League One
J. Graham,Jordan Graham,"RM, RWB, LWB",67,1000000.0,4000.0,28,Leyton Orient,League One
T. Archibald,Theodore Valentine Archibald,"RM, RW, LWB",65,900000.0,2000.0,25,Leyton Orient,League One
O. Beckles,Omar Jerome Beckles,CB,65,500000.0,2000.0,31,Leyton Orient,League One
S. Brynn,Solomon Brynn,GK,64,1100000.0,4000.0,22,Leyton Orient,League One
D. Happe,Daniel Happe,CB,64,725000.0,2000.0,24,Leyton Orient,League One
D. Agyei,Daniel Ebenezer Kwasi Agyei,"ST, LM",64,700000.0,3000.0,26,Leyton Orient,League One
G. Moncur,George Moncur,CAM,64,575000.0,2000.0,29,Leyton Orient,League One
J. Pigott,Joseph David Wozencroft Pigott,ST,64,575000.0,3000.0,29,Leyton Orient,League One
T. James,Thomas Lynn James,"RB, LB",64,575000.0,2000.0,27,Leyton Orient,League One
E. Turns,Ed Turns,CB,63,1100000.0,9000.0,20,Leyton Orient,League One
B. Cooper,Brandon Cooper,CB,63,700000.0,5000.0,23,Leyton Orient,League One
R. Sotiriou,Ruel Dimitrios Sotiriou,"LM, ST, CAM",63,750000.0,2000.0,22,Leyton Orient,League One
R. Hunt,Robert Donald Hunt,"LB, RB",63,475000.0,2000.0,27,Leyton Orient,League One
E. Galbraith,Ethan Stuart William Galbraith,"CAM, CM",62,900000.0,2000.0,22,Leyton Orient,League One
J. Sweeney,Jayden Deslandes Sweeney,LB,62,850000.0,1000.0,21,Leyton Orient,League One
D. Pratley,Darren Antony Pratley,CDM,62,80000.0,1000.0,38,Leyton Orient,League One
J. Brown,Jordan Brown,"RB, CDM",61,500000.0,1000.0,22,Leyton Orient,League One
M. Sanders,Max Harrison Sanders,"CM, CDM",60,350000.0,1000.0,24,Leyton Orient,League One
A. Drinan,Aaron John Drinan,ST,60,325000.0,2000.0,25,Leyton Orient,League One
A. Thompson,Adam Lee Thompson,"RB, CB",60,210000.0,1000.0,30,Leyton Orient,League One
S. Howes,Samuel Howes,GK,58,190000.0,1000.0,25,Leyton Orient,League One
S. Forde,Shaqai Forde,ST,57,425000.0,4000.0,19,Leyton Orient,League One
Z. Obiero,Zech Obiero,CAM,56,300000.0,550.0,18,Leyton Orient,League One
C. Pegrum,Charlie Pegrum,RM,55,275000.0,500.0,18,Leyton Orient,League One
R. Byrne,Rhys Byrne,GK,55,240000.0,700.0,20,Leyton Orient,League One
H. Sodje,Harrison Sodje,"LB, CB",54,220000.0,700.0,19,Leyton Orient,League One
E. Harvest,Emmanuel Harvest,CDM,53,210000.0,700.0,19,Leyton Orient,League One
