short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Y. Mvogo,Yvon Landry Mvogo Nganoma,GK,78,11500000.0,21000.0,29,Lorient,Ligue 1
R. Faivre,Romain Faivre,"RM, CM, CAM",77,14500000.0,41000.0,24,Lorient,Ligue 1
J. Laporte,Julien Laporte,CB,76,7000000.0,22000.0,29,Lorient,Ligue 1
L. Abergel,Laurent Abergel,"CDM, CM",76,6500000.0,21000.0,30,Lorient,Ligue 1
M. Talbi,Montassar Omar Talbi,CB,74,5500000.0,18000.0,25,Lorient,Ligue 1
V. Le Goff,Vincent Le Goff,"LB, LWB, CB",74,2200000.0,19000.0,33,Lorient,Ligue 1
B. Dieng,Cheikh Ahmadou Bamba Mbacke Dieng,ST,73,4900000.0,18000.0,23,Lorient,Ligue 1
J. Makengo,Jean-Victor Makengo,"CM, CDM",73,4200000.0,18000.0,25,Lorient,Ligue 1
G. Kalulu,Gédéon Kalulu Kyatengwa,"RB, RWB",73,3700000.0,17000.0,25,Lorient,Ligue 1
A. Tosin,Aiyegun Tosin,ST,73,3900000.0,20000.0,25,Lorient,Ligue 1
B. Mendy,Benjamin Mendy,LB,73,2800000.0,18000.0,28,Lorient,Ligue 1
T. Bakayoko,Tiemoué Bakayoko,"CDM, CM",73,2700000.0,18000.0,28,Lorient,Ligue 1
J. Ponceau,Julien Ponceau,"CAM, CM",72,4800000.0,15000.0,22,Lorient,Ligue 1
B. Innocent,Bonke Innocent,"CDM, CM",71,2200000.0,14000.0,27,Lorient,Ligue 1
A. Gomis,Alfred Benjamin Gomis,GK,71,1400000.0,20000.0,29,Lorient,Ligue 1
I. Touré,Souleymane Isaak Touré,CB,70,3600000.0,9000.0,20,Lorient,Ligue 1
D. Yongwa,Darlin Zidane Yongwa Ngameni,"LB, LWB",70,3400000.0,10000.0,22,Lorient,Ligue 1
Igor Silva,Igor Silva de Almeida,"RB, RWB",70,1700000.0,12000.0,26,Lorient,Ligue 1
T. Le Bris,Théo Le Bris,LM,69,3100000.0,8000.0,20,Lorient,Ligue 1
J. Mvuka,Joel Mvuka,"RM, LM",69,3100000.0,8000.0,20,Lorient,Ligue 1
Q. Boisgard,Quentin Boisgard,"LM, CM",69,1600000.0,11000.0,26,Lorient,Ligue 1
A. Grbić,Adrian Grbić,ST,69,1700000.0,12000.0,26,Lorient,Ligue 1
F. Mendy,Formose Mendy,"CB, RWB",68,2500000.0,7000.0,22,Lorient,Ligue 1
S. Doucouré,Siriné Doucouré,ST,65,1800000.0,5000.0,21,Lorient,Ligue 1
E. Kroupi,Eli Junior Kroupi,"CAM, CF",64,1500000.0,700.0,17,Lorient,Ligue 1
D. Sylla,Dembo Sylla,"RWB, RM, LWB",64,1300000.0,4000.0,20,Lorient,Ligue 1
A. Kari,Ayman Kari,"CM, CDM",64,1400000.0,5000.0,18,Lorient,Ligue 1
P. Pagis,Pablo Pagis,"ST, RM",63,1300000.0,4000.0,20,Lorient,Ligue 1
L. Mouyokolo,Loris Mouyokolo,CB,63,1000000.0,4000.0,22,Lorient,Ligue 1
D. Youfeigane,Dominique Youfeigane,GK,63,925000.0,3000.0,23,Lorient,Ligue 1
