short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Chiellini,Giorgio Chiellini,CB,80,3800000.0,8000.0,38,Los Angeles FC,Major League Soccer
C. Vela,Carlos Alberto Vela Garrido,"RW, LW, ST",80,10000000.0,13000.0,34,Los Angeles FC,Major League Soccer
D. Bouanga,Denis Athanase Bouanga,"LW, ST",78,14000000.0,12000.0,28,Los Angeles FC,Major League Soccer
Mario González,Mario González Gutiérrez,ST,74,4900000.0,9000.0,27,Los Angeles FC,Major League Soccer
M. Crépeau,Maxime Crépeau,GK,73,2500000.0,6000.0,29,Los Angeles FC,Major League Soccer
Ilie Sánchez,Ilie Sánchez Farrés,"CDM, CB, CM",73,2000000.0,7000.0,32,Los Angeles FC,Major League Soccer
D. Palacios,Juan Diego Palacios Ricardo,LB,72,4500000.0,5000.0,23,Los Angeles FC,Major League Soccer
K. Acosta,Kellyn Kai Perry-Acosta,"CM, CDM",72,2500000.0,7000.0,27,Los Angeles FC,Major League Soccer
J. Murillo,Jesús David Murillo Largacha,"CB, RB",71,1700000.0,6000.0,29,Los Angeles FC,Major League Soccer
R. Hollingshead,Ryan Hollingshead,"RB, LB",71,1300000.0,5000.0,32,Los Angeles FC,Major League Soccer
A. Long,Aaron Long,CB,71,1500000.0,5000.0,30,Los Angeles FC,Major League Soccer
S. Biuk,Stipe Biuk,"LW, RW",70,3800000.0,4000.0,20,Los Angeles FC,Major League Soccer
Sergi Palencia,Sergi Palencia Hurtado,"RB, RWB, RM",70,1700000.0,5000.0,27,Los Angeles FC,Major League Soccer
D. Maldonado,Denil Omar Maldonado Munguía,"CB, RB",69,2500000.0,4000.0,25,Los Angeles FC,Major League Soccer
E. Segura,Eddie Livington Segura Martínez,CB,69,1800000.0,4000.0,26,Los Angeles FC,Major League Soccer
C. Olivera,Cristian Gonzalo Olivera Ibarra,"LW, RW, CF",68,2700000.0,3000.0,21,Los Angeles FC,Major League Soccer
T. Tillman,Timothy Tillman,"CM, CAM, LW",68,1900000.0,3000.0,24,Los Angeles FC,Major League Soccer
J. McCarthy,John McCarthy,GK,67,675000.0,2000.0,30,Los Angeles FC,Major League Soccer
M. Bogusz,Mateusz Piotr Bogusz,"ST, LW",65,1600000.0,2000.0,21,Los Angeles FC,Major League Soccer
F. Krastev,Filip Yavorov Krastev,"CAM, CM",64,1400000.0,2000.0,21,Los Angeles FC,Major League Soccer
E. Jakupović,Eldin Jakupović,GK,63,50000.0,900.0,38,Los Angeles FC,Major League Soccer
A. Romero,Abraham Romero,GK,59,275000.0,1000.0,25,Los Angeles FC,Major League Soccer
E. Dueñas,Erik Dueñas,"CM, RB",57,525000.0,500.0,18,Los Angeles FC,Major League Soccer
D. Crisostomo,Daniel Crisostomo,"CM, CDM",57,210000.0,1000.0,26,Los Angeles FC,Major League Soccer
C. Torres,Christian Dominick Torres,"RW, ST",54,275000.0,850.0,19,Los Angeles FC,Major League Soccer
A. Leone,Antonio Jeremiah Leone,CB,53,230000.0,600.0,19,Los Angeles FC,Major League Soccer
J. Gaines,Julian Gaines,RB,53,220000.0,850.0,20,Los Angeles FC,Major League Soccer
Y. Subah,Yekeson Subah,"ST, CF",52,190000.0,850.0,19,Los Angeles FC,Major League Soccer
D. Rosales,Diego Rosales,RB,51,180000.0,500.0,17,Los Angeles FC,Major League Soccer
N. Ordaz,Nathan Ordaz,ST,51,140000.0,850.0,19,Los Angeles FC,Major League Soccer
