short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Sambi Lokonga,Albert-Mboyo Sambi Lokonga,"CDM, CM",74,6000000.0,56000.0,23,Luton Town,Premier League
R. Giles,Ryan Giles,"LWB, LB",74,6000000.0,31000.0,23,Luton Town,Premier League
R. Barkley,Ross Barkley,"CAM, CM",74,4100000.0,41000.0,29,Luton Town,Premier League
T. Lockyer,Thomas Alun Lockyer,CB,74,3600000.0,37000.0,28,Luton Town,Premier League
M. Nakamba,Marvelous Nakamba,"CDM, CM",74,3600000.0,37000.0,29,Luton Town,Premier League
I. Kaboré,Issa Kaboré,"RWB, RB, RM",73,6500000.0,59000.0,22,Luton Town,Premier League
T. Kaminski,Thomas Kaminski,GK,73,2300000.0,27000.0,30,Luton Town,Premier League
T. Krul,Tim Krul,GK,73,350000.0,17000.0,35,Luton Town,Premier League
A. Doughty,Alfie Doughty,"LWB, RWB",72,3500000.0,25000.0,23,Luton Town,Premier League
E. Adebayo,Elijah Adebayo,ST,72,3500000.0,33000.0,25,Luton Town,Premier League
C. Morris,Carlton Morris,ST,72,2500000.0,34000.0,27,Luton Town,Premier League
T. Chong,Tahith Chong,"RM, CM, CF",71,2800000.0,24000.0,23,Luton Town,Premier League
M. Andersen,Mads Juel Andersen,CB,71,2200000.0,24000.0,25,Luton Town,Premier League
J. Clark,Jordan Clark,"CM, CDM",71,1800000.0,29000.0,29,Luton Town,Premier League
A. Bell,Amari'i Bell,"LWB, CB",71,1600000.0,27000.0,29,Luton Town,Premier League
P. Mpanzu,Pelly-Ruddock Mpanzu,"CM, CDM",71,1800000.0,29000.0,29,Luton Town,Premier League
G. Osho,Gabriel Osho,CB,70,3000000.0,19000.0,24,Luton Town,Premier League
R. Burke,Reece Burke,CB,70,1800000.0,22000.0,26,Luton Town,Premier League
C. Ogbene,Chiedozie Ogbene,"CF, RWB",70,2000000.0,26000.0,26,Luton Town,Premier League
J. Brown,Jacob Brown,"ST, RM",69,1900000.0,22000.0,25,Luton Town,Premier League
C. Woodrow,Cauley Woodrow,"ST, LW",69,1400000.0,23000.0,28,Luton Town,Premier League
D. Potts,Daniel Potts,"CB, LWB",68,1000000.0,17000.0,29,Luton Town,Premier League
L. Berry,Luke David Berry,"CM, CAM",68,1200000.0,18000.0,30,Luton Town,Premier League
T. Mengi,Teden Mengi,CB,67,2100000.0,10000.0,21,Luton Town,Premier League
J. Shea,James Shea,GK,67,500000.0,11000.0,32,Luton Town,Premier League
