short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
B. Atik,Barış-Fahri Atik,"LW, ST, CAM",71,1900000.0,10000.0,28,Magdeburg,2. Bundesliga
J. Pollersbeck,Julian Pollersbeck,GK,70,1400000.0,6000.0,28,Magdeburg,2. Bundesliga
A. Arslan,Ahmet Metin Arslan,"CM, CDM, CAM",70,1600000.0,8000.0,29,Magdeburg,2. Bundesliga
A. Condé,Amara Condé,CM,69,1800000.0,7000.0,26,Magdeburg,2. Bundesliga
J. Ceka,Jason Ceka,"RW, CAM",69,1900000.0,6000.0,23,Magdeburg,2. Bundesliga
D. Elfadli,Daniel Elfadli,"CDM, CB",69,1500000.0,6000.0,26,Magdeburg,2. Bundesliga
M. El Hankouri,Mohamed El Hankouri,"RW, RB",69,1600000.0,7000.0,26,Magdeburg,2. Bundesliga
C. Piccini,Cristiano Piccini,"CB, RB",69,1100000.0,6000.0,30,Magdeburg,2. Bundesliga
H. Bockhorn,Herbert Bockhorn,RB,69,1300000.0,6000.0,28,Magdeburg,2. Bundesliga
J. Hugonet,Jean Hugonet,"CB, CDM",68,1700000.0,5000.0,23,Magdeburg,2. Bundesliga
S. Gnaka,Silas Gnaka,"CDM, CB",68,1600000.0,5000.0,24,Magdeburg,2. Bundesliga
D. Reimann,Dominik Reimann,GK,68,1200000.0,4000.0,26,Magdeburg,2. Bundesliga
T. Itō,伊藤 達哉,LW,68,1400000.0,6000.0,26,Magdeburg,2. Bundesliga
L. Bell Bell,Léon Bell Bell,LB,68,1300000.0,5000.0,26,Magdeburg,2. Bundesliga
D. Heber,Daniel Heber,CB,68,1100000.0,5000.0,28,Magdeburg,2. Bundesliga
A. Hoti,Andi Hoti,CB,67,2100000.0,3000.0,20,Magdeburg,2. Bundesliga
J. Lawrence,Jamie Lawrence,CB,66,1800000.0,9000.0,20,Magdeburg,2. Bundesliga
L. Schuler,Jan Luca Schuler,ST,66,1300000.0,4000.0,24,Magdeburg,2. Bundesliga
A. Nollenberger,Alexander Nollenberger,"LW, ST, RW",66,1000000.0,5000.0,26,Magdeburg,2. Bundesliga
L. Castaignos,Luc Castaignos,ST,65,700000.0,4000.0,30,Magdeburg,2. Bundesliga
M. Cacutalua,Malcolm Cacutalua,"CB, RB",65,625000.0,3000.0,28,Magdeburg,2. Bundesliga
C. Krempicki,Connor Krempicki,CM,65,725000.0,4000.0,28,Magdeburg,2. Bundesliga
X. Amaechi,Xavier Casmier Amaechi,RW,64,1300000.0,3000.0,22,Magdeburg,2. Bundesliga
J. Fabisch,Jonah Reinhard Fabisch,CM,63,1100000.0,2000.0,21,Magdeburg,2. Bundesliga
B. Halbouni,Belal Halbouni,CB,62,825000.0,2000.0,23,Magdeburg,2. Bundesliga
N. Kruth,Noah Kruth,GK,62,675000.0,1000.0,20,Magdeburg,2. Bundesliga
T. Chahed,Tarek Chahed,"ST, CB",61,375000.0,3000.0,27,Magdeburg,2. Bundesliga
E. Dzogovic,Eldin Dzogovic,"RB, CB",60,525000.0,1000.0,20,Magdeburg,2. Bundesliga
S. Korsch,Stefan Korsch,CAM,60,350000.0,2000.0,24,Magdeburg,2. Bundesliga
R. Kampa,Robert Kampa,GK,57,325000.0,500.0,18,Magdeburg,2. Bundesliga
