short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Sergi Darder,Sergi Darder Moll,"CM, CDM, CAM",83,35500000.0,44000.0,29,Mallorca,La Liga
V. Muriqi,Vedat Muriqi,ST,80,21000000.0,38000.0,29,Mallorca,La Liga
Pablo Maffeo,Pablo Carmine Maffeo Becerra,"RWB, LWB",78,17000000.0,25000.0,25,Mallorca,La Liga
P. Rajković,Predrag Rajković,GK,78,14000000.0,21000.0,27,Mallorca,La Liga
Dani Rodríguez,Daniel José Rodríguez Vázquez,"RM, LM, CM",78,6000000.0,21000.0,35,Mallorca,La Liga
M. Valjent,Martin Valjent,CB,77,12000000.0,25000.0,27,Mallorca,La Liga
Jaume Costa,Jaume Vicent Costa Jordá,LWB,77,3200000.0,18000.0,35,Mallorca,La Liga
Copete,José Manuel Arias Copete,CB,75,11500000.0,19000.0,23,Mallorca,La Liga
Omar Mascarell,Omar Mascarell González,"CM, CDM, CB",75,5500000.0,24000.0,30,Mallorca,La Liga
C. Larin,Cyle Christopher Larin,ST,75,6000000.0,27000.0,28,Mallorca,La Liga
Raíllo,Antonio José Raíllo Arenas,CB,75,3800000.0,22000.0,31,Mallorca,La Liga
Samú Costa,Samuel de Almeida Costa,"CDM, CM",74,9000000.0,17000.0,22,Mallorca,La Liga
M. Nastasić,Matija Nastasić,CB,74,3500000.0,20000.0,30,Mallorca,La Liga
Manu Morlanes,Manuel Morlanes Ariño,"CDM, CM",73,4400000.0,16000.0,24,Mallorca,La Liga
Toni Lato,Antonio Latorre Grueso,"LB, LWB, LM",73,4200000.0,18000.0,25,Mallorca,La Liga
A. Ndiaye,Amath Ndiaye Diedhiou,"LM, ST, RM",73,3300000.0,20000.0,26,Mallorca,La Liga
S. Van der Heyden,Siebe Van der Heyden,CB,72,2900000.0,16000.0,25,Mallorca,La Liga
Antonio Sánchez,Antonio Sánchez Navarro,"RM, CM",72,2800000.0,18000.0,26,Mallorca,La Liga
D. Greif,Dominik Greif,GK,71,2200000.0,12000.0,26,Mallorca,La Liga
Abdón Prats,Abdón Prats Bastidas,ST,71,1800000.0,17000.0,30,Mallorca,La Liga
G. González,Giovanni Alessandro González Apud,"RWB, CB",71,1700000.0,15000.0,28,Mallorca,La Liga
Iván Cuéllar,Iván Cuéllar Sacristán,GK,68,130000.0,5000.0,39,Mallorca,La Liga
D. Luna,Daniel Andrés Luna García,CAM,66,2100000.0,6000.0,20,Mallorca,La Liga
Javi Llabrés,Javier Llabrés Exposito,"LM, RM",66,1900000.0,6000.0,21,Mallorca,La Liga
Quintanilla,Rubén Quintanilla,CM,64,1400000.0,3000.0,19,Mallorca,La Liga
