short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Casemiro,Carlos Henrique Venancio Casimiro,CDM,89,72000000.0,240000.0,31,Manchester United,Premier League
Bruno Fernandes,Bruno Miguel Borges Fernandes,"CAM, CM",88,92000000.0,260000.0,28,Manchester United,Premier League
M. Rashford,Marcus Rashford,"LW, LM, ST",85,71500000.0,185000.0,25,Manchester United,Premier League
A. Onana,André Onana,GK,85,46000000.0,130000.0,27,Manchester United,Premier League
R. Varane,Raphaël Varane,CB,85,44000000.0,160000.0,30,Manchester United,Premier League
L. Martínez,Lisandro Martínez,CB,84,49500000.0,140000.0,25,Manchester United,Premier League
C. Eriksen,Christian Dannemann Eriksen,"CM, CDM",83,30000000.0,145000.0,31,Manchester United,Premier League
L. Shaw,Luke Shaw,"LB, CB",83,35000000.0,135000.0,27,Manchester United,Premier League
J. Sancho,Jadon Sancho,"LW, LM",82,43500000.0,130000.0,23,Manchester United,Premier League
Antony,Antony Matheus dos Santos,"RW, RM",81,40500000.0,120000.0,23,Manchester United,Premier League
M. Mount,Mason Mount,"CAM, RW, CM",81,35000000.0,110000.0,24,Manchester United,Premier League
Diogo Dalot,José Diogo Dalot Teixeira,RB,80,28000000.0,90000.0,24,Manchester United,Premier League
S. Amrabat,Sofyan Amrabat,"CDM, CM",80,25000000.0,56000.0,26,Manchester United,Premier League
A. Wan-Bissaka,Aaron Wan-Bissaka,RB,80,25500000.0,100000.0,25,Manchester United,Premier League
A. Martial,Anthony Martial,ST,80,24500000.0,125000.0,27,Manchester United,Premier League
V. Lindelöf,Victor Jörgen Nilsson Lindelöf,CB,80,20000000.0,110000.0,28,Manchester United,Premier League
S. McTominay,Scott McTominay,"CDM, CM",79,20500000.0,100000.0,26,Manchester United,Premier League
H. Maguire,Harry Maguire,CB,79,14500000.0,100000.0,30,Manchester United,Premier League
T. Malacia,Tyrell Malacia,LB,78,20000000.0,78000.0,23,Manchester United,Premier League
Reguilón,Sergio Reguilón Rodríguez,"LB, LWB",78,17000000.0,69000.0,26,Manchester United,Premier League
D. van de Beek,Donny van de Beek,"CM, CAM, CDM",77,13500000.0,95000.0,26,Manchester United,Premier League
R. Højlund,Rasmus Winther Højlund,ST,76,18000000.0,72000.0,20,Manchester United,Premier League
A. Bayındır,Altay Bayındır,GK,76,7500000.0,60000.0,25,Manchester United,Premier League
Alejandro Garnacho,Alejandro Garnacho Ferreyra,"LW, LM",75,13500000.0,54000.0,19,Manchester United,Premier League
J. Evans,Jonathan Grant Evans,CB,75,1500000.0,54000.0,35,Manchester United,Premier League
A. Diallo,Amad Diallo Traoré,"RW, CAM",74,9500000.0,63000.0,20,Manchester United,Premier League
T. Heaton,Tom Heaton,GK,72,250000.0,30000.0,37,Manchester United,Premier League
F. Pellistri,Facundo Pellistri Rebollo,"RW, LW",71,4200000.0,45000.0,21,Manchester United,Premier League
H. Mejbri,Hannibal Mejbri,"CM, CAM",68,2900000.0,25000.0,20,Manchester United,Premier League
K. Mainoo,Kobbie Mainoo,"CDM, CM, CAM",62,1200000.0,4000.0,18,Manchester United,Premier League
S. Shoretire,Shola Maxwell Shoretire,"CAM, ST, LW",62,1000000.0,9000.0,19,Manchester United,Premier League
D. Gore,Daniel Gore,"CM, CAM",61,1000000.0,5000.0,18,Manchester United,Premier League
R. Bennett,Rhys Bennett,CB,61,800000.0,7000.0,19,Manchester United,Premier League
