short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Udol,Matthieu Udol,LB,73,3200000.0,15000.0,27,Metz,Ligue 1
A. Oukidja,Alexandre Roger Oukidja,GK,73,525000.0,12000.0,34,Metz,Ligue 1
I. Traoré,Ismaël Traoré,CB,73,550000.0,10000.0,36,Metz,Ligue 1
C. Hérelle,Christophe Hérelle,CB,73,2500000.0,15000.0,30,Metz,Ligue 1
Ó. Estupiñán,Óscar Eduardo Estupiñán Vallesilla,ST,72,3100000.0,15000.0,26,Metz,Ligue 1
K. Kouao,Koffi Franck Kouao,RB,71,2600000.0,11000.0,25,Metz,Ligue 1
Fali Candé,Fali Candé,"CB, LB",71,2500000.0,11000.0,25,Metz,Ligue 1
H. Maïga,Digbo G'nampa Habib Maïga,"CDM, CM",71,2200000.0,11000.0,27,Metz,Ligue 1
B. Tetteh,Benjamin Tetteh,"ST, LW",71,2400000.0,13000.0,25,Metz,Ligue 1
J. Asoro,Joel Joshghene Asoro,"RM, ST",70,2500000.0,9000.0,24,Metz,Ligue 1
A. Jallow,Abdoulie Jallow,"RM, CAM",70,2400000.0,9000.0,24,Metz,Ligue 1
M. Colin,Maxime Colin,"RB, RWB, CB",70,1200000.0,10000.0,31,Metz,Ligue 1
C. Sabaly,Cheikh Tidiane Sabaly,"LM, LW",69,2200000.0,8000.0,24,Metz,Ligue 1
K. N'Doram,Kévin N'Doram,"CDM, CM",69,1600000.0,8000.0,27,Metz,Ligue 1
D. Jean-Jacques,Danley Jean-Jacques,"CDM, CM",68,2500000.0,6000.0,23,Metz,Ligue 1
M. Caillard,Marc-Aurèle Caillard,GK,68,1000000.0,6000.0,29,Metz,Ligue 1
K. Van Den Kerkhof,Kévin Van Den Kerkhof,"RWB, RB",68,1300000.0,7000.0,27,Metz,Ligue 1
G. Dietsch,Guillaume Laurent Dietsch,GK,67,1800000.0,4000.0,22,Metz,Ligue 1
Vagner,Vágner José Dias Gonçalves,"ST, LM, RM",67,1100000.0,7000.0,27,Metz,Ligue 1
L. Camara,Lamine Camara,CAM,66,2000000.0,3000.0,19,Metz,Ligue 1
S. Elisor,Simon Elisor,ST,66,1400000.0,6000.0,23,Metz,Ligue 1
J. N'Guessan,N'guessan Jean Frederic Kouadio,"CM, CDM, CAM",65,1600000.0,4000.0,20,Metz,Ligue 1
W. Tchimbembé,Warren Tchimbembé,"CM, LM, RM",65,1000000.0,5000.0,25,Metz,Ligue 1
S. Lahssaini,Sami Lahssaini,"CM, CDM",65,1000000.0,4000.0,24,Metz,Ligue 1
J. N'Duquidi,Joseph N'Duquidi,CDM,61,800000.0,850.0,18,Metz,Ligue 1
I. Sané,Ibou Sané,ST,61,825000.0,1000.0,18,Metz,Ligue 1
M. Mbaye,Malick Mbaye,RM,61,775000.0,2000.0,19,Metz,Ligue 1
S. Sane,Sadibou Sane,CB,61,725000.0,2000.0,19,Metz,Ligue 1
A. Atta,Arthur Atta,CAM,61,800000.0,2000.0,20,Metz,Ligue 1
P. Diallo,Papa Amadou Diallo,ST,60,650000.0,2000.0,19,Metz,Ligue 1
A. Lô,Ababacar Moustapha Lô,"CB, RB",60,500000.0,2000.0,23,Metz,Ligue 1
