short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
I. Jones,Isaiah Jones,"RWB, RM",73,4300000.0,18000.0,24,Middlesbrough,Championship
D. Fry,Dael Fry,CB,73,3800000.0,20000.0,25,Middlesbrough,Championship
D. Lenihan,Darragh Lenihan,CB,73,2800000.0,22000.0,29,Middlesbrough,Championship
R. McGree,Riley Patrick McGree,"LM, CM",72,3700000.0,18000.0,24,Middlesbrough,Championship
L. O'Brien,Lewis O'Brien,"CM, CDM, LM",72,3500000.0,35000.0,24,Middlesbrough,Championship
P. McNair,Patrick James Coleman McNair,CB,72,2400000.0,20000.0,28,Middlesbrough,Championship
M. Clarke,Matt Clarke,CB,71,2200000.0,17000.0,26,Middlesbrough,Championship
D. Barlaser,Daniel Tan Barlaser,"CDM, CM",71,2200000.0,17000.0,26,Middlesbrough,Championship
S. Dieng,Seny Timothy Dieng,GK,71,1700000.0,14000.0,28,Middlesbrough,Championship
M. Crooks,Matt Davidson Rider Crooks,CM,71,1800000.0,19000.0,29,Middlesbrough,Championship
T. Smith,Tommy Smith,RB,71,1400000.0,17000.0,31,Middlesbrough,Championship
H. Hackney,Hayden Hackney,"CM, CDM",70,3900000.0,12000.0,21,Middlesbrough,Championship
M. Forss,Marcus Forss,"ST, RM, RW",70,2500000.0,15000.0,24,Middlesbrough,Championship
J. Howson,Jonathan Howson,"CM, CDM",70,650000.0,12000.0,35,Middlesbrough,Championship
S. Greenwood,Sam Greenwood,"CAM, CM",69,3100000.0,14000.0,21,Middlesbrough,Championship
E. Latte Lath,Emmanuel Delan Junior Latte Lath,"ST, LW, CF",69,2800000.0,13000.0,24,Middlesbrough,Championship
A. Bangura,Alex Bangura,LB,69,2000000.0,11000.0,23,Middlesbrough,Championship
A. Dijksteel,Anfernee Dijksteel,"CB, RWB, RB",69,1700000.0,12000.0,26,Middlesbrough,Championship
L. Engel,Lukas Ahlefeld Engel,LB,68,1800000.0,9000.0,24,Middlesbrough,Championship
M. Rogers,Morgan Elliot Rogers,"LM, ST, LW",67,2500000.0,7000.0,20,Middlesbrough,Championship
H. Coulson,Hayden Coulson,"LB, LWB",67,1300000.0,9000.0,25,Middlesbrough,Championship
J. Coburn,Josh Coburn,ST,65,1600000.0,6000.0,20,Middlesbrough,Championship
S. Silvera,Samuel Silvera,"LM, RM",65,1600000.0,6000.0,22,Middlesbrough,Championship
T. Glover,Thomas William Glover,GK,64,675000.0,5000.0,25,Middlesbrough,Championship
J. Jones,James Lewis Jones,GK,64,100000.0,5000.0,34,Middlesbrough,Championship
R. van den Berg,Rav van den Berg,CB,63,1100000.0,2000.0,18,Middlesbrough,Championship
A. Gilbert,Alex Gilbert,"LM, RM",60,550000.0,3000.0,21,Middlesbrough,Championship
B. Bilongo,Bryant Bilongo,LB,55,275000.0,3000.0,21,Middlesbrough,Championship
S. Finch,Sonny Finch,ST,51,180000.0,900.0,17,Middlesbrough,Championship
J. Hannah,Jack Hannah,CB,50,120000.0,2000.0,20,Middlesbrough,Championship
