short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Maignan,Mike Maignan,GK,87,73000000.0,90000.0,27,Milan,Serie A
Rafael Leão,Rafael Alexandre Conceição Leão,"LW, CF, ST",86,102500000.0,110000.0,24,Milan,Serie A
T. Hernández,Theo Bernard François Hernández,"LB, LM",85,73500000.0,90000.0,25,Milan,Serie A
I. Bennacer,Ismaël Bennacer,"CDM, CM, CAM",84,53500000.0,84000.0,25,Milan,Serie A
F. Tomori,Fikayo Tomori,CB,84,52500000.0,84000.0,25,Milan,Serie A
O. Giroud,Olivier Giroud,ST,82,10500000.0,66000.0,36,Milan,Serie A
S. Chukwueze,Samuel Chimerenka Chukwueze,"RW, RM",81,39000000.0,71000.0,24,Milan,Serie A
D. Calabria,Davide Calabria,"RB, RWB",81,31000000.0,68000.0,26,Milan,Serie A
S. Kjær,Simon Thorup Kjær,CB,81,8500000.0,68000.0,34,Milan,Serie A
C. Pulisic,Christian Pulisic,"LW, RW, LM",79,24000000.0,63000.0,24,Milan,Serie A
P. Kalulu,Pierre Kazeye Rommel Kalulu Kyatengwa,"CB, RB",78,26000000.0,47000.0,23,Milan,Serie A
T. Reijnders,Tijjani Reijnders,CM,78,20000000.0,52000.0,24,Milan,Serie A
R. Krunić,Rade Krunić,"CM, CAM, CDM",78,13500000.0,62000.0,29,Milan,Serie A
M. Thiaw,Malick Laye Thiaw,CB,77,22000000.0,36000.0,21,Milan,Serie A
L. Jović,Luka Jović,ST,77,15000000.0,58000.0,25,Milan,Serie A
R. Loftus-Cheek,Ruben Loftus-Cheek,"CM, CDM, RWB",77,12000000.0,56000.0,27,Milan,Serie A
M. Sportiello,Marco Sportiello,GK,77,5500000.0,41000.0,31,Milan,Serie A
N. Okafor,Noah Arinzechukwu Okafor,"ST, CAM",76,15000000.0,50000.0,23,Milan,Serie A
T. Pobega,Tommaso Pobega,CM,76,12000000.0,45000.0,23,Milan,Serie A
A. Florenzi,Alessandro Florenzi,"RB, RM",75,3900000.0,45000.0,32,Milan,Serie A
Y. Musah,Yunus Dimoara Musah,"CM, RM",74,9000000.0,34000.0,20,Milan,Serie A
Y. Adli,Yacine Adli,"CAM, CM",73,7000000.0,37000.0,22,Milan,Serie A
A. Mirante,Antonio Mirante,GK,71,210000.0,14000.0,39,Milan,Serie A
M. Caldara,Mattia Caldara,CB,70,1300000.0,27000.0,29,Milan,Serie A
L. Romero,Luka Romero Bezzana,RW,69,3200000.0,11000.0,18,Milan,Serie A
M. Pellegrino,Marco Pellegrino,CB,69,2900000.0,16000.0,20,Milan,Serie A
C. Traorè,Chaka Traorè,LW,62,1000000.0,4000.0,18,Milan,Serie A
