short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
W. O'Hora,Warren Patrick O'Hora,CB,66,1100000.0,5000.0,24,Milton Keynes Dons,League Two
E. Harrison,Ellis Wade Harrison,ST,66,850000.0,7000.0,29,Milton Keynes Dons,League Two
D. Lewington,Dean Scott Lewington,CB,65,130000.0,3000.0,39,Milton Keynes Dons,League Two
A. Gilbey,Alexander Scott Gilbey,CM,65,725000.0,6000.0,28,Milton Keynes Dons,League Two
J. Payne,Jack Payne,CM,65,725000.0,4000.0,28,Milton Keynes Dons,League Two
C. MacGillivray,Craig MacGillivray,GK,65,475000.0,4000.0,30,Milton Keynes Dons,League Two
M. Eisa,Mohamed Mamoun Eisa,ST,65,725000.0,6000.0,28,Milton Keynes Dons,League Two
J. Tucker,Jack Robert Tucker,CB,64,800000.0,4000.0,23,Milton Keynes Dons,League Two
D. Harvie,Daniel William Harvie,"LWB, LB",64,750000.0,4000.0,24,Milton Keynes Dons,League Two
J. Leko,Jonathan Leko,"ST, RW, LW",64,800000.0,5000.0,24,Milton Keynes Dons,League Two
C. Norman,Cameron Norman,RWB,64,625000.0,5000.0,27,Milton Keynes Dons,League Two
D. Devoy,Dawson Devoy,"CM, CDM",63,1100000.0,3000.0,21,Milton Keynes Dons,League Two
J. Tomlinson,Joe Tomlinson,"LWB, LB",63,700000.0,3000.0,23,Milton Keynes Dons,League Two
A. Stewart,Anthony Kelvin Stewart,CB,63,400000.0,2000.0,30,Milton Keynes Dons,League Two
M. Williams,Michael Jordan Williams,"CDM, CM",63,450000.0,4000.0,27,Milton Keynes Dons,League Two
A. Hunter,Ashley Matthew Hunter,"LW, LM",62,425000.0,4000.0,27,Milton Keynes Dons,League Two
D. Burns,Darragh Burns,RW,61,725000.0,3000.0,20,Milton Keynes Dons,League Two
C. Grant,Conor Michael Grant,"LW, CM, RW",61,675000.0,3000.0,21,Milton Keynes Dons,League Two
E. Robson,Ethan Robson,"CM, CDM",61,400000.0,4000.0,26,Milton Keynes Dons,League Two
M. Dennis,Matthew Dennis,"ST, RW, LW",59,450000.0,3000.0,21,Milton Keynes Dons,League Two
M. Dean,Max Dean,ST,58,475000.0,2000.0,19,Milton Keynes Dons,League Two
T. Smith,Thomas Jefferson Smith,CB,58,100000.0,3000.0,33,Milton Keynes Dons,League Two
B. Ilunga,Brooklyn Ilunga,"LWB, LW",54,220000.0,1000.0,19,Milton Keynes Dons,League Two
J. Anker,Joel Anker,"CAM, LW, CM",53,220000.0,1000.0,18,Milton Keynes Dons,League Two
P. Scholtz,Phoenix Scholtz,RWB,53,210000.0,800.0,18,Milton Keynes Dons,League Two
N. Harness,Nathan Harness,GK,53,180000.0,2000.0,23,Milton Keynes Dons,League Two
M. Kelly,Michael Kelly,GK,53,90000.0,2000.0,26,Milton Keynes Dons,League Two
C. Waller,Charlie Waller,CB,52,170000.0,800.0,18,Milton Keynes Dons,League Two
