short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
E. Reynoso,Emanuel Reynoso,"CAM, LM",79,20000000.0,12000.0,27,Minnesota United,Major League Soccer
T. Pukki,Teemu Eino Antero Pukki,ST,75,3600000.0,10000.0,33,Minnesota United,Major League Soccer
R. Lod,Robin Lod,"RM, ST, CM",73,2900000.0,8000.0,30,Minnesota United,Major League Soccer
F. Fragapane,Franco Rodrigo Fragapane,"LM, CAM",72,2300000.0,7000.0,30,Minnesota United,Major League Soccer
D. St. Clair,Dayne St. Clair,GK,71,2200000.0,4000.0,26,Minnesota United,Major League Soccer
I. Tajouri-Shradi,Ismael Tajouri-Shradi,"RM, RW, LW",70,1600000.0,5000.0,29,Minnesota United,Major League Soccer
B. Dibassy,Bakaye Dibassy,"CB, LB",70,750000.0,5000.0,33,Minnesota United,Major League Soccer
B. Hlongwane,Bongokuhle Hlongwane,"RM, LM",69,2200000.0,4000.0,23,Minnesota United,Major League Soccer
J. Greguš,Ján Greguš,"CDM, CM",69,925000.0,4000.0,32,Minnesota United,Major League Soccer
M. Boxall,Michael Joseph Boxall,CB,69,450000.0,4000.0,34,Minnesota United,Major League Soccer
W. Trapp,Wil Trapp,CDM,69,1200000.0,4000.0,30,Minnesota United,Major League Soccer
M. García,Mender García Torres,ST,68,1800000.0,4000.0,24,Minnesota United,Major League Soccer
M. Tapias,Miguel Ángel Tapias Dávila,"CB, LB",68,1400000.0,3000.0,26,Minnesota United,Major League Soccer
K. Arriaga,Kervin Fabián Arriaga Villanueva,CDM,67,1300000.0,3000.0,25,Minnesota United,Major League Soccer
H. Dotson,Hassani Dotson Stephenson,"CDM, LM, CAM",66,1100000.0,2000.0,25,Minnesota United,Major League Soccer
E. Bristow,Ethan Bristow,"LB, LWB",65,1400000.0,1000.0,21,Minnesota United,Major League Soccer
Z. Valentin,Zarek Chase Valentin,RB,65,525000.0,2000.0,31,Minnesota United,Major League Soccer
Jeong Sang Bin,Sang Bin Jeong,"ST, CAM",64,1400000.0,2000.0,21,Minnesota United,Major League Soccer
D. Taylor,David Justin Taylor,"RB, LB",64,725000.0,2000.0,25,Minnesota United,Major League Soccer
B. Kallman,Brent Kallman,CB,64,375000.0,2000.0,32,Minnesota United,Major League Soccer
C. Irwin,Clinton Robert Irwin,GK,62,70000.0,1000.0,34,Minnesota United,Major League Soccer
J. Rosales,Joseph Yeramid Rosales Erazo,"CDM, CM",60,525000.0,1000.0,22,Minnesota United,Major League Soccer
E. Dick,Eric Dick,GK,58,170000.0,1000.0,28,Minnesota United,Major League Soccer
E. Iwe,Emmanuel Iwe,LM,55,275000.0,1000.0,22,Minnesota United,Major League Soccer
T. Oluwaseyi,Tani Oluwaseyi,"ST, RW",55,250000.0,1000.0,23,Minnesota United,Major League Soccer
M. Marqués,Mikael Josh Marques de Pombal Vivar,CB,52,170000.0,850.0,21,Minnesota United,Major League Soccer
Z. Bello,Zaydan Bello,"RB, LB",51,140000.0,850.0,21,Minnesota United,Major League Soccer
R. Jiba,Ryen Jiba,LB,51,130000.0,1000.0,22,Minnesota United,Major League Soccer
F. Emmings,Fred Emmings,GK,50,100000.0,500.0,19,Minnesota United,Major League Soccer
D. Padelford,Devin Padelford,"LB, CB",50,100000.0,750.0,20,Minnesota United,Major League Soccer
