short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Miguel Baeza,Miguel Baeza Pérez,"RM, LM, CAM",70,3500000.0,11000.0,23,Mirandés,La Liga 2
Rubén Sánchez,Rubén Sánchez Sáez,"RM, RB",70,3200000.0,6000.0,22,Mirandés,La Liga 2
Barbu,Alejandro Barbudo Lorenzo,CB,68,2300000.0,3000.0,22,Mirandés,La Liga 2
Carlos Martín,Carlos Martín Domínguez,"ST, CAM, RM",67,2500000.0,12000.0,21,Mirandés,La Liga 2
Diego Moreno,Diego Moreno Garbayo,"RB, RWB, CB",67,2200000.0,7000.0,22,Mirandés,La Liga 2
Tachi,Alberto Rodríguez Baró,"CB, RB, CDM",67,1300000.0,3000.0,25,Mirandés,La Liga 2
N. Iosifov,Nikita Iosifov,"RM, ST",66,1900000.0,2000.0,22,Mirandés,La Liga 2
Javi Martón,Javier Martón Ansó,ST,66,1700000.0,7000.0,24,Mirandés,La Liga 2
Gabri Martínez,Gabriel Martínez Aguilera,"RM, LM",65,1700000.0,5000.0,20,Mirandés,La Liga 2
Álvaro Sanz,Álvaro Sanz Catalán,"CM, CDM",65,1600000.0,2000.0,22,Mirandés,La Liga 2
Verdasca,Diogo Sousa Verdasca,CB,65,875000.0,2000.0,26,Mirandés,La Liga 2
J. Gómez,Jonathan Germán Gómez,LB,64,1300000.0,3000.0,19,Mirandés,La Liga 2
Sergio Barcia,Sergio Barcia Larenxeira,"CB, RB",64,1200000.0,2000.0,22,Mirandés,La Liga 2
M. Lachuer,Mathis Lachuer,"CM, CDM",64,1300000.0,2000.0,22,Mirandés,La Liga 2
Pablo Tomeo,Pablo Tomeo Félez,CM,64,1300000.0,2000.0,23,Mirandés,La Liga 2
David Vicente,David Vicente Robles,"RB, RWB",64,1100000.0,2000.0,24,Mirandés,La Liga 2
Ramón Juan,Ramón Juan Ramírez,GK,64,1000000.0,1000.0,23,Mirandés,La Liga 2
Alcedo,Juan María Alcedo Serrano,"LB, LWB",64,875000.0,2000.0,22,Mirandés,La Liga 2
I. Durdov,Ivan Durdov,ST,64,950000.0,2000.0,22,Mirandés,La Liga 2
Alberto Reina,Alberto Reina Campos,"CM, CDM, CAM",64,775000.0,2000.0,25,Mirandés,La Liga 2
Luis López,Luis Federico López Andúgar,GK,63,1000000.0,1000.0,22,Mirandés,La Liga 2
Pablo Ramón,Pablo Ramón Parra,CB,63,1000000.0,18000.0,22,Mirandés,La Liga 2
I. Chaira,Ilyas Chaira,"RM, LM, CAM",63,1100000.0,5000.0,22,Mirandés,La Liga 2
Iago Domínguez,Iago Domínguez Rodríguez,GK,62,850000.0,850.0,21,Mirandés,La Liga 2
Alan Godoy,Alan Godoy Domínguez,"ST, LM",62,975000.0,4000.0,20,Mirandés,La Liga 2
Granados,Sergio Granados González,LM,61,725000.0,1000.0,23,Mirandés,La Liga 2
Raúl Sáenz,Raúl Sáenz Esparza,ST,60,550000.0,1000.0,22,Mirandés,La Liga 2
