short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
W. Ben Yedder,Wissam Ben Yedder,ST,83,29500000.0,80000.0,32,Monaco,Ligue 1
Y. Fofana,Youssouf Fofana,"CDM, CM",80,27500000.0,46000.0,24,Monaco,Ligue 1
F. Balogun,Folarin Balogun,ST,79,36000000.0,46000.0,21,Monaco,Ligue 1
D. Zakaria,Denis Lemi Zakaria Lako Lado,"CDM, CM",79,20500000.0,50000.0,26,Monaco,Ligue 1
A. Golovin,Aleksandr Golovin,"LM, RM, CAM",79,18500000.0,55000.0,27,Monaco,Ligue 1
M. Camara,Mohamed Camara,"CDM, CM",78,20500000.0,39000.0,23,Monaco,Ligue 1
Caio Henrique,Caio Henrique Oliveira Silva,"LB, LWB",78,17000000.0,43000.0,25,Monaco,Ligue 1
B. Embolo,Breel-Donald Embolo,ST,78,17500000.0,54000.0,26,Monaco,Ligue 1
Vanderson,Vanderson de Oliveira Campos,"RB, RM, RWB",77,20500000.0,37000.0,22,Monaco,Ligue 1
G. Maripán,Guillermo Alfonso Maripán Loaysa,CB,77,9500000.0,45000.0,29,Monaco,Ligue 1
W. Singo,Wilfried Stephane Singo,"RWB, RM, RB",76,16000000.0,34000.0,22,Monaco,Ligue 1
M. Salisu,Mohamed Salisu Abdul Karim,CB,76,10000000.0,34000.0,24,Monaco,Ligue 1
K. Diatta,Krépin Diatta,RM,75,8500000.0,36000.0,24,Monaco,Ligue 1
Gelson Martins,Gelson Dany Batalha Martins,"RM, LM",75,5500000.0,43000.0,28,Monaco,Ligue 1
T. Minamino,南野 拓実,"LM, RM",74,4200000.0,40000.0,28,Monaco,Ligue 1
E. Matazo,Eliot Matazo,"CDM, CM",73,6000000.0,23000.0,21,Monaco,Ligue 1
M. Boadu,Myron Boadu,ST,73,4900000.0,34000.0,22,Monaco,Ligue 1
I. Jakobs,Ismail Joshua Jakobs,"LB, LM",73,4500000.0,28000.0,23,Monaco,Ligue 1
E. Ben Seghir,Eliesse Ben Seghir,"CF, ST",72,5500000.0,14000.0,18,Monaco,Ligue 1
P. Köhn,Philipp François Köhn,GK,72,2600000.0,22000.0,25,Monaco,Ligue 1
C. Matsima,Chrislain Iris Aurel Matsima,CB,70,3300000.0,16000.0,21,Monaco,Ligue 1
R. Majecki,Radosław Majecki,GK,70,2700000.0,15000.0,23,Monaco,Ligue 1
M. Akliouche,Maghnes Akliouche,CAM,68,2700000.0,13000.0,21,Monaco,Ligue 1
E. Diop,Edan Diop,"RM, CAM",65,1800000.0,4000.0,18,Monaco,Ligue 1
S. Magassa,Soungoutou Magassa,"CB, CDM",65,1600000.0,5000.0,19,Monaco,Ligue 1
Y. Okou,Yllan Okou,CB,63,1200000.0,6000.0,20,Monaco,Ligue 1
Y. Lienard,Yann Lienard,GK,60,575000.0,3000.0,20,Monaco,Ligue 1
