short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
T. Savanier,Téji Tedy Savanier,"CAM, CM",80,17500000.0,31000.0,31,Montpellier,Ligue 1
J. Ferri,Jordan Ferri,"CDM, CM",77,7500000.0,23000.0,31,Montpellier,Ligue 1
B. Lecomte,Benjamin Lecomte,GK,76,3700000.0,17000.0,32,Montpellier,Ligue 1
C. Jullien,Christopher Jullien,CB,75,4600000.0,20000.0,30,Montpellier,Ligue 1
F. Sacko,Falaye Sacko,"RB, CB",75,5000000.0,21000.0,28,Montpellier,Ligue 1
M. Estève,Maxime Estève,CB,74,9000000.0,14000.0,21,Montpellier,Ligue 1
J. Chotard,Joris Chotard,"CDM, CM",74,6000000.0,14000.0,21,Montpellier,Ligue 1
A. Nordin,Arnaud Dominique Nordin,"RM, ST, RW",74,5500000.0,20000.0,25,Montpellier,Ligue 1
W. Khazri,Wahbi Khazri,"ST, LM, CAM",74,3400000.0,22000.0,32,Montpellier,Ligue 1
D. Bertaud,Dimitry Bertaud,GK,73,3600000.0,13000.0,25,Montpellier,Ligue 1
B. Kouyaté,Boubakar Kouyaté,CB,73,3500000.0,17000.0,26,Montpellier,Ligue 1
M. Sakho,Mamadou Sakho,CB,73,1500000.0,17000.0,33,Montpellier,Ligue 1
I. Sylla,Issiaga Sylla,"LB, LWB, RB",73,2700000.0,18000.0,29,Montpellier,Ligue 1
M. Al Tamari,Mousa Mohammad Mousa Sulaiman Al-Tamari,"RM, RWB",71,2200000.0,15000.0,26,Montpellier,Ligue 1
K. Yeboah,Kelvin Kwarteng Yeboah,ST,70,3200000.0,13000.0,23,Montpellier,Ligue 1
T. Sainte-Luce,Théo Sainte-Luce,LB,69,2100000.0,9000.0,24,Montpellier,Ligue 1
B. Omeragić,Bećir Omeragić,"CB, RB, LM",68,2800000.0,6000.0,21,Montpellier,Ligue 1
L. Leroy,Léo Leroy,"CDM, CM, CAM",68,2500000.0,7000.0,23,Montpellier,Ligue 1
A. Adams,Akor Jerome Adams,ST,68,2400000.0,9000.0,23,Montpellier,Ligue 1
S. Delaye,Sacha Delaye,"LM, CAM",65,1800000.0,5000.0,21,Montpellier,Ligue 1
E. Tchato,Enzo Tchato Mbiayi,"RB, LB",65,1600000.0,4000.0,20,Montpellier,Ligue 1
K. Fayad,Khalil Fayad,"CM, CDM, CAM",62,1000000.0,2000.0,19,Montpellier,Ligue 1
Y. Guermouche,Yanis Guermouche,ST,61,750000.0,4000.0,22,Montpellier,Ligue 1
B. Dizdarević,Belmin Dizdarević,GK,61,650000.0,2000.0,21,Montpellier,Ligue 1
