short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Maracás,Jóbson de Brito Gonzaga,CB,72,2200000.0,10000.0,29,Moreirense,Liga Portugal
Fabiano Souza,Fabiano Josué de Souza Silva,"RB, RM",70,3000000.0,6000.0,23,Moreirense,Liga Portugal
L. Ofori,Lawrence Ofori,"CM, CDM",70,2300000.0,8000.0,25,Moreirense,Liga Portugal
Camacho,João Pedro Gomes Camacho,"LW, RW, LM",70,1600000.0,9000.0,29,Moreirense,Liga Portugal
Alan,Alan de Souza Guimarães,"CAM, CM",69,2200000.0,6000.0,23,Moreirense,Liga Portugal
Kewin,Kewin Oliveira Silva,GK,69,1200000.0,5000.0,28,Moreirense,Liga Portugal
Carlos Ponck,Carlos dos Santos Rodrigues,CB,69,1300000.0,7000.0,28,Moreirense,Liga Portugal
André Luís,André Luís Silva de Aguiar,ST,69,1400000.0,8000.0,29,Moreirense,Liga Portugal
Gonçalo Franco,Gonçalo Baptista Franco,"CM, CDM, ST",68,2700000.0,5000.0,22,Moreirense,Liga Portugal
Caio Secco,Caio Gobbo Secco,GK,68,600000.0,4000.0,32,Moreirense,Liga Portugal
Pedro Aparício,Pedro Miguel Santos Aparício,"CM, CAM",68,1300000.0,6000.0,27,Moreirense,Liga Portugal
G. Owusu Frimpong,Godfried Ayesu Owusu Frimpong,"LB, LWB",67,1900000.0,4000.0,24,Moreirense,Liga Portugal
K. Kodisang,Kobamelo Kodisang,"RW, LW",67,1600000.0,5000.0,23,Moreirense,Liga Portugal
Matheus Aiás,Matheus Aiás Barrozo Rodrigues,"ST, CAM",67,1300000.0,5000.0,26,Moreirense,Liga Portugal
Pedro Amador,Pedro Miguel Santos Amador,"LB, LWB",66,1600000.0,3000.0,24,Moreirense,Liga Portugal
Madson,Madson de Souza Silva,"LW, RW",66,1400000.0,4000.0,23,Moreirense,Liga Portugal
Rafael Santos,Rafael Santos de Sousa,CB,65,950000.0,3000.0,25,Moreirense,Liga Portugal
Wallisson,Wallisson Luiz Alves Máximo,"CM, RM, CDM",65,1000000.0,4000.0,25,Moreirense,Liga Portugal
Hernâni Infande,Hernâni Infande Tchuda da Silva,"RM, LM",64,1400000.0,3000.0,22,Moreirense,Liga Portugal
Dinis Pinto,Dinis Lourenço Casals Namura Borges Pinto,RB,64,1300000.0,3000.0,22,Moreirense,Liga Portugal
J. Antonisse,Jeremy Antonisse,LW,64,1300000.0,3000.0,21,Moreirense,Liga Portugal
Gilberto,Gilberto Dambi Batista,"CB, CDM, CM",63,975000.0,1000.0,19,Moreirense,Liga Portugal
Rúben Ismael,Rúben Ismael Valente Ramos,"CDM, RWB, RB",63,1000000.0,2000.0,24,Moreirense,Liga Portugal
Rodrigo Macedo,Rodrigo Ribeiro de Macedo,"ST, CF, RW",61,775000.0,2000.0,19,Moreirense,Liga Portugal
E. Ndow,Ebrima Ndow,ST,59,500000.0,1000.0,19,Moreirense,Liga Portugal
M. Manga,Matar Manga,"RW, ST, CF",59,475000.0,1000.0,19,Moreirense,Liga Portugal
