short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
H. Mukhtar,Hany Mukhtar,"CF, ST, CAM",80,21500000.0,14000.0,28,Nashville SC,Major League Soccer
W. Zimmerman,Walker Dwain Zimmerman,CB,76,6000000.0,9000.0,30,Nashville SC,Major League Soccer
S. Moore,Shaquell Moore,"RB, RM",72,2800000.0,6000.0,26,Nashville SC,Major League Soccer
S. Davis,Sean Davis,"CDM, CM",72,2000000.0,6000.0,30,Nashville SC,Major League Soccer
S. Surridge,Sam Surridge,ST,71,2700000.0,6000.0,24,Nashville SC,Major League Soccer
J. Willis,Joe Willis,GK,71,325000.0,4000.0,34,Nashville SC,Major League Soccer
A. Godoy,Aníbal Cesis Godoy Lemus,"CDM, CM",71,925000.0,5000.0,33,Nashville SC,Major League Soccer
D. McCarty,Dax McCarty,"CDM, CM",70,325000.0,3000.0,36,Nashville SC,Major League Soccer
D. Lovitz,Daniel Lovitz,"LWB, LB",70,1200000.0,5000.0,31,Nashville SC,Major League Soccer
R. Leal,Randall Enrique Leal Arley,"CAM, CM, LM",69,1600000.0,4000.0,26,Nashville SC,Major League Soccer
Fafà Picault,Fabrice-Jean Picault,"LM, RM, ST",69,1100000.0,4000.0,32,Nashville SC,Major League Soccer
J. Maher,Jack Maher,CB,66,1800000.0,2000.0,23,Nashville SC,Major League Soccer
J. Shaffelburg,Jacob Shaffelburg,"LM, ST",66,1200000.0,2000.0,23,Nashville SC,Major League Soccer
A. Muyl,Alex Muyl,"CM, RM",66,900000.0,3000.0,27,Nashville SC,Major League Soccer
T. Bunbury,Teal Alexander Bunbury,"ST, LM, RM",65,450000.0,2000.0,33,Nashville SC,Major League Soccer
N. DePuy,Nick DePuy,CB,64,550000.0,2000.0,28,Nashville SC,Major League Soccer
T. Washington,Taylor Washington,"LB, LM, LWB",64,525000.0,2000.0,29,Nashville SC,Major League Soccer
B. Anunga,Brian Anunga,"CDM, CM",62,475000.0,1000.0,26,Nashville SC,Major League Soccer
L. MacNaughton,Lukas MacNaughton,CB,62,375000.0,2000.0,28,Nashville SC,Major League Soccer
N. Perry,Nebiyou Perry,"LM, ST, CAM",61,475000.0,1000.0,23,Nashville SC,Major League Soccer
J. Bauer,Josh Bauer,"CB, RB",59,325000.0,1000.0,24,Nashville SC,Major League Soccer
E. Zubak,Ethan Zubak,ST,59,325000.0,1000.0,25,Nashville SC,Major League Soccer
E. Panicco,Elliot Panicco,GK,59,250000.0,1000.0,26,Nashville SC,Major League Soccer
L. Haakenson,Luke Haakenson,"CM, RM",56,190000.0,1000.0,25,Nashville SC,Major League Soccer
A. Longmire,Ahmed Longmire,CB,54,220000.0,1000.0,23,Nashville SC,Major League Soccer
L. Wyke,Laurence Wyke,CB,54,140000.0,1000.0,26,Nashville SC,Major League Soccer
J. Skinner,Joey Skinner,LB,52,180000.0,850.0,20,Nashville SC,Major League Soccer
B. Martino,Benjamin Martino,GK,52,150000.0,600.0,20,Nashville SC,Major League Soccer
