short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Moralez,Maximiliano Nicol Moralez,"CAM, CM, CF",75,1800000.0,7000.0,36,New York City,Major League Soccer
Talles Magno,Talles Magno Bacelar Martins,"CF, ST, LM",73,7000000.0,6000.0,21,New York City,Major League Soccer
S. Rodríguez,Santiago Mariano Rodríguez Molina,"CAM, LM, CF",72,5000000.0,6000.0,23,New York City,Major League Soccer
J. Sands,James Hoban Sands,"CDM, CM, CB",72,5000000.0,5000.0,22,New York City,Major League Soccer
K. Parks,Keaton Alexander Parks,"CDM, CM",72,3100000.0,6000.0,25,New York City,Major League Soccer
B. Cufré,Braian Ezequiel Cufré,"LB, LM, LWB",72,2700000.0,17000.0,26,New York City,Major League Soccer
Thiago Martins,Thiago Martins Bueno,CB,71,1900000.0,6000.0,28,New York City,Major League Soccer
A. Morales,Alfredo Morales,"CDM, CM, CB",70,800000.0,5000.0,33,New York City,Major League Soccer
J. Fernández,Julián Fernández,"RM, RW",68,2900000.0,2000.0,19,New York City,Major League Soccer
R. Ledezma,Richard Ledezma,"CAM, CM",68,2700000.0,6000.0,22,New York City,Major League Soccer
M. Pellegrini,Matías Pellegrini,"LM, RM, CF",68,2400000.0,3000.0,23,New York City,Major League Soccer
B. Risa,Birk Risa,"CB, LWB",68,1600000.0,3000.0,25,New York City,Major League Soccer
A. Martínez,Alonso Martínez,"RM, LM",67,1500000.0,3000.0,24,New York City,Major League Soccer
A. Perea,Andrés Felipe Perea Castañeda,"CDM, CM",66,1800000.0,2000.0,22,New York City,Major League Soccer
T. Gray,Tayvon Gray,"RB, CB",65,1500000.0,1000.0,20,New York City,Major League Soccer
M. Freese,Matthew Freese,GK,65,925000.0,1000.0,24,New York City,Major League Soccer
L. Barraza,Luis Barraza,GK,64,625000.0,2000.0,26,New York City,Major League Soccer
M. Ilenič,Mitja Ilenič,"RB, RM",62,975000.0,500.0,18,New York City,Major League Soccer
M. Bakrar,Monsef Bakrar,"ST, CF",62,900000.0,2000.0,22,New York City,Major League Soccer
A. Jasson,Andres Jasson,"RM, RWB, RB",60,600000.0,1000.0,21,New York City,Major League Soccer
J. Haak,Justin Haak,"CDM, CB",60,575000.0,900.0,21,New York City,Major League Soccer
S. Turnbull,Stephen Turnbull,"RB, RM",58,275000.0,1000.0,25,New York City,Major League Soccer
C. Mizell,Cody Nobles Mizell,GK,56,80000.0,1000.0,31,New York City,Major League Soccer
N. Benalcazar,Nico Benalcazar,"CB, RB",55,300000.0,1000.0,22,New York City,Major League Soccer
K. O'Toole,Kevin O'Toole,"LM, LB",54,170000.0,1000.0,24,New York City,Major League Soccer
S. Owusu,Samuel Owusu,CB,53,220000.0,1000.0,22,New York City,Major League Soccer
J. Jimenez,Jonathan Jimenez,LM,50,110000.0,1000.0,22,New York City,Major League Soccer
