short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
O. Bogle,Omar Hanif Bogle,ST,64,575000.0,3000.0,29,Newport County,League Two
R. Delaney,Ryan Liam Delaney,CB,62,400000.0,2000.0,26,Newport County,League Two
D. Drysdale,Declan Drysdale,CB,61,425000.0,2000.0,23,Newport County,League Two
A. Lewis,Adam Lewis,"LWB, LB",61,400000.0,11000.0,23,Newport County,League Two
H. Charsley,Henry William James Charsley,CM,61,350000.0,2000.0,26,Newport County,League Two
M. Baker,Matthew Baker,CB,60,550000.0,3000.0,20,Newport County,League Two
M. Bondswell,Matthew Bondswell,"LWB, LB",60,525000.0,8000.0,21,Newport County,League Two
W. Evans,Will Evans,"ST, LWB",60,300000.0,2000.0,26,Newport County,League Two
B. Morris,Bryn Andrew Morris,"CDM, CM",60,250000.0,2000.0,27,Newport County,League Two
S. McLoughlin,Shane Daniel McLoughlin,"RWB, CM",60,275000.0,2000.0,26,Newport County,League Two
S. Bennett,Scot Andrew Bennett,"CDM, CM",60,160000.0,2000.0,32,Newport County,League Two
A. Wildig,Aaron Keith Wildig,CM,60,200000.0,2000.0,31,Newport County,League Two
N. Townsend,Nicholas Peter Townsend,GK,60,170000.0,1000.0,28,Newport County,League Two
J. Clarke,James Anthony John Clarke,CB,60,120000.0,2000.0,33,Newport County,League Two
S. Palmer-Houlden,Seb Palmer-Houlden,ST,59,500000.0,4000.0,19,Newport County,League Two
K. Jameson,Kyle Alexander Jameson,CB,59,250000.0,1000.0,24,Newport County,League Two
J. Maxted,Jonathan Maxted,GK,59,150000.0,1000.0,29,Newport County,League Two
O. Zanzala,Offrande Jolynold Serge Zanzala,ST,59,250000.0,2000.0,26,Newport County,League Two
N. Wood,Nathan Wood,"LM, CAM",58,240000.0,2000.0,25,Newport County,League Two
J. Waite,James Tyler Waite,CAM,57,190000.0,2000.0,24,Newport County,League Two
J. Seberry,Joshua Seberry,CB,56,300000.0,850.0,19,Newport County,League Two
O. Thomas,Olly Thomas,ST,54,250000.0,2000.0,18,Newport County,League Two
L. Payne,Lewis Payne,RB,54,240000.0,3000.0,19,Newport County,League Two
K. Rai,Kiban Rai,"CAM, ST",53,220000.0,600.0,18,Newport County,League Two
