short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Fassnacht,Christian Fassnacht,"RM, CM",76,7500000.0,36000.0,29,Norwich City,Championship
Gabriel Sara,Gabriel Davi Gomes Sara,CM,74,6500000.0,26000.0,24,Norwich City,Championship
A. Gunn,Angus Gunn,GK,74,4100000.0,22000.0,27,Norwich City,Championship
Hwang Ui Jo,황의조 Ui Jo Hwang,"ST, LW",74,4100000.0,54000.0,30,Norwich City,Championship
J. Sargent,Joshua Thomas Sargent,"ST, RM",73,4400000.0,27000.0,23,Norwich City,Championship
J. Stacey,Jack Stacey,"RB, RWB",73,3200000.0,25000.0,27,Norwich City,Championship
S. Duffy,Shane Patrick Michael Duffy,CB,73,2100000.0,25000.0,31,Norwich City,Championship
A. Forshaw,Adam Forshaw,"CDM, CM",73,2100000.0,25000.0,31,Norwich City,Championship
G. Hanley,Grant Hanley,CB,73,2100000.0,25000.0,31,Norwich City,Championship
K. McLean,Kenny McLean,"CDM, CM, LB",72,1600000.0,22000.0,31,Norwich City,Championship
D. Giannoulis,Dimitris Giannoulis,LB,72,2300000.0,22000.0,27,Norwich City,Championship
Borja Sainz,Borja Sainz Eguskiza,"LM, RM",71,3800000.0,19000.0,22,Norwich City,Championship
M. Núñez,Marcelino Ignacio Nuñez Espinoza,CM,71,2900000.0,19000.0,23,Norwich City,Championship
A. Barnes,Ashley Luke Barnes,ST,71,1200000.0,24000.0,33,Norwich City,Championship
O. Hernández,Onel Lázaro Hernández Mayea,LM,71,1800000.0,22000.0,30,Norwich City,Championship
S. McCallum,Sam McCallum,"LB, LWB",70,2100000.0,15000.0,22,Norwich City,Championship
G. Long,George Long,GK,70,1300000.0,15000.0,29,Norwich City,Championship
D. Batth,Danny Batth,CB,70,1000000.0,17000.0,32,Norwich City,Championship
J. Sørensen,Jakob Lungi Sørensen,"CDM, CM, CB",69,1700000.0,14000.0,25,Norwich City,Championship
P. Płacheta,Przemysław Płacheta,"LM, RM",69,1800000.0,15000.0,25,Norwich City,Championship
B. Gibson,Ben Gibson,CB,69,1100000.0,15000.0,30,Norwich City,Championship
J. Rowe,Jonathan Rowe,"LM, RM",68,2600000.0,10000.0,20,Norwich City,Championship
L. Gibbs,Liam Gibbs,"CM, CDM",67,2200000.0,9000.0,20,Norwich City,Championship
A. Idah,Adam Uche Idah,ST,67,1700000.0,11000.0,22,Norwich City,Championship
T. Springett,Tony Springett,"RM, LM",63,1100000.0,5000.0,20,Norwich City,Championship
Pedro Lima,Pedro Lima Barros,"CM, CAM",61,775000.0,4000.0,20,Norwich City,Championship
D. Barden,Daniel Barden,GK,60,525000.0,3000.0,22,Norwich City,Championship
K. Fisher,Kellen Fisher,"RB, RWB, RM",57,375000.0,3000.0,19,Norwich City,Championship
J. Warner,Jaden Warner,CB,57,375000.0,4000.0,20,Norwich City,Championship
J. McCracken,Jon McCracken,GK,56,275000.0,3000.0,23,Norwich City,Championship
