short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
I. Sangaré,Ibrahim Sangaré,"CDM, CM",81,31000000.0,70000.0,25,Nottingham Forest,Premier League
O. Vlachodimos,Odisseas Vlachodimos,GK,81,21500000.0,63000.0,29,Nottingham Forest,Premier League
G. Montiel,Gonzalo Ariel Montiel,"RB, RWB",79,20000000.0,29000.0,26,Nottingham Forest,Premier League
S. Aurier,Serge Alain Stéphane Aurier,"RB, RWB",78,12000000.0,58000.0,30,Nottingham Forest,Premier League
Felipe,Felipe Augusto de Almeida Monteiro,CB,78,4600000.0,58000.0,34,Nottingham Forest,Premier League
M. Gibbs-White,Morgan Anthony Gibbs-White,"CAM, CF, LW",77,16500000.0,52000.0,23,Nottingham Forest,Premier League
N. Domínguez,Nicolás Martín Domínguez,"CDM, CM",77,15000000.0,52000.0,25,Nottingham Forest,Premier League
T. Awoniyi,Taiwo Michael Awoniyi,ST,77,14000000.0,63000.0,25,Nottingham Forest,Premier League
M. Niakhaté,Moussa Niakhaté,CB,77,11000000.0,55000.0,27,Nottingham Forest,Premier League
M. Turner,Matthew Charles Turner,GK,77,8500000.0,47000.0,29,Nottingham Forest,Premier League
Danilo,Danilo dos Santos de Oliveira,"CDM, CM",76,11000000.0,44000.0,22,Nottingham Forest,Premier League
Nuno Tavares,Nuno Albertino Varela Tavares,"LB, LM",76,10500000.0,64000.0,23,Nottingham Forest,Premier League
O. Mangala,Orel Mangala,"CM, CDM",76,10500000.0,54000.0,25,Nottingham Forest,Premier League
W. Boly,Willy-Arnaud Zobo Boly,CB,76,4900000.0,51000.0,32,Nottingham Forest,Premier League
R. Yates,Ryan Yates,"CDM, CM",75,7500000.0,46000.0,25,Nottingham Forest,Premier League
C. Hudson-Odoi,Callum Hudson-Odoi,"LW, RW",75,8500000.0,51000.0,22,Nottingham Forest,Premier League
E. Dennis,Emmanuel Bonaventure Dennis,"ST, LW",75,8000000.0,56000.0,25,Nottingham Forest,Premier League
C. Kouyaté,Cheikhou Kouyaté,"CDM, CM, CB",75,2800000.0,49000.0,33,Nottingham Forest,Premier League
C. Wood,Christopher Grant Wood,ST,75,4800000.0,58000.0,31,Nottingham Forest,Premier League
D. Origi,Divock Okoth Origi,"ST, LW",75,6000000.0,56000.0,28,Nottingham Forest,Premier League
N. Williams,Neco Williams,"RWB, RB, LWB",74,8000000.0,39000.0,22,Nottingham Forest,Premier League
J. Worrall,Joe Worrall,CB,74,4600000.0,45000.0,26,Nottingham Forest,Premier League
A. Elanga,Anthony David Junior Elanga,"RW, ST, LW",73,7000000.0,38000.0,21,Nottingham Forest,Premier League
S. McKenna,Scott McKenna,CB,73,3500000.0,41000.0,26,Nottingham Forest,Premier League
O. Aina,Temitayo Olufisayo Olaoluwa Aina,"LB, LM, RM",73,3500000.0,41000.0,26,Nottingham Forest,Premier League
W. Hennessey,Wayne Robert Hennessey,GK,73,350000.0,22000.0,36,Nottingham Forest,Premier League
E. Horvath,Ethan Shea Horvath,GK,72,2000000.0,31000.0,28,Nottingham Forest,Premier League
H. Toffolo,Harry Toffolo,"LB, LWB",71,1800000.0,32000.0,27,Nottingham Forest,Premier League
Andrey Santos,Andrey Nascimento dos Santos,"CM, CDM",70,3800000.0,25000.0,19,Nottingham Forest,Premier League
A. Omobamidele,Andrew Abiola Omobamidele,CB,70,3300000.0,20000.0,21,Nottingham Forest,Premier League
G. Biancone,Giulian Biancone,"CB, RB",70,3300000.0,24000.0,23,Nottingham Forest,Premier League
Murillo,Murillo Costa dos Santos,CB,68,2700000.0,15000.0,20,Nottingham Forest,Premier League
G. Shelvey,George Shelvey,GK,56,300000.0,6000.0,22,Nottingham Forest,Premier League
