short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Schindler,Christopher Schindler,CB,72,1100000.0,9000.0,33,Nürnberg,2. Bundesliga
C. Mathenia,Christian Mathenia,GK,72,1200000.0,8000.0,31,Nürnberg,2. Bundesliga
J. Horn,Jannes-Kilian Horn,"LB, CB",70,1700000.0,7000.0,26,Nürnberg,2. Bundesliga
M. Dæhli,Mats Møller Dæhli,"CAM, CM, LW",70,1600000.0,8000.0,28,Nürnberg,2. Bundesliga
Iván Márquez,Iván Márquez Álvarez,CB,70,1300000.0,8000.0,29,Nürnberg,2. Bundesliga
F. Flick,Florian Flick,"CDM, CM, CB",69,2000000.0,5000.0,23,Nürnberg,2. Bundesliga
T. Handwerker,Tim-Henry Handwerker,LB,69,1700000.0,6000.0,25,Nürnberg,2. Bundesliga
J. Geis,Johannes Geis,"CDM, CB",69,1200000.0,6000.0,29,Nürnberg,2. Bundesliga
F. Hübner,Florian Hübner,CB,69,900000.0,6000.0,32,Nürnberg,2. Bundesliga
J. Lawrence,James Alexander Lawrence,CB,69,1100000.0,6000.0,30,Nürnberg,2. Bundesliga
B. Goller,Benjamin Goller,"RW, CF, LW",68,1700000.0,5000.0,24,Nürnberg,2. Bundesliga
D. Hayashi,林 大地,ST,68,1600000.0,7000.0,26,Nürnberg,2. Bundesliga
E. Wekesser,Erik Wekesser,"LB, LW",68,1400000.0,5000.0,25,Nürnberg,2. Bundesliga
T. Duman,Taylan Duman,"CAM, CM, RW",68,1500000.0,5000.0,25,Nürnberg,2. Bundesliga
J. Gyamerah,Jan Gyamerah,"RB, LB, CB",68,1100000.0,5000.0,28,Nürnberg,2. Bundesliga
J. Castrop,Jens Castrop,"CAM, RB",67,2200000.0,3000.0,19,Nürnberg,2. Bundesliga
J. Hungbo,Joseph Hungbo,RW,67,1600000.0,5000.0,23,Nürnberg,2. Bundesliga
L. Schleimer,Lukas Schleimer,"CAM, CF, LW",67,1500000.0,4000.0,23,Nürnberg,2. Bundesliga
C. Daferner,Christoph Daferner,ST,67,1400000.0,5000.0,25,Nürnberg,2. Bundesliga
E. Valentini,Enrico Valentini,RB,67,375000.0,4000.0,34,Nürnberg,2. Bundesliga
F. Lohkemper,Felix Lohkemper,"ST, LW, RW",67,1000000.0,5000.0,28,Nürnberg,2. Bundesliga
A. Gürleyen,Ahmet Ege Gürleyen,CB,66,1600000.0,3000.0,24,Nürnberg,2. Bundesliga
C. Klaus,Carl Klaus,GK,65,500000.0,3000.0,29,Nürnberg,2. Bundesliga
N. Brown,Nathaniel Brown,LB,64,1200000.0,2000.0,20,Nürnberg,2. Bundesliga
C. Uzun,Can Yılmaz Uzun,"CAM, ST",63,1200000.0,500.0,17,Nürnberg,2. Bundesliga
K. Okunuki,奥抜 侃志,"LW, CF",63,725000.0,3000.0,23,Nürnberg,2. Bundesliga
P. Fuchs,Pascal Fuchs,CM,58,525000.0,750.0,18,Nürnberg,2. Bundesliga
J. Reichert,Jan Reichert,GK,58,400000.0,1000.0,22,Nürnberg,2. Bundesliga
A. Loune,Ali Loune,CDM,57,350000.0,1000.0,21,Nürnberg,2. Bundesliga
J. Hofmann,Jannik Hofmann,RB,55,275000.0,1000.0,21,Nürnberg,2. Bundesliga
