short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
A. Lacazette,Alexandre Lacazette,ST,83,29500000.0,60000.0,32,Olympique Lyonnais,Ligue 1
A. Lopes,Anthony Lopes,GK,82,15000000.0,37000.0,32,Olympique Lyonnais,Ligue 1
N. Tagliafico,Nicolás Alejandro Tagliafico,LB,80,18000000.0,40000.0,30,Olympique Lyonnais,Ligue 1
C. Tolisso,Corentin Tolisso,"CDM, CM",79,15500000.0,39000.0,28,Olympique Lyonnais,Ligue 1
M. Caqueret,Maxence Caqueret,"CM, CDM",78,21000000.0,33000.0,23,Olympique Lyonnais,Ligue 1
D. Lovren,Dejan Lovren,CB,78,6500000.0,34000.0,33,Olympique Lyonnais,Ligue 1
Clinton Mata,Clinton Mukoni Mata Pedro Lourenço,"RB, CB",77,9000000.0,32000.0,30,Olympique Lyonnais,Ligue 1
D. Ćaleta-Car,Duje Ćaleta-Car,CB,76,8500000.0,38000.0,26,Olympique Lyonnais,Ligue 1
R. Cherki,Mathis Rayan Cherki,"CAM, LW, RW",75,12000000.0,18000.0,19,Olympique Lyonnais,Ligue 1
Mama Baldé,Mama Samba Baldé,"ST, LM, RM",75,6500000.0,9000.0,27,Olympique Lyonnais,Ligue 1
Jeffinho,Jefferson Ruan Pereira dos Santos,"LW, LM",74,8500000.0,28000.0,23,Olympique Lyonnais,Ligue 1
S. Diomandé,Sinaly Diomandé,CB,74,5500000.0,23000.0,22,Olympique Lyonnais,Ligue 1
J. Lepenant,Johann Lepenant,"CDM, CM",73,4300000.0,17000.0,20,Olympique Lyonnais,Ligue 1
Henrique,Henrique Silva Milagres,LB,73,2700000.0,25000.0,29,Olympique Lyonnais,Ligue 1
T. Kadewere,Philana Tinotenda Kadewere,"ST, RW, RM",73,3300000.0,29000.0,27,Olympique Lyonnais,Ligue 1
E. Nuamah,Ernest Appiah Nuamah,"RW, ST, LW",72,5500000.0,10000.0,19,Olympique Lyonnais,Ligue 1
P. Akouokou,Paul Akouokou,"CDM, CM",72,3300000.0,20000.0,25,Olympique Lyonnais,Ligue 1
A. Maitland-Niles,Ainsley Maitland-Niles,"CM, RB",72,2900000.0,22000.0,25,Olympique Lyonnais,Ligue 1
S. Kumbedi,Sael Kumbedi Nseke,"RB, RWB",71,4200000.0,6000.0,18,Olympique Lyonnais,Ligue 1
S. Alvero,Skelly Alvero,CDM,69,3200000.0,10000.0,21,Olympique Lyonnais,Ligue 1
R. Riou,Rémy Riou,GK,69,150000.0,7000.0,35,Olympique Lyonnais,Ligue 1
M. El Arouch,Mohamed El Arouch,CAM,67,2400000.0,6000.0,19,Olympique Lyonnais,Ligue 1
Diego Moreira,Diego Manuel Jadon da Silva Moreira,LM,67,2400000.0,10000.0,18,Olympique Lyonnais,Ligue 1
M. Sarr,Mamadou Sarr,CB,66,2000000.0,500.0,17,Olympique Lyonnais,Ligue 1
J. O'Brien,Jake O'Brien,CB,66,1600000.0,8000.0,22,Olympique Lyonnais,Ligue 1
A. Laâziri,Achraf Laâziri,LB,64,1300000.0,4000.0,19,Olympique Lyonnais,Ligue 1
J. Bengui,Justin Bengui,GK,59,500000.0,500.0,17,Olympique Lyonnais,Ligue 1
