short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
G. Kondogbia,Geoffrey Edwin Kondogbia,"CM, CDM",81,24500000.0,50000.0,30,Olympique de Marseille,Ligue 1
J. Clauss,Jonathan Clauss,"RWB, RM, RB",81,22000000.0,46000.0,30,Olympique de Marseille,Ligue 1
Pau López,Pau López Sabata,GK,80,18000000.0,37000.0,28,Olympique de Marseille,Ligue 1
C. Mbemba,Chancel Mbemba Mangulu,CB,80,20000000.0,45000.0,28,Olympique de Marseille,Ligue 1
P. Aubameyang,Pierre-Emerick Emiliano François Aubameyang,ST,80,10500000.0,51000.0,34,Olympique de Marseille,Ligue 1
J. Veretout,Jordan Veretout,"CM, CDM",80,20000000.0,47000.0,30,Olympique de Marseille,Ligue 1
V. Rongier,Valentin Rongier,"CDM, CM",80,18500000.0,45000.0,28,Olympique de Marseille,Ligue 1
Renan Lodi,Renan Augusto Lodi dos Santos,"LB, LWB",79,21500000.0,38000.0,25,Olympique de Marseille,Ligue 1
S. Gigot,Samuel Gigot,CB,78,13000000.0,38000.0,29,Olympique de Marseille,Ligue 1
P. Gueye,Pape Alassane Gueye,"CM, CDM",77,15000000.0,33000.0,24,Olympique de Marseille,Ligue 1
J. Correa,Carlos Joaquín Correa,"CF, ST",77,11000000.0,74000.0,28,Olympique de Marseille,Ligue 1
A. Ounahi,Azzedine Ounahi,CM,76,12000000.0,30000.0,23,Olympique de Marseille,Ligue 1
L. Balerdi,Leonardo Julián Balerdi Rossa,CB,76,10000000.0,27000.0,24,Olympique de Marseille,Ligue 1
Vitinha,Vítor Manuel Carvalho Oliveira,ST,76,11500000.0,34000.0,23,Olympique de Marseille,Ligue 1
I. Sarr,Ismaïla Sarr,"RM, LM, RW",76,10000000.0,34000.0,25,Olympique de Marseille,Ligue 1
A. Harit,Amine Harit,"LM, CF",76,9000000.0,35000.0,26,Olympique de Marseille,Ligue 1
I. Ndiaye,Iliman Ndiaye,"ST, CAM",74,8500000.0,30000.0,23,Olympique de Marseille,Ligue 1
Rubén Blanco,Rubén Blanco Veiga,GK,74,4100000.0,23000.0,27,Olympique de Marseille,Ligue 1
M. Murillo,Michael Amir Murillo Bermudez,"RB, RM",72,2300000.0,23000.0,27,Olympique de Marseille,Ligue 1
B. Meïté,Abdoul Bamo Meité,CB,69,2900000.0,9000.0,22,Olympique de Marseille,Ligue 1
S. Ngapandouetnbu,Simon Brady Ngapandouetnbu,GK,67,1900000.0,6000.0,20,Olympique de Marseille,Ligue 1
F. Mughe,François Mughe,RM,66,2000000.0,6000.0,19,Olympique de Marseille,Ligue 1
E. Soglo,Emran Soglo,"LB, CM",64,1300000.0,500.0,17,Olympique de Marseille,Ligue 1
B. Nadir,Bilal Nadir,"CM, CDM",62,950000.0,4000.0,19,Olympique de Marseille,Ligue 1
R. Nyakossi,Roggerio Nyakossi,CB,61,650000.0,3000.0,19,Olympique de Marseille,Ligue 1
J. Van Neck,Jelle Van Neck,GK,58,475000.0,2000.0,19,Olympique de Marseille,Ligue 1
