short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
David García,David García Zubiría,CB,82,28000000.0,39000.0,29,Osasuna,La Liga
E. Ávila,Luis Ezequiel Ávila,"ST, RM, LM",80,21000000.0,40000.0,29,Osasuna,La Liga
Sergio Herrera,Sergio Herrera Pirón,GK,79,13000000.0,25000.0,30,Osasuna,La Liga
Catena,Alejandro Catena Marugán,CB,79,16500000.0,32000.0,28,Osasuna,La Liga
Moi Gómez,Moisés Gómez Bordonado,"CM, LM, RM",79,17000000.0,35000.0,29,Osasuna,La Liga
Moncayola,Jon Moncayola Tollar,"CM, CDM, RB",78,20500000.0,29000.0,25,Osasuna,La Liga
Aitor,Aitor Fernández Abarisketa,GK,78,7000000.0,22000.0,32,Osasuna,La Liga
Rubén García,Rubén García Santos,"LM, CAM, RM",78,14000000.0,31000.0,29,Osasuna,La Liga
A. Budimir,Ante Budimir,ST,77,9000000.0,31000.0,31,Osasuna,La Liga
Lucas Torró,Lucas Torró Marset,"CDM, CM",77,9500000.0,27000.0,28,Osasuna,La Liga
J. Mojica,Johan Andrés Mojica Palacio,"LB, LWB, LM",77,9000000.0,29000.0,30,Osasuna,La Liga
Nacho Vidal,Ignacio Vidal Miralles,"RB, RWB",76,7000000.0,25000.0,28,Osasuna,La Liga
Kike Barja,Enrique Barja Afonso,"RM, LM",75,6500000.0,25000.0,26,Osasuna,La Liga
Juan Cruz,Juan Cruz Álvaro Armada,"LB, CB",75,4800000.0,23000.0,30,Osasuna,La Liga
Rubén Peña,Rubén Peña Jiménez,"RB, RM, LB",75,4100000.0,23000.0,31,Osasuna,La Liga
Unai García,Unai García Lugea,CB,75,4600000.0,23000.0,30,Osasuna,La Liga
Raúl García,Raúl García de Haro,ST,74,9500000.0,22000.0,22,Osasuna,La Liga
D. Brašanac,Darko Brašanac,"CM, CDM, CAM",74,3500000.0,23000.0,31,Osasuna,La Liga
Aimar Oroz,Aimar Oroz Huarte,"CM, ST, CAM",73,7000000.0,16000.0,21,Osasuna,La Liga
José Arnáiz,José Manuel Arnáiz Díaz,"LM, ST, RM",70,1600000.0,15000.0,28,Osasuna,La Liga
Areso,Jesús Areso Blanco,"RB, RWB",69,2700000.0,10000.0,23,Osasuna,La Liga
Pablo Ibáñez,Pablo Ibáñez Lumbreras,"CM, CDM",67,2000000.0,8000.0,24,Osasuna,La Liga
Svensson,Max Svensson Río,"ST, LM",66,1900000.0,3000.0,21,Osasuna,La Liga
Jorge Moreno,Jorge Moreno San Vidal,CB,65,1500000.0,5000.0,21,Osasuna,La Liga
Herrando,Jorge Herrando Oroz,CB,64,1400000.0,5000.0,22,Osasuna,La Liga
Guillem Molina,Guillem Molina Gutiérrez,"CB, RB, LB",64,1200000.0,5000.0,23,Osasuna,La Liga
N. Michelis,Nikolaos Michelis,CB,63,1100000.0,2000.0,22,Osasuna,La Liga
Pablo Valencia,Pablo Valencia García,GK,63,925000.0,3000.0,22,Osasuna,La Liga
Iker Muñoz,Iker Muñoz Cameros,"CM, CDM",61,775000.0,3000.0,20,Osasuna,La Liga
Darío Ramos,Darío Ramos Pinazo,GK,60,475000.0,2000.0,23,Osasuna,La Liga
Unai Buján,Unai Buján Díez,"LM, RM",59,500000.0,4000.0,22,Osasuna,La Liga
D. Stamatakis,Dimitrios Stamatakis,GK,58,425000.0,2000.0,20,Osasuna,La Liga
