short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Cuisance,Michaël Bruno Dominique Cuisance,"CM, CAM",71,3700000.0,3000.0,23,Osnabrück,2. Bundesliga
R. Tesche,Robert Tesche,"CM, CDM",70,500000.0,6000.0,36,Osnabrück,2. Bundesliga
L. Grill,Lennart Grill,GK,69,1600000.0,9000.0,24,Osnabrück,2. Bundesliga
M. Thalhammer,Maximilian Thalhammer,"CDM, CM, CB",68,1500000.0,5000.0,25,Osnabrück,2. Bundesliga
T. Beermann,Timo Beermann,CB,68,775000.0,5000.0,32,Osnabrück,2. Bundesliga
P. Kühn,Philipp Kühn,GK,68,800000.0,4000.0,30,Osnabrück,2. Bundesliga
B. Ajdini,Bashkim Ajdini,"RB, RM",68,1000000.0,5000.0,30,Osnabrück,2. Bundesliga
N. Niemann,Noel Niemann,"RW, ST",67,2300000.0,5000.0,23,Osnabrück,2. Bundesliga
D. Gnaase,Dave Gnaase,"CDM, CM",67,1100000.0,4000.0,26,Osnabrück,2. Bundesliga
J. Verhoek,John Verhoek,ST,67,500000.0,5000.0,34,Osnabrück,2. Bundesliga
K. Wriedt,Kwasi Okyere Wriedt,ST,67,1000000.0,9000.0,28,Osnabrück,2. Bundesliga
C. Makridis,Charalambos Makridis,"LW, CAM",67,1100000.0,5000.0,26,Osnabrück,2. Bundesliga
M. Gyamfi,Maxwell Gyamfi,CB,66,1600000.0,3000.0,23,Osnabrück,2. Bundesliga
C. Conteh,Christian Joe Conteh,"RW, RM, ST",66,1400000.0,4000.0,23,Osnabrück,2. Bundesliga
E. Engelhardt,Erik Engelhardt,ST,66,1300000.0,4000.0,25,Osnabrück,2. Bundesliga
L. Kunze,Lukas Kunze,CM,66,1200000.0,4000.0,25,Osnabrück,2. Bundesliga
O. Diakhité,Oumar Diakhité,CB,66,725000.0,4000.0,29,Osnabrück,2. Bundesliga
F. Kleinhansl,Florian Kleinhansl,LB,65,1500000.0,3000.0,22,Osnabrück,2. Bundesliga
L. Kehl,Lars Kehl,"RW, CF",65,1500000.0,3000.0,21,Osnabrück,2. Bundesliga
J. Wulff,Jannes Wulff,"CAM, CM",64,1200000.0,3000.0,23,Osnabrück,2. Bundesliga
F. Bähr,Florian Bähr,LB,63,1000000.0,2000.0,20,Osnabrück,2. Bundesliga
N. Wiemann,Niklas Wiemann,"CB, LB, CDM",63,900000.0,2000.0,24,Osnabrück,2. Bundesliga
O. Wähling,Oliver Wähling,CAM,63,750000.0,2000.0,23,Osnabrück,2. Bundesliga
P. Chato,Paterson Chato Nguendong,"CDM, CB",63,525000.0,3000.0,26,Osnabrück,2. Bundesliga
M. Haas,Manuel Haas,LB,63,475000.0,3000.0,27,Osnabrück,2. Bundesliga
H. Rorig,Henry Rorig,"RB, RW",62,750000.0,2000.0,23,Osnabrück,2. Bundesliga
E. Oduah,Emeka Oduah,"LW, ST",61,800000.0,2000.0,21,Osnabrück,2. Bundesliga
D. Adamczyk,Daniel Adamczyk,GK,61,700000.0,1000.0,20,Osnabrück,2. Bundesliga
K. Wiethaup,Kevin Wiethaup,CAM,59,550000.0,500.0,17,Osnabrück,2. Bundesliga
L. Böggemann,Luca Böggemann,GK,56,300000.0,650.0,19,Osnabrück,2. Bundesliga
