short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
C. Brannagan,Cameron Mark Thomas Brannagan,"CM, CDM",69,1600000.0,6000.0,27,Oxford United,League One
E. Moore,Elliott Jordan Moore,CB,67,1200000.0,4000.0,26,Oxford United,League One
J. Thorniley,Jordan Luke Thorniley,CB,67,1100000.0,4000.0,26,Oxford United,League One
M. Harris,Mark Thomas Harris,"ST, LW",66,1200000.0,4000.0,24,Oxford United,League One
C. Brown,Ciaron Maurice Brown,"LB, CB",66,975000.0,3000.0,25,Oxford United,League One
J. McEachran,Joshua Mark McEachran,"CDM, CM",66,725000.0,4000.0,30,Oxford United,League One
B. Bodin,Billy Paul Bodin,"CAM, LM, RM",66,700000.0,4000.0,31,Oxford United,League One
M. McGuane,Marcus Samuel Michael McGuane,"CDM, CM",65,925000.0,3000.0,24,Oxford United,League One
M. Browne,Marcus Browne,"LW, LM, CAM",65,950000.0,4000.0,25,Oxford United,League One
S. Long,Samuel Patrick Robert Long,"RB, CB",65,650000.0,3000.0,28,Oxford United,League One
G. Leigh,Gregory Alex Leigh,"LB, LWB",65,650000.0,3000.0,28,Oxford United,League One
K. Edwards,Kyle Edwards,"LM, RM, LW",64,775000.0,5000.0,25,Oxford United,League One
Rúben Rodrigues,Rúben da Rocha Rodrigues,"CAM, RW",64,700000.0,3000.0,26,Oxford United,League One
S. Eastwood,Simon Christopher Eastwood,GK,64,100000.0,2000.0,34,Oxford United,League One
J. Murphy,Josh Murphy,"RW, RM, LW",64,600000.0,4000.0,28,Oxford United,League One
J. Beadle,James Beadle,GK,63,1100000.0,1000.0,18,Oxford United,League One
J. Henry,James Henry,"CM, RM, RW",63,220000.0,3000.0,34,Oxford United,League One
S. Mills,Stanley Mills,"RW, RM",62,1000000.0,5000.0,19,Oxford United,League One
E. McGinty,Edward McGinty,GK,62,475000.0,1000.0,23,Oxford United,League One
S. Perkins,Sonny Perkins,"CAM, CF",61,850000.0,4000.0,19,Oxford United,League One
F. Stevens,Finley Stevens,"RB, RWB",61,750000.0,6000.0,20,Oxford United,League One
T. Goodrham,Tyler Goodrham,"RW, RM",61,775000.0,1000.0,19,Oxford United,League One
S. Negru,Stephan Negru,CB,60,500000.0,1000.0,20,Oxford United,League One
G. O'Donkor,Gatlin O'Donkor,ST,58,475000.0,900.0,18,Oxford United,League One
O. Smyth,Oisin Smyth,"CM, CAM, CDM",57,375000.0,2000.0,23,Oxford United,League One
M. Woltman,Max Woltman,"CAM, ST",56,375000.0,1000.0,19,Oxford United,League One
T. Mfuni,Teddy Mfuni,CB,53,210000.0,900.0,19,Oxford United,League One
J. Johnson,Josh Johnson,CM,52,200000.0,650.0,18,Oxford United,League One
