short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
Nico Serrano,Nicolás Serrano Galdeano,"LM, CAM, RM",70,3500000.0,10000.0,20,PEC Zwolle,Eredivisie
F. Druijf,Ferdy Druijf,"ST, CAM",69,2100000.0,11000.0,25,PEC Zwolle,Eredivisie
R. Thomas,Ryan Jared Thomas,"CM, CAM, CDM",69,1400000.0,7000.0,28,PEC Zwolle,Eredivisie
L. Czyborra,Lennart Czyborra,"LB, LM",68,2300000.0,8000.0,24,PEC Zwolle,Eredivisie
B. van Polen,Bram van Polen,CB,68,220000.0,4000.0,37,PEC Zwolle,Eredivisie
Y. Namli,Younes Namli,"CAM, CF, RM",68,1200000.0,6000.0,29,PEC Zwolle,Eredivisie
L. Thy,Lennart Thy,ST,67,850000.0,5000.0,31,PEC Zwolle,Eredivisie
T. Lam,Thomas Lam,"CB, CDM",67,850000.0,5000.0,29,PEC Zwolle,Eredivisie
J. Schendelaar,Jasper Schendelaar,GK,66,1500000.0,2000.0,22,PEC Zwolle,Eredivisie
O. Velanas,Odysseus Velanas,"CAM, CF",66,1300000.0,4000.0,25,PEC Zwolle,Eredivisie
D. van den Berg,Dave Johannes Andreas van den Berg,"LM, CM, CAM",65,1400000.0,3000.0,23,PEC Zwolle,Eredivisie
A. Fontana,Anthony Fontana,CAM,65,1100000.0,3000.0,23,PEC Zwolle,Eredivisie
D. Huiberts,Dean Huiberts,"CAM, RM, CM",65,1100000.0,3000.0,23,PEC Zwolle,Eredivisie
S. Kersten,Sam Kersten,CB,65,800000.0,3000.0,25,PEC Zwolle,Eredivisie
A. Vellios,Apostolos Vellios,ST,65,600000.0,4000.0,31,PEC Zwolle,Eredivisie
Z. Buurmeester,Zico Buurmeester,CM,64,1400000.0,2000.0,21,PEC Zwolle,Eredivisie
A. El Azzouzi,Anouar El Azzouzi,"CB, CDM",64,1100000.0,2000.0,22,PEC Zwolle,Eredivisie
E. Reijnders,Eliano Reijnders,"RM, CAM, CF",64,950000.0,3000.0,22,PEC Zwolle,Eredivisie
K. Vermeer,Kenneth Vermeer,GK,64,60000.0,1000.0,37,PEC Zwolle,Eredivisie
A. Garcia MacNulty,Anselmo Garcia MacNulty,CB,63,1100000.0,2000.0,20,PEC Zwolle,Eredivisie
L. Görlich,Luis Görlich,"RB, RM",63,1000000.0,2000.0,23,PEC Zwolle,Eredivisie
M. Hauptmeijer,Mike Hauptmeijer,GK,62,375000.0,2000.0,26,PEC Zwolle,Eredivisie
S. Lagsir,Samir Lagsir,"LM, CF",61,800000.0,2000.0,20,PEC Zwolle,Eredivisie
D. Bobson,Divaio Bobson,RM,59,525000.0,1000.0,19,PEC Zwolle,Eredivisie
N. Fichtinger,Nick Fichtinger,CM,58,475000.0,1000.0,19,PEC Zwolle,Eredivisie
D. van der Haar,Damian van der Haar,"CB, CDM",57,375000.0,1000.0,19,PEC Zwolle,Eredivisie
M. Oukhattou,Mohamed Oukhattou,"CAM, CM",56,350000.0,750.0,18,PEC Zwolle,Eredivisie
D. Verduin,Duke Verduin,GK,55,250000.0,600.0,19,PEC Zwolle,Eredivisie
C. Bos,Christian Bos,RB,55,275000.0,500.0,18,PEC Zwolle,Eredivisie
