short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
H. Lozano,Hirving Rodrigo Lozano Bahena,RW,81,27500000.0,27000.0,27,PSV,Eredivisie
W. Benítez,Walter Daniel Benítez,GK,79,13000000.0,17000.0,30,PSV,Eredivisie
L. de Jong,Luuk de Jong,ST,79,14000000.0,24000.0,32,PSV,Eredivisie
N. Lang,Noa Noëll Lang,LW,78,21000000.0,19000.0,24,PSV,Eredivisie
J. Veerman,Joey Veerman,"CM, CDM, CAM",78,21000000.0,18000.0,24,PSV,Eredivisie
J. Teze,Jordan Teze,"RB, CB",76,11000000.0,14000.0,23,PSV,Eredivisie
S. Dest,Sergiño Gianni Dest,"RB, LB",76,11500000.0,80000.0,22,PSV,Eredivisie
O. Boscagli,Olivier Maxime Boscagli,CB,76,9500000.0,15000.0,25,PSV,Eredivisie
P. van Aanholt,Patrick John Miguel van Aanholt,LB,76,5000000.0,34000.0,32,PSV,Eredivisie
J. Bakayoko,Johan Bakayoko,RW,75,12500000.0,14000.0,20,PSV,Eredivisie
Mauro Júnior,Mauro Jaqueson Júnior Ferreira dos Santos,"RB, LB, CAM",75,8000000.0,13000.0,24,PSV,Eredivisie
J. Schouten,Jerdy Schouten,"CDM, CM",75,6500000.0,15000.0,26,PSV,Eredivisie
André Ramalho,André Ramalho Silva,CB,75,3800000.0,15000.0,31,PSV,Eredivisie
M. Tillman,Malik Tillman,"CAM, CM, ST",74,9500000.0,32000.0,21,PSV,Eredivisie
A. Bella Kotchap,Armel Bella Kotchap,CB,74,9000000.0,24000.0,21,PSV,Eredivisie
A. Obispo,Armando Obispo,CB,74,5500000.0,12000.0,24,PSV,Eredivisie
G. Til,Guus Berend Til,"CAM, CM",74,5500000.0,15000.0,25,PSV,Eredivisie
J. Drommel,Joël Drommel,GK,73,3100000.0,11000.0,26,PSV,Eredivisie
Y. Vertessen,Yorbe Vertessen,"RW, ST",72,3800000.0,12000.0,22,PSV,Eredivisie
R. Pepi,Ricardo Daniel Pepi,ST,71,4500000.0,9000.0,20,PSV,Eredivisie
I. Saibari,Ismael Saibari Ben El Basra,"RW, CAM",71,3800000.0,9000.0,21,PSV,Eredivisie
S. Sambo,Shurandy Sambo,RB,69,3000000.0,6000.0,21,PSV,Eredivisie
B. Waterman,Boy Waterman,GK,68,130000.0,3000.0,39,PSV,Eredivisie
J. van Duiven,Jason van Duiven,ST,66,2200000.0,2000.0,18,PSV,Eredivisie
I. Babadi,Isaac Babadi,"CAM, CM, LW",66,2200000.0,2000.0,18,PSV,Eredivisie
F. Oppegård,Fredrik Oppegård,LB,65,1600000.0,3000.0,20,PSV,Eredivisie
T. Land,Tygo Land,CM,62,1200000.0,500.0,17,PSV,Eredivisie
K. Peersman,Kjell Peersman,GK,61,825000.0,900.0,19,PSV,Eredivisie
