short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
M. Kruse,Max Bennet Kruse,"CF, CAM",76,3200000.0,17000.0,35,Paderborn,2. Bundesliga
F. Muslija,Florent Muslija,"CAM, LM",72,3200000.0,13000.0,24,Paderborn,2. Bundesliga
F. Platte,Felix Platte,ST,71,2200000.0,15000.0,27,Paderborn,2. Bundesliga
J. Huth,Jannik Huth,GK,71,1400000.0,11000.0,29,Paderborn,2. Bundesliga
D. Kinsombi,David Kinsombi,"RM, CM, CDM",71,2000000.0,13000.0,27,Paderborn,2. Bundesliga
R. Leipertz,Robert Leipertz,"ST, RM, CAM",70,1600000.0,13000.0,30,Paderborn,2. Bundesliga
M. Hoffmeier,Marcel Hoffmeier,"CB, CDM",69,2900000.0,8000.0,23,Paderborn,2. Bundesliga
J. Heuer,Jannis Heuer,CB,69,2600000.0,8000.0,23,Paderborn,2. Bundesliga
K. Klefisch,Kai Klefisch,"CDM, CM",69,1900000.0,8000.0,23,Paderborn,2. Bundesliga
R. Obermair,Raphael Sanchez Obermair,"LM, RM, RWB",69,1500000.0,10000.0,27,Paderborn,2. Bundesliga
M. Rohr,Maximilian Rohr,"CB, CDM, CM",69,1200000.0,10000.0,28,Paderborn,2. Bundesliga
F. Bilbija,Filip Bilbija,"LM, RM",68,1900000.0,7000.0,23,Paderborn,2. Bundesliga
S. Conteh,Sirlord Calvin Conteh,"ST, RM",68,1400000.0,9000.0,26,Paderborn,2. Bundesliga
M. Schuster,Marco Schuster,"CDM, CM, RM",67,1000000.0,7000.0,27,Paderborn,2. Bundesliga
V. Musliu,Visar Musliu,CB,67,975000.0,7000.0,28,Paderborn,2. Bundesliga
T. Müller,Tobias Müller,CB,67,875000.0,7000.0,28,Paderborn,2. Bundesliga
S. Klaas,Sebastian Reinhard Klaas,"CAM, CM",66,1100000.0,6000.0,25,Paderborn,2. Bundesliga
A. Grimaldi,Adriano Grimaldi,ST,66,700000.0,7000.0,32,Paderborn,2. Bundesliga
J. Tugbenyo,Jesse Edem Tugbenyo,"RM, CAM",64,1300000.0,4000.0,21,Paderborn,2. Bundesliga
C. Brackelmann,Calvin Marc Brackelmann,"CB, LWB",64,1200000.0,4000.0,23,Paderborn,2. Bundesliga
N. Nadj,Niclas Tibor Nadj,CAM,64,1300000.0,4000.0,22,Paderborn,2. Bundesliga
P. Boevink,Pelle Boevink,GK,64,725000.0,3000.0,25,Paderborn,2. Bundesliga
K. Ezekwem,Kimberly Ezekwem,"CB, LWB, LM",63,900000.0,4000.0,22,Paderborn,2. Bundesliga
M. Martin,Michael Martin,"CM, CDM",62,900000.0,3000.0,22,Paderborn,2. Bundesliga
J. Brandt,Jascha Brandt,CAM,61,725000.0,3000.0,20,Paderborn,2. Bundesliga
L. Curda,Laurin Curda,"RM, CB",61,725000.0,3000.0,21,Paderborn,2. Bundesliga
M. Hansen,Mattes Hansen,"CDM, CB",60,550000.0,2000.0,19,Paderborn,2. Bundesliga
A. Schulz,Arne Schulz,GK,60,525000.0,2000.0,20,Paderborn,2. Bundesliga
J. Henke,Justus Henke,CB,60,525000.0,3000.0,22,Paderborn,2. Bundesliga
D. Donner,Dawyn-Paul Donner,CB,56,300000.0,2000.0,20,Paderborn,2. Bundesliga
