short_name,long_name,player_positions,overall,value_eur,wage_eur,age,club_name,league_name
F. Di Francesco,Federico Di Francesco,"LW, RW",75,5500000.0,6000.0,29,Palermo,Serie B
F. Lucioni,Fabio Lucioni,CB,73,800000.0,3000.0,35,Palermo,Serie B
M. Pigliacelli,Mirko Pigliacelli,GK,73,2000000.0,4000.0,30,Palermo,Serie B
R. Insigne,Roberto Insigne,"RW, LW",73,3000000.0,6000.0,29,Palermo,Serie B
M. Brunori,Matteo Luigi Brunori,ST,73,3100000.0,6000.0,28,Palermo,Serie B
L. Henderson,Liam Henderson,"CM, CAM, CF",72,2700000.0,9000.0,27,Palermo,Serie B
I. Nedelcearu,Ionuț Nedelcearu,CB,71,2000000.0,3000.0,27,Palermo,Serie B
P. Ceccaroni,Pietro Ceccaroni,"CB, LB",71,1900000.0,3000.0,27,Palermo,Serie B
F. Di Mariano,Francesco Di Mariano,"LW, RW, ST",71,2000000.0,4000.0,27,Palermo,Serie B
L. Mancuso,Leonardo Mancuso,"ST, LW",70,1300000.0,26000.0,31,Palermo,Serie B
L. Štulac,Leo Štulac,"CDM, CM",70,1400000.0,3000.0,28,Palermo,Serie B
K. Hansen,Kristoffer Lund Hansen,LB,69,3000000.0,2000.0,21,Palermo,Serie B
A. Matějů,Aleš Matějů,"RB, CB, LB",69,1300000.0,2000.0,27,Palermo,Serie B
N. Valente,Nicola Valente,"RW, LW",69,1200000.0,3000.0,31,Palermo,Serie B
S. Desplanches,Sebastiano Desplanches,GK,68,2500000.0,1000.0,20,Palermo,Serie B
A. Vasić,Aljoša Vasić,"CAM, RW, CM",68,3000000.0,2000.0,21,Palermo,Serie B
C. Gomes,Claudio Gomes,"CDM, CM",68,2600000.0,2000.0,22,Palermo,Serie B
J. Segre,Jacopo Segre,CM,68,1600000.0,2000.0,26,Palermo,Serie B
G. Aurelio,Giuseppe Aurelio,"LB, LM",67,2200000.0,2000.0,23,Palermo,Serie B
S. Graves,Simon Graves Jensen,CB,67,1900000.0,2000.0,24,Palermo,Serie B
M. Coulibaly,Mamadou Coulibaly,"CM, CDM",67,1500000.0,9000.0,24,Palermo,Serie B
E. Soleri,Edoardo Soleri,"ST, LW",67,1400000.0,2000.0,25,Palermo,Serie B
I. Marconi,Ivan Marconi,CB,67,475000.0,2000.0,33,Palermo,Serie B
A. Buttaro,Alessio Buttaro,"RB, CB, RM",66,2000000.0,1000.0,20,Palermo,Serie B
A. Kanurić,Adnan Kanurić,GK,59,450000.0,550.0,22,Palermo,Serie B
M. Nespola,Manfredi Nespola,GK,58,450000.0,500.0,18,Palermo,Serie B
